lemma	pos	en_word	en_definition	sentence	code	wn_definition	confidence
Abschnitt	SUBST	paragraph	of text	ech weess de ganzen Abschnitt auswenneg 	ABSCHNITT1UNI1	one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line	0.3544522523880005
Absence	SUBST	absence	non-presence	wat ass wärend menger Absence geschitt? 	ABSENCE1UNI1	the state of being absent	0.6362860798835754
Absence	SUBST	absence	lack	duerch d'Absence vu kloren Direktiven ass de Projet näischt ginn 	ABSENCE1UNI2	the state of being absent	0.3814938962459564
Absinth	SUBST	absinthe	drink	den Absinth war laang Zäit verbueden, elo ass en nees erlaabt 	ABSINTH1UNI2	strong green liqueur flavored with wormwood and anise	0.20733760297298431
absolut	ADJ	absolute	measurement	déi absolut Héicht vun engem Bierg gëtt vum Mieresspigel aus gemooss 	ABSOLUT2UNI3	perfect or complete or pure	0.23460377752780914
absolvéieren	VRB	to complete	a course, one's studies	mäi Brudder huet als Eenzegen an der Famill en Universitéitsstudium absolvéiert 	ABSOLVEIEREN1UNI1	bring to a whole, with all the necessary parts or elements	0.1775723248720169
Absolventin	SUBST	graduate	female	ech wousst laang net, datt meng Büroskolleegin Absolventin vun enger renomméierter Uni ass 	ABSOLVENTIN1UNI1	a person who has received a degree from a school (high school or college or university)	0.17572848498821259
abstrakt	ADJ	abstract	theoretical	déi abstrakt Froe kann ech net beäntweren! 	ABSTRAKT1UNI1	dealing with a subject in the abstract without practical purpose or intention	0.3158107399940491
Absurditéit	SUBST	absurdity	something absurd	et ass eng Absurditéit , esou vill Sue fir déi Aarbecht ze verlaangen! 	ABSURDITEIT1UNI1	a ludicrous folly	0.5079654455184937
Absurditéit	SUBST	absurdity	illogicality	si gouf op d'Absurditéit vun hirer Argumentatioun higewisen 	ABSURDITEIT1UNI2	a ludicrous folly	0.5066586136817932
Abus	SUBST	abuse	misuse	a Saache Jugendaarbecht mussen all méiglech Abuse verhënnert ginn 	ABUS1UNI1	improper or excessive use	0.6425849795341492
abusiv	ADJ	abusive	excessive	den abusive Gebrauch vu Medikamenter schuet der Gesondheet 	ABUSIV1UNI1	characterized by physical or psychological maltreatment	0.20821928977966309
Abzebild	SUBST	transfer	picture	d'Kanner hunn Abzebiller an d'Kichefënstere gepecht 	ABZEBILD1UNI1	transferring ownership	0.08350116014480591
Acajou	SUBST	mahogany	wood	mäi Kleederschaf ass aus Acajou 	ACAJOU1UNI1	wood of any of various mahogany trees; much used for cabinetwork and furniture	0.6908831000328064
Acceleratioun	SUBST	acceleration	faster progress	de Minister wënscht sech eng Acceleratioun vum Projet 	ACCELERATIOUN1UNI1	an increase in rate of change	0.33375468850135803
Acceleratioun	SUBST	acceleration	increase in speed	duerch d'Acceleratioun ginn d'Leit am Fliger an de Sëtz gedréckt 	ACCELERATIOUN1UNI2	the act of accelerating; increasing the speed	0.6393970847129822
Accent	SUBST	accent	pronunciation, intonation	no zéng Joer an Däitschland hat e säi lëtzebuergeschen Accent verluer 	ACCENT1UNI3	distinctive manner of oral expression	0.42950132489204407
accentuéieren	VRB	to stress	a syllable, a word	an dësem Wuert gëtt déi virlescht Silb accentuéiert 	ACCENTUEIEREN1UNI1	put stress on; utter with an accent	0.3420632779598236
Accès	SUBST	access	admittance	den Accès ass fir d'Personal reservéiert 	ACCES1UNI1	the act of approaching or entering	0.37366190552711487
Accès	SUBST	access	right to use	mam Passwuert huet een Accès op verschidden elektronesch Dictionnairen 	ACCES1UNI2	the right to obtain or make use of or take advantage of something (as services or membership)	0.451203852891922
Accès	SUBST	access	way, entrance	den Accès an d'Schigebitt ass komplett zougeschneit 	ACCES1UNI3	a way of entering or leaving	0.6635811924934387
accessibel	ADJ	accessible	able to be entered	vill ëffentlech Gebaier si fir Leit am Rollstull accessibel 	ACCESSIBEL1UNI1	capable of being reached	0.3722698986530304
accessibel	ADJ	accessible	understandable	Bicher iwwer Physik sinn net fir jiddereen accessibel 	ACCESSIBEL1UNI2	easily obtained	0.19727672636508942
Accessibilitéit	SUBST	accessibility	for people with a disability	duerch d'Installatioun vu Rampen an automateschen Diere konnte mir d'Accessibilitéit vum Gebai verbesseren 	ACCESSIBILITEIT1UNI2	the quality of being at hand when needed	0.23815561830997467
Accessoire	SUBST	prop	used in a play or film	fir déi nei Theatersaison sinn nei Kostümer an Accessoiren an der Maach 	ACCESSOIRE1UNI2	any movable articles or objects used on the set of a play or movie	0.5442600250244141
Accident	SUBST	accident	crash, mishap	gëschter Owend hat e jonke Chauffer e schwéiert Accident 	ACCIDENT1UNI1	an unfortunate mishap; especially one causing damage or injury	0.6399228572845459
accidentéiert	ADJ	damaged	in an accident	den accidentéierte Won ass ofgeschleeft ginn 	ACCIDENTEIERT1UNI1	harmed or injured or spoiled	0.3896943926811218
Accisen	SUBST	duties	excise	d'Accisen um Tubak si gehéicht ginn 	ACCISEN1UNI1	a government tax on imports or exports	0.10417528450489044
Accord	SUBST	agreement	grammatical	am Franséischen di vill Leit sech schwéier mam Accord vum Participe passé 	ACCORD1UNI7	the determination of grammatical inflection on the basis of word relations	0.35381460189819336
Accueil	SUBST	reception	procedures	well den Accueil am Geschäft besser ginn ass, mussen d'Clienten net méi esou laang waarden 	ACCUEIL1UNI1	the act of receiving	0.29360973834991455
Accueil	SUBST	reception	office, desk	déi Informatioune kritt Dir am Accueil 	ACCUEIL1UNI2	a formal party of people; as after a wedding	0.21181078255176544
Accumulatioun	SUBST	accumulation	stylistic device	d'Unheefe vu Verben, Substantiver oder Adjektiven ass eng Accumulatioun 	ACCUMULATIOUN1UNI2	the act of accumulating	0.2531331777572632
Accusatioun	SUBST	accusation	insinuation	deng Accusatioune si komplett aus der Loft gegraff! 	ACCUSATIOUN1UNI1	an assertion that someone is guilty of a fault or offence	0.35139191150665283
Accusatioun	SUBST	accusation	in court	den Ugeklote gouf vun allen Accusatioune fräigesprach 	ACCUSATIOUN1UNI2	an assertion that someone is guilty of a fault or offence	0.4021338224411011
accuséieren	VRB	to accuse	to denounce, to denigrate	ech gouf vun alle Säiten accuséiert , ech géif d'Tatsaache verdréien 	ACCUSEIEREN1UNI1	blame for, make a claim of wrongdoing or misbehavior against	0.339729368686676
accuséieren	VRB	to accuse	to indict	den Dokter ass accuséiert , seng Fra ëmbruecht ze hunn 	ACCUSEIEREN1UNI2	bring an accusation against; level a charge against	0.5716066360473633
Acteur	SUBST	actor	in show business	wat fir eng Acteure spillen an deem Film mat? 	ACTEUR1UNI1	a theatrical performer	0.4916135370731354
Acteur	SUBST	actor	participant	d'Decisioun gouf kollektiv vun all de betraffenen Acteure geholl 	ACTEUR1UNI2	a theatrical performer	0.4115447998046875
Actinium	SUBST	actinium	chemical element	d'Element Actinium gehéiert zum Grupp vun den Actinoiden 	ACTINIUM1UNI1	a radioactive element of the actinide series; found in uranium ores	0.5268328189849854
adden	VRB	to add	on a social network	ech hu gesinn, du hues och en Account op dëser Internetsäit, däerf ech dech adden ? 	ADDEN1UNI1	state or say further	0.14218392968177795
Adjointe	SUBST	deputy	female	d'Adjointe vun der Cheffin wäert si an der Reunioun vertrieden 	ADJOINTE1UNI1	a member of the lower chamber of a legislative assembly (such as in France)	0.11849773675203323
Adjutantin	SUBST	adjutant	female	meng Schwëster ass Adjutantin an der Arméi 	ADJUTANTIN1UNI1	large Indian stork with a military gait	0.19536972045898438
Admirolin	SUBST	admiral	female	neierdéngs steet un der Spëtzt vun der Marinn eng Admirolin 	ADMIROLIN1UNI1	any of several brightly colored butterflies	0.1865316778421402
adoptéieren	VRB	to adopt	a child	well se keng Kanner ka kréien, huet d'Koppel e Weesekand adoptéiert 	ADOPTEIEREN1UNI1	take up the cause, ideology, practice, method, of someone and use it as one's own	0.11454376578330994
adoptéieren	VRB	to adopt	to take up	zënter en d'Pensioun huet, huet en e ganz neie Liewensstil adoptéiert 	ADOPTEIEREN1UNI2	take on a certain form, attribute, or aspect	0.45909446477890015
adoptéieren	VRB	to pass	a bill, a law	de Gesetzesprojet gouf an der Nuecht eestëmmeg adoptéiert 	ADOPTEIEREN1UNI3	make laws, bills, etc. or bring into effect by legislation	0.6494726538658142
adoptéieren	VRB	to adopt	to put into place	esou Mesurë kënnen nëmmen an dréngende Fäll adoptéiert ginn 	ADOPTEIEREN1UNI5	take on titles, offices, duties, responsibilities	0.33939269185066223
Adoptioun	SUBST	adoption	of a child	d'Prozedur vun der Adoptioun kann ënner Ëmstänn jorelaang daueren 	ADOPTIOUN1UNI1	a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)	0.30281028151512146
Adoptioun	SUBST	adoption	of a law	d'Adoptioun vun deem Gesetzesprojet ass wichteg, fir kënne weiderzeschaffen 	ADOPTIOUN1UNI2	a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)	0.34715893864631653
Adress	SUBST	address	for post	Dir musst Ären Numm, Är Adress an Är Telefonsnummer uginn 	ADRESS1UNI1	a sign in front of a house or business carrying the conventional form by which its location is described	0.11371319741010666
Aendoktesch	SUBST	ophthalmologist	female	d'Aendoktesch huet mer Drëpse fir meng dréchen Ae verschriwwen 	AENDOKTESCH1UNI1	a medical doctor specializing in the diagnosis and treatment of diseases of the eye	0.11434683203697205
Aenzeien	SUBST	eyewitness	woman, girl	d'Police huet d'Aenzeie gefrot, de Virfall genee ze beschreiwen 	AENZEIEN2UNI1	a spectator who can describe what happened	0.21084535121917725
Äerd	SUBST	earth	electrical conductor	fir meng elektresch Anlag benotzen ech eng Kofferstaang als Äerd 	AERD1UNI3	a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)	0.5389873385429382
Äerdbier	SUBST	strawberry	fruit	ech hunn de Kuch mat enger Äerdbier dekoréiert 	AERDBIER1UNI3	sweet fleshy red fruit	0.7234505414962769
Äerdbier	SUBST	strawberries	fruits	dëst Joer war d'Äerdbier fréi zeideg 	AERDBIER2UNI2	sweet fleshy red fruit	0.64866042137146
Aerosol	SUBST	aerosol	airborne particles	d'Experte probéieren erauszefannen, ob de Krankheetserreeger sech iwwer Aerosolle verbreet 	AEROSOL1UNI1	a cloud of solid or liquid particles in a gas	0.5831508040428162
afalen	VRB	to collapse	building, structure	den Daach vun deem alen Haus ass gëschter agefall 	AFALEN1UNI1	fall apart	0.24707567691802979
afalen	VRB	to occur	to come to mind	mir fält am Ament kee bessert Wuert an 	AFALEN1UNI2	come to one's mind; suggest itself	0.5634802579879761
afänken	VRB	to catch	an animal	d'Bauere wëllen déi ausgebrache Ranner nees afänken 	AFANKEN1UNI1	capture as if by hunting, snaring, or trapping	0.26461946964263916
aféieren	VRB	to introduce	to establish	déi nei Methode sollen och an de Lëtzebuerger Schoulen ageféiert ginn 	AFEIEREN1UNI1	cause to come to know personally	0.547816812992096
aféieren	VRB	to introduce	to acquaint with	dat ass de Professer, dee mech an d'Literatur ageféiert huet 	AFEIEREN1UNI3	cause to come to know personally	0.58612060546875
Aféierung	SUBST	introduction	of something new	duerch d'Aféierung vum Computer huet d'Bürosaarbecht sech staark verännert 	AFEIERUNG1UNI1	the act of beginning something new	0.6319670677185059
Aféierung	SUBST	introduction	initiation	dëst Buch ass eng gutt Aféierung an déi schwéier Matière 	AFEIERUNG1UNI2	the act of beginning something new	0.5004118084907532
afëllen	VRB	to bottle	a liquid	gëschter huet de Wënzer de Wäin agefëllt 	AFELLEN1UNI1	store (liquids or gases) in bottles	0.4454978108406067
Affär	SUBST	business	affair, event	eise Portier ass an eng lusch Affär eragezu ginn 	AFFAR1UNI1	incidental activity performed by an actor for dramatic effect	0.3302154541015625
Affär	SUBST	case	legal	hei am Land huet e Riichter iwwer 200 Affären d'Joer ze behandelen 	AFFAR1UNI3	a special set of circumstances	0.24836242198944092
Affär	SUBST	affair	love affair	mäi Monni huet eng Affär mat enger bestueter Fra 	AFFAR1UNI7	a usually secretive or illicit sexual relationship	0.46330690383911133
Affekotin	SUBST	lawyer	female	d'Affekotin huet hire Client gutt beroden 	AFFEKOTIN1UNI1	a professional person authorized to practice law; conducts lawsuits or gives legal advice	0.06698799133300781
Affektatioun	SUBST	purpose	use	d'Gebai gëtt renovéiert a kritt eng nei Affektatioun 	AFFEKTATIOUN1UNI1	what something is used for	0.5245452523231506
Affektatioun	SUBST	post	job	ech kréien eng Affektatioun bei der Gemeng 	AFFEKTATIOUN1UNI2	a job in an organization	0.6154343485832214
affektéieren	VRB	to post	to nominate	well hien am Süde wunnt, gouf en och dohin affektéiert 	AFFEKTEIEREN1UNI1	assign to a station	0.27392399311065674
Affer	SUBST	offertory	in church	de Paschtouer hat haut en décken Affer 	AFFER2UNI1	the offerings of the congregation at a religious service	0.409390926361084
afferen	VRB	to sacrifice	to give up selflessly	wiers du bereet, deng Fräizäit dofir ze afferen ? 	AFFEREN1UNI1	endure the loss of	0.4991830885410309
afferen	VRB	to sacrifice	as an offering to a deity	fréier goufen Déieren a Mënsche geaffert 	AFFEREN1UNI3	make a sacrifice of; in religious rituals	0.5980044603347778
affichéieren	VRB	to display	on a screen	d'Resultater ginn um Ecran affichéiert 	AFFICHEIEREN1UNI3	to show, make visible or apparent	0.34887292981147766
Affiliatioun	SUBST	affiliation	membership	d'Affiliatioun bei enger Krankekeess ass obligatoresch 	AFFILIATIOUN1UNI1	the act of becoming formally connected or joined	0.30409520864486694
Afghanin	SUBST	Afghan	female	meng bescht Frëndin ass Afghanin 	AFGHANIN1UNI1	a native or inhabitant of Afghanistan	0.2737687826156616
Afloss	SUBST	influence	power	als Member vum Verwaltungsrot huet säi Papp vill Afloss an der Firma 	AFLOSS1UNI1	one having power to influence another	0.46632009744644165
Afloss	SUBST	influence	effect	de Mound huet Afloss op d'Stréimung vum Mier 	AFLOSS1UNI2	the effect of one thing (or person) on another	0.5659582614898682
afréieren	VRB	to freeze	to preserve at low temperature	meng Mamm fréiert d'Geméis aus dem Gaart direkt nom Plécken an 	AFREIEREN1UNI1	be very cold, below the freezing point	0.49058181047439575
afréieren	VRB	to freeze	to block	d'Subside vun de Gemenge sinn zäitweileg agefruer ginn 	AFREIEREN1UNI2	stop a process or a habit by imposing a freeze on it	0.2839246690273285
Afrikanerin	SUBST	African	female	d'Weltmeeschterin am Héichsprong ass den Ament eng Afrikanerin 	AFRIKANERIN1UNI1	a native or inhabitant of Africa	0.2549440264701843
ageheien	VRB	to post	a letter	ech muss d'Bréiwer den Owend nach ageheien 	AGEHEIEN1UNI1	cause to be directed or transmitted to another place	0.30444204807281494
ageheien	VRB	to break	by throwing something	d'Bouwen hu mam Ball d'Kellerfënster agehäit 	AGEHEIEN1UNI3	make the opening shot that scatters the balls	0.4770766496658325
Agemaachtes	SUBST	preserves	preserved, pickled, bottled food	meng Bomi huet an hirer Spënnche vill Agemaachtes stoen 	AGEMAACHTES1UNI1	fruit preserved by cooking with sugar	0.47692686319351196
Agence	SUBST	branch	office	d'Bank huet hien als Gerant vun der Agence op der Gare nominéiert 	AGENCE1UNI1	a division of some larger or more complex organization	0.18957829475402832
Agence	SUBST	agency	representative	d'Pianistin gëtt vun enger bekannter Agence vertrueden 	AGENCE1UNI2	the state of serving as an official and authorized delegate or agent	0.3163922429084778
Agence	SUBST	agency	official department	d'Regierung huet hir nei Agence fir Entwécklungshëllef virgestallt 	AGENCE1UNI3	an administrative unit of government	0.6121066212654114
Agent	SUBST	agent	for insurance, for property	ech muss dem Agent vu menger Assurance nach uruffen 	AGENT1UNI2	any agent or representative of a federal agency or bureau	0.26250916719436646
ageschriwwen	ADJ	registered	enrolled	déi ageschriwwe Membere vum Club hu gewësse Virdeeler 	AGESCHRIWWEN1UNI1	listed or recorded officially	0.21343012154102325
aggresséieren	VRB	to attack	physically	de Mann gouf mat engem Messer aggresséiert an uerg verwonnt 	AGGRESSEIEREN1UNI1	attack someone physically or emotionally	0.3497711420059204
aggresséieren	VRB	to attack	verbally	op der leschter Generalversammlung huet e Member de President stänneg aggresséiert 	AGGRESSEIEREN1UNI2	attack someone physically or emotionally	0.5180965662002563
aggresséieren	VRB	to attack	foreign state	dat klengt Land ass an senger Geschicht schonn dacks aggresséiert ginn 	AGGRESSEIEREN1UNI3	launch an attack or assault on; begin hostilities or start warfare with	0.27289026975631714
Aggressioun	SUBST	aggression	military, territorial	dat Land huet sech scho géint vill Aggressioune misse wieren 	AGGRESSIOUN1UNI1	the act of initiating hostilities	0.3719805181026459
Aggressioun	SUBST	aggression	aggressive attitude	säi Mësserfolleg huet Aggressioune bei him provozéiert 	AGGRESSIOUN1UNI2	a disposition to behave aggressively	0.7307006120681763
Aggressioun	SUBST	attack	on a person	no der Aggressioun konnt de Schëllege vun der Police festgeholl ginn 	AGGRESSIOUN1UNI3	the act of attacking	0.2825433015823364
aggressiv	ADJ	aggressive	pugnacious	säin aggressiivt Behuele mécht eis Suergen 	AGGRESSIV1UNI1	having or showing determination and energetic pursuit of your ends	0.31151098012924194
aggressiv	ADJ	aggressive	reckless	d'Police huet gëschter Owend en aggressive Chauffer ugehalen 	AGGRESSIV1UNI2	having or showing determination and energetic pursuit of your ends	0.33853989839553833
aggressiv	ADJ	aggressive	garish	an den Achtzegerjore waren déi aggressiv Faarwe modern 	AGGRESSIV1UNI3	characteristic of an enemy or one eager to fight	0.1339474767446518
aggressiv	ADJ	aggressive	dynamic, forceful	si hunn eng aggressiv Verkafspolitik 	AGGRESSIV1UNI4	having or showing determination and energetic pursuit of your ends	0.4110933542251587
Aggressivitéit	SUBST	aggressiveness	violent disposition	ech reagéiere meng Aggressivitéit duerch Boxen of 	AGGRESSIVITEIT1UNI1	a natural disposition to be hostile	0.6887304186820984
aginn	VRB	to administer	a medicine	et ass net einfach, engem klenge Kand e Sirop anzeginn 	AGINN1UNI1	give or apply (medications)	0.45891273021698
aginn	VRB	to enter	digital data	fir d'Donnéeë kënnen ze verwäerten, muss de se an de Computer aginn 	AGINN1UNI2	make a record of; set down in permanent form	0.162492036819458
agoen	VRB	to die	animal, plant	d'Kéi vum Haff sinn all un enger Kränkt agaangen 	AGOEN1UNI2	pass from physical life and lose all bodily attributes and functions necessary to sustain life	0.24716486036777496
agoen	VRB	to make	a deal	déi zwee Politiker si virun de Walen en Deal mateneen agaangen 	AGOEN1UNI6	amount to	0.29088178277015686
Agraff	SUBST	staple	for office purpose	heft d'Blieder wannechgelift mat enger Agraff zesummen! 	AGRAFF1UNI1	paper fastener consisting of a short length of U-shaped wire that can fasten papers together	0.3506726026535034
Agrement	SUBST	licence	authorization	fir eng konventionéiert Crèche däerfen opzemaachen, brauch een en Agrement vum zoustännege Ministère 	AGREMENT1UNI1	a legal document giving official permission to do something	0.4233264923095703
Agrement	SUBST	licence	document	de Ministère huet den Agrement nach net zeréckgeschéckt 	AGREMENT1UNI2	a legal document giving official permission to do something	0.41343143582344055
Ägypterin	SUBST	Egyptian	female	meng bescht Frëndin ass Ägypterin 	AGYPTERIN1UNI1	a native or inhabitant of Egypt	0.24693875014781952
Ahorn	SUBST	maple	plant	de Fierschter huet jonk Ahorne planze gelooss 	AHORN1UNI1	any of numerous trees or shrubs of the genus Acer bearing winged seeds in pairs; north temperate zone	0.36929088830947876
Ahorn	SUBST	maple	wood	eisen neie Schaf ass aus Ahorn 	AHORN1UNI2	wood of any of various maple trees; especially the hard close-grained wood of the sugar maple; used especially for furniture and flooring	0.6080300807952881
Äifer	SUBST	irritation	anger	wann s de däi Papp net mat Rou léiss, da geréit en nach an den Äifer ! 	AIFER1UNI2	a sudden outburst of anger	0.5996201038360596
Aiglefin	SUBST	haddock	food	den Aiglefin schmaacht am beschten, wann een en am Béierdeeg frittéiert 	AIGLEFIN1UNI1	lean white flesh of fish similar to but smaller than cod; usually baked or poached or as fillets sauteed or fried	0.21238310635089874
Aiglefin	SUBST	haddock	animal	d'Weibche vum Aiglefin ka bis zu 1,5 Milliounen Eeër leeën 	AIGLEFIN1UNI2	lean white flesh of fish similar to but smaller than cod; usually baked or poached or as fillets sauteed or fried	0.15031269192695618
Airelle	SUBST	lingonberry	fruit	ech kachen all Joer Gebeess vun den Airellen , fir beim Wëld ze zerwéieren 	AIRELLE1UNI1	tart red berries similar to American cranberries but smaller	0.41257819533348083
äiseg	ADJ	icy	freezing	no där äiseger Wanternuecht war de Séi zougefruer 	AISEG1UNI1	extremely cold	0.6538479924201965
äiseg	ADJ	icy	unfriendly	déi zwee Géigner sëtze sech mat äisege Minne géintiwwer 	AISEG1UNI2	devoid of warmth and cordiality; expressive of unfriendliness or disdain	0.6693342328071594
äiskal	ADJ	icy	emotionless	säin äiskale Bléck mécht de Leit Angscht 	AISKAL1UNI2	devoid of warmth and cordiality; expressive of unfriendliness or disdain	0.378987580537796
