lemma	pos	en_word	en_definition	sentence	code	wn_definition	confidence	lux_definition
bestralen	VRB	to irradiate	to expose to radiation	deen Tumeur muss bestraalt ginn 	BESTRALEN1UNI1	expose to radiation	0.8806604743003845	Un Strahlung auszesetzen
Bëtschel	SUBST	kid	young goat	mir hunn um Véimaart zwee Bëtschele kaaft 	BETSCHEL1UNI1	young goat	1.0000001192092896	Jonk Geiss
Bëtschel	SUBST	kid	young goat	elo ass d'Bëtschel fett! 	BETSCHEL1UNI1_EGS	young goat	1.0000001192092896	Jonk Zickel
blockéieren	VRB	to block	to obstruct	d'Demonstrante blockéieren d'Strooss 	BLOCKEIEREN1UNI1	obstruct	0.8667787313461304	obstruktéierer
braconéieren	VRB	to poach	to hunt illegally	an der Zäit hunn d'Leit dacks aus Nout braconéiert 	BRACONEIEREN1UNI1	hunt illegally	0.8201436400413513	Illegal jagen
datéieren	VRB	to date	to mark with a date	de Bréif muss nach datéiert ginn 	DATEIEREN1UNI1	stamp with a date	0.8002471327781677	Mat engem Datum stempelen
Datum	SUBST	date	day of the month or year	kommt, mir verleeën d'Versammlung op e spéideren Datum ! 	DATUM1UNI1	the specified day of the month	0.8252881765365601	Den ugebueden Dag vum Mount
Disziplin	SUBST	discipline	branch of knowledge	ass d'Homeopathie als wëssenschaftlech Disziplin unerkannt? 	DISZIPLIN1UNI3	a branch of knowledge	0.9599902629852296	Eng Branche vum Wëssen
Dominikaner	SUBST	Dominican	person from the Dominican Republic	mäi beschte Frënd ass Dominikaner 	DOMINIKANER1UNI1	a native or inhabitant of the Dominican Republic	0.8251112103462219	Eng Inwoner oder Bewunner vun der Dominikanescher Republik
dout maachen	VRB	to kill	to cause the death of	hien ass esou en duusse Kärel, e kann net emol eng Méck dout maachen 	DOUTMAACHEN1UNI1	cause to die; put to death, usually intentionally or knowingly	0.8040356636047363	Fongen, fir ze déngen; ëmbréngen, normalerweis absichtlech oder wësselech
dreckeg	ADJ	dirty	dishonest, unethical	eis Clique gouf an eng dreckeg Affär eragezunn 	DRECKEG1UNI3	unethical or dishonest	0.9217058420181274	Onethesch oder onärlech
dreckeg	ADJ	dirty	dishonest, unethical	mir geet et am Ament zimmlech dreckeg ! 	DRECKEG1UNI3_EGS	unethical or dishonest	0.9217058420181274	Onethesch oder dishonest.
ënnerierdesch	ADJ	underground	beneath the ground	op der Maartplaz gëtt en neien ënnerierdesche Parking gebaut 	ENNERIERDESCH1UNI1	beneath the surface of the earth	0.8629878759384155	Déi ënner der Uewerfläch vun der Erde liegend
Equiliber	SUBST	balance	equilibrium	de Cyclist huet den Equiliber verluer an ass vum Vëlo gefall 	EQUILIBER1UNI3	be in equilibrium	0.8582607507705688	Am Equilibrum sinn
erschafen	VRB	to create	to bring into existence	der Bibel no gouf d'Welt vu Gott erschafen 	ERESCHAFEN1UNI1	bring into existence	0.8873504400253296	E existentéieren bréngen
Exzess	SUBST	excess	overindulgence	mat sengen Exzesser ruinéiert e seng Gesondheet 	EXZESS1UNI1	excessive indulgence	0.8836401104927063	Exzessiv Iwwerzéiung
Faveur	SUBST	favour	act of kindness	kéint Dir mir eng Faveur maachen? 	FAVEUR1UNI1	an act of gracious kindness	0.8609245419502258	Eng Handlung vu grousser Jeréiss oder Kéier
feelschloen	VRB	to fail	to be unsuccessful	all eis Versich si feelgeschloen 	FEELSCHLOEN1UNI1	be unsuccessful	0.8628107905387878	on Erfolleg hunn
Feind	SUBST	enemy	personal enemy	hien huet keng Feinden , hie verdréit sech mat jidderengem! 	FEIND1UNI1	a personal enemy	0.9231346249580384	E perséinleche Feind
Feind	SUBST	enemy	personal enemy	bei esou Frënn brauch ee keng Feinden 	FEIND1UNI1_EGS	a personal enemy	0.9231346249580384	E perséinleche Feind
fëllen	VRB	to fill	to become full	de Festsall huet sech lues a lues gefëllt 	FELLEN1UNI3	become full	0.8890049457550049	Voll ginn
Fënster	SUBST	window	opening, window frame, pane of glass	mir kréie méi eng grouss Fënster an der Stuff 	FENSTER1UNI1	a pane of glass in a window	0.8491140604019165	Eng Plack Glas an enger Fënster
Fënster	SUBST	window	opening, window frame, pane of glass	hien huet (mat béiden Hänn) d'Suen zur Fënster erausgehäit 	FENSTER1UNI1_EGS	a pane of glass in a window	0.8491140604019165	Eng Plack Glas an enger Fënster
fir	PREP	first	before something else	fir d'éischt gëtt geléiert an da kanns de spille goen! 	FIR2UNI10	before anything else	0.8542120456695557	Virun allem aneren
Forschett	SUBST	fork	item of cutlery	ech iessen de Poulet mat Messer a Forschett 	FORSCHETT1UNI1	cutlery used for serving and eating food	0.8095357418060303	Besteck benotzt fir Iessen ze servéieren an ze iessen
Forschett	SUBST	fork	item of cutlery	an där Wiertschaft schreiwen se mat der Forschett op! 	FORSCHETT1UNI1_EGS	cutlery used for serving and eating food	0.8095357418060303	Dësen Ëtzel dat gebraucht gëtt fir Iessen ze déngen an ze iessen
fréizäiteg	ADJ	early	at an early stage	eng fréizäiteg Kriibsdiagnos ka Liewe retten 	FREIZAITEG1UNI1	during an early stage	0.8407450318336487	Während enger fréier Etapp
Gebuertsdag	SUBST	birthday	anniversary of one's birth	fir säin 18. Gebuertsdag hunn seng Elteren him en Auto geschenkt 	GEBUERTSDAG1UNI1	an anniversary of the day on which a person was born (or the celebration of it)	0.8856374025344849	E Joergedächtnis vum Dag, wou eng Persoun gebuer gouf (oder d'Feier dovun)
Gehéier	SUBST	hearing	ability to hear	mäi Papp huet fir säin Alter nach e ganz gutt Gehéier 	GEHEIER1UNI1	the ability to hear; the auditory faculty	0.8196088075637817	D'Fäegkeet ze héieren; d'auditive Fäegkeet
gëllen	ADJ	golden	made of gold	d'Bomi deet hire gëllene Bracelet nëmme sonndes un 	GELLEN1UNI1	made from or covered with gold	0.8440936803817749	Aus Gold gemaach oder mat Gold iwwerzunn
gëllen	ADJ	golden	made of gold	de Promoteur huet sech mat dësen Terrainen eng Gëllen Nues verdéngt 	GELLEN1UNI1_EGS	made from or covered with gold	0.8440936803817749	Aus Gold gemaach oder mat Gold bedeckt
Giedel	SUBST	granny	old woman	d'Giedel huet de Kanner verzielt, wéi d'Leit fréier gelieft hunn 	GIEDEL1UNI1	an old woman	0.922964870929718	Eng al Fra
Gläichgewiicht	SUBST	balance	equilibrium	de Cyclist huet d'Gläichgewiicht verluer an ass vum Vëlo gefall 	GLAICHGEWIICHT1UNI1	be in equilibrium	0.8582607507705688	Am Gläichgewiicht sinn
gleewen	VRB	to believe	to accept as true	ech kann deng Geschicht einfach net gleewen 	GLEEWEN1UNI1	accept as true; take to be true	0.8437761068344116	Als wäit wéi richteg akzeptéieren; et fir echt huelen
gleewen	VRB	to believe	to accept as true	dat gleefs de dach selwer net! 	GLEEWEN1UNI1_EGS	accept as true; take to be true	0.8437761068344116	Sou als wäit ugeholl; mengt dass et wouer ass
granatevoll	ADJ	plastered	very drunk	nom Summerfest ware mer all granatevoll 	GRANATEVOLL1UNI1	very drunk	1.0000001192092896	Sehr betrénkt
Grimass	SUBST	face	facial expression	de Bouf huet der Joffer hanner dem Réck Grimasse geschnidden 	GRIMASS1UNI1	a contorted facial expression	0.8156872987747192	Eng verzerrt Gesiichtsausdréck
grondéieren	VRB	to prime	to cover with a primer	den Usträicher huet d'Mauer scho grondéiert 	GRONDEIEREN1UNI1	cover with a primer; apply a primer to	0.8385308980941772	Mit enger Grondéierung bedecken; eng Grondéierung ufänken
