lemma	pos	en_word	en_definition	sentence	wn_definition	confidence	lux_definition
Gebuertsdag	SUBST	birthday	anniversary of one's birth	fir säin 18. Gebuertsdag hunn seng Elteren him en Auto geschenkt 	an anniversary of the day on which a person was born (or the celebration of it)	0.8856374025344849	Den Anniversaire vum Dag, un deem eng Persoun gebuer gouf (oder d'Feier dovun)
Gehéier	SUBST	hearing	ability to hear	mäi Papp huet fir säin Alter nach e ganz gutt Gehéier 	the ability to hear; the auditory faculty	0.8196088075637817	d'Fäegkeet ze héieren; d'héiraresch Fakultéit
gëllen	ADJ	golden	made of gold	d'Bomi deet hire gëllene Bracelet nëmme sonndes un 	made from or covered with gold	0.8440936803817749	aus Gold gemaach oder mat Gold iwwerdeckt
gëllen	ADJ	golden	made of gold	de Promoteur huet sech mat dësen Terrainen eng Gëllen Nues verdéngt 	made from or covered with gold	0.8440936803817749	aus Gold gemaach oder mat Gold bedeckt
Giedel	SUBST	granny	old woman	d'Giedel huet de Kanner verzielt, wéi d'Leit fréier gelieft hunn 	an old woman	0.922964870929718	eng al Fra
Gläichgewiicht	SUBST	balance	equilibrium	de Cyclist huet d'Gläichgewiicht verluer an ass vum Vëlo gefall 	be in equilibrium	0.8582607507705688	am Gläichgewiicht sinn
gleewen	VRB	to believe	to accept as true	ech kann deng Geschicht einfach net gleewen 	accept as true; take to be true	0.8437761068344116	als wouer ugeholl; fir wouer halen
gleewen	VRB	to believe	to accept as true	dat gleefs de dach selwer net! 	accept as true; take to be true	0.8437761068344116	als wouer unerkennen; fir wouer halen
granatevoll	ADJ	plastered	very drunk	nom Summerfest ware mer all granatevoll 	very drunk	1.0000001192092896	ganz besoffen
Grimass	SUBST	face	facial expression	de Bouf huet der Joffer hanner dem Réck Grimasse geschnidden 	a contorted facial expression	0.8156872987747192	eng verzeigte Gesiichtsausdrock
grondéieren	VRB	to prime	to cover with a primer	den Usträicher huet d'Mauer scho grondéiert 	cover with a primer; apply a primer to	0.8385308980941772	mat enger Grondéierunge bedecken; eng Grondéierung opdroen
