lemma	pos	en_word	en_definition	de_word	de_definition	fr_word	fr_definition	sentence	code	wn_definition_en	confidence_en	wn_definition_de	confidence_de	wn_definition_fr	confidence_fr
aarm	ADJ	poor	needy	arm		pauvre	nécessiteux	vill Kanner aus aarme Famillje gi mueres hongereg an d'Schoul 	AARM1UNI1	not sufficient to meet a need	0.3779802918434143				
aarm	ADJ	poor	pitiable	arm		pauvre	pitoyable	deem aarme Meedche geschéien nëmmen Onglécker 	AARM1UNI2	deserving or inciting pity; ; ; - Galsworthy	0.4900904595851898				
aarm	ADJ	poor	barren	karg	Boden	pauvre		an aarme Biedem wiisst net vill 	AARM1UNI3	lacking in specific resources, qualities or substances	0.37959253787994385				
Aarm	SUBST	arm	limb	Arm	Gliedmaße	bras	membre	kuck, du hues en Himmelsdéierchen um Aarm sëtzen! 	AARM2UNI1	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	0.5512723326683044			a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	0.5512723922729492
Aarm	SUBST	branch	of a river	Arm		bras	bras de rivière	de Floss spléckt sech an zwee Äerm 	AARM2UNI2	a stream or river connected to a larger one	0.6543624997138977				
aarmséileg	ADJ	contemptible		armselig	verachtenswert	pauvre		lauschter net op deen aarmséilegen Typ! 	AARMSEILEG1UNI2			nicht der Rede wert	0.5739037990570068		
Aasch	SUBST	arse	bottom	Arsch	Gesäß	cul	postérieur	setz dech op däin Aasch an da mucks de dech net méi! 	AASCH1UNI1	the fleshy part of the human body that you sit on	0.30053868889808655				
Aasch	SUBST	arse	insult	Arsch	Schimpfwort	connard		du Aasch ! 	AASCH1UNI2	vulgar slang for anus	0.3446687161922455				
Aaschlach	SUBST	arsehole	anus	Arschloch	After	trou du cul	anus	däin Hond ass ganz wond um Aaschlach 	AASCHLACH1UNI1	vulgar slang for anus	0.6598153114318848				
Aaschlach	SUBST	arsehole	insult	Arschloch	Schimpfwort	trou du cul	insulte	du Aaschlach ! 	AASCHLACH1UNI2	vulgar slang for anus	0.34466874599456787				
Aascht	SUBST	branch	of a tree	Ast	eines Baums	branche	d'un arbre	d'Äscht vun där aler Eech maachen eis Schiet 	AASCHT1UNI1	a part of a forked or branching shape	0.4176134169101715	einer der Hauptzweige, die vom Stamm oder einem Zweig eines Baumes ausgehen	0.6702059507369995	any of the larger branches of a tree	0.6953334212303162
abannen	VRB	to cover	a book	einbinden	einhüllen, einwickeln	recouvrir	un livre	fir de Schoulufank musse mer deng Bicher nach abannen 	ABANNEN1UNI1	copulate with a female, used especially of horses	0.2171446532011032	einfügen oder einlegen	0.5497905015945435		
Abberzuel	SUBST	large number (of)		Haufen	große Anzahl	tas (de)	grand nombre	fir meng Hochzäit hunn ech eng Abberzuel Leit agelueden 	ABBERZUEL1UNI2			eine große Anzahl oder Menge	0.8691233396530151		
abéissen	VRB	to lose	to cease to have	einbüßen		perdre	cesser d'avoir	eis Partei huet bei de leschte Wale vill Stëmmen agebéisst 	ABEISSEN1UNI1	fail to keep or to maintain; cease to have, either physically or in an abstract sense	0.5798303484916687				
Abenteurerin	SUBST	adventurer	female	Abenteurerin		aventurière		meng Tatta huet e puer Méint am Dschungel gelieft, se ass eng richteg Abenteurerin 	ABENTEURERIN1UNI1	a person who enjoys taking risks	0.24158599972724915				
abetonéieren	VRB	to concrete	to fix in concrete	einbetonieren		sceller dans du béton		d'Aarbechter hu Pottoe laanscht d'Strooss abetonéiert 	ABETONEIEREN1UNI1	cover with cement	0.5499293208122253				
abezuelen	VRB	to contribute	to make a regular payment	(Beiträge) einzahlen		cotiser		meng Mamm bezilt all Mount an d'Pensiounskeess an 	ABEZUELEN1UNI2	provide	0.2368997037410736				
abiergeren	VRB	to become accepted		sich einbürgern	üblich werden, sich verbreiten	passer dans les mœurs		et huet sech mat der Zäit agebiergert , datt d'Leit an de Wantersport fueren 	ABIERGEREN1UNI1			sich über oder auf etwas ausbreiten	0.5687717795372009		
abiergeren	VRB	to naturalise	a person	einbürgern		naturaliser	une personne	no der Aféierung vun der duebeler Nationalitéit goufe vill Auslänner agebiergert 	ABIERGEREN1UNI2	make more natural or lifelike	0.0909232646226883				
abiergeren	VRB	to naturalise	species, plant	sich einbürgern	heimisch werden	s'acclimater	animal, plante	mëttlerweil huet den nordamerikanesche Wäschbier sech an Europa agebiergert 	ABIERGEREN1UNI3	adapt (a wild plant or unclaimed land) to the environment	0.36277031898498535				
Abildung	SUBST	illusion	false belief	Einbildung	irrige Vorstellung	illusion	croyance erronée	hie war iwwerzeegt, hie géif gemobbt, mee et war alles nëmmen Abildung 	ABILDUNG1UNI1	something many people believe that is false	0.6606165766716003			something many people believe that is false	0.6606165766716003
Abléck	SUBST	moment	instant	Augenblick		instant	durée très courte	ech hunn en Abléck nogeduecht, ier ech meng Entscheedung geholl hunn 	ABLECK1UNI1	an indefinitely short time	0.37898632884025574				
Abléck	SUBST	moment	point in time	Moment	Zeitpunkt	moment	espace de temps précis	dat war en historeschen Abléck 	ABLECK1UNI2	a particular point in time	0.6692098379135132	ein bestimmter Zeitpunkt	0.8649700284004211		
ablécklech	ADJ	current		augenblicklich	momentan	actuel	de ce moment, présent	an där ablécklecher Situatioun kann d'Doktesch nach näischt Konkreetes soen 	ABLECKLECH1UNI1			in diesem Moment	0.7715029120445251		
ablenden	VRB	to show	to insert into a film sequence	einblenden		montrer	dans une séquence de plans filmés	d'Bild vum Vermësste gouf an den Noriichten ageblent 	ABLENDEN1UNI1	show in, or as in, a picture	0.3287641406059265				
Abonnentin	SUBST	subscriber	female	Abonnentin		abonnée		ech si scho laang Abonnentin vun där Zeitung, d'Artikele sinn immens! 	ABONNENTIN1UNI1	someone who expresses strong approval	0.29625555872917175				
abordéieren	VRB	to address	to touch on	ansprechen	zur Sprache bringen	aborder	évoquer	ech hu mech net getraut, dee Problem ze abordéieren 	ABORDEIEREN1UNI1	act on verbally or in some form of artistic expression	0.2924988269805908	mit jemandem sprechen	0.6101149916648865		
Abouss	SUBST	loss	disadvantage	Einbuße		perte	préjudice	duerch d'Iwwerschwemmunge rechnen déi geschiedegt Geschäftsleit mat staarken Aboussen 	ABOUSS1UNI1	the disadvantage that results from losing something	0.606105625629425			the disadvantage that results from losing something	0.606105625629425
abréngen	VRB	to fetch	money	einbringen	Gewinn	rapporter	de l'argent	seng Konschtwierker hunn eréischt no sengem Doud Suen abruecht 	ABRENGEN1UNI2	be sold for a certain price	0.3220762014389038				
abriechen	VRB	to break in(to)		einbrechen	mit Gewalt eindringen	s'introduire par effraction		den Déif ass dës Nuecht an zwee Haiser agebrach 	ABRIECHEN1UNI1			eingebrochen werden	0.6643893718719482		
abriechen	VRB	to pull down	to demolish	einbrechen		démolir	une construction	zënter si d'Mauer agebrach hunn , ass hire Salon vill méi grouss 	ABRIECHEN2UNI2					tear down so as to make flat with the ground	0.5524433255195618
Abriecherin	SUBST	burglar	female	Einbrecherin		cambrioleuse		d'Abriecherin ass in flagranti vun der Police erwëscht ginn 	ABRIECHERIN1UNI1	a thief who enters a building with intent to steal	0.154178649187088				
Abroch	SUBST	collapse	economical	(wirtschaftlicher) Einbruch		crise	économique	de wirtschaftlechen Abroch wäert negativ Konsequenzen op den Aarbechtsmaart hunn 	ABROCH1UNI2	a sudden large decline of business or the prices of stocks (especially one that causes additional failures)	0.1654445230960846				
abrocken	VRB	to cause	bother	einbrocken	Ärger	causer	des ennuis	komm elo net kräischen, dat do hues de der selwer agebrockt 	ABROCKEN1UNI1	cause to do; cause to act in a specified manner	0.15753091871738434				
abscheilech	ADJ	disgusting	sickening	abscheulich		répugnant	peu ragoûtant	vu wou kënnt deen abscheileche Geroch? 	ABSCHEILECH1UNI1	highly offensive; arousing aversion or disgust	0.32518672943115234				
abscheilech	ADJ	disgusting	abominable	abscheulich	verwerflich	répugnant	abject	wéinst sengen abscheilechen Dote souz hie bis zu sengem Liewensenn am Prisong 	ABSCHEILECH1UNI2	highly offensive; arousing aversion or disgust	0.4628569781780243	abscheulich zu sein	0.554905891418457	unequivocally detestable	0.6287916898727417
Abschnitt	SUBST	paragraph	of text	Abschnitt		passage	d'un texte	ech weess de ganzen Abschnitt auswenneg 	ABSCHNITT1UNI1	one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line	0.35445237159729004				
Absence	SUBST	absence	non-presence	Abwesenheit	das Ausbleiben, das Wegbleiben	absence	non-présence	wat ass wärend menger Absence geschitt? 	ABSENCE1UNI1	the state of being absent	0.6362861394882202			the state of being absent	0.6362861394882202
Absence	SUBST	absence	lack	Abwesenheit	Mangel, Nichtvorhandensein	absence		duerch d'Absence vu kloren Direktiven ass de Projet näischt ginn 	ABSENCE1UNI2	the state of being absent	0.3814939260482788	Nichterscheinen	0.6975924968719482		
Absinth	SUBST	absinthe	drink	Absinth	Getränk	absinthe	boisson	den Absinth war laang Zäit verbueden, elo ass en nees erlaabt 	ABSINTH1UNI2	strong green liqueur flavored with wormwood and anise	0.20733776688575745				
absolut	ADJ	absolute	measurement	absolut	Messung	absolu	mesure	déi absolut Héicht vun engem Bierg gëtt vum Mieresspigel aus gemooss 	ABSOLUT2UNI3	perfect or complete or pure	0.2346038818359375				
absolvéieren	VRB	to complete	a course, one's studies	absolvieren	Aus-, Weiterbildung	accomplir	des études, des cours	mäi Brudder huet als Eenzegen an der Famill en Universitéitsstudium absolvéiert 	ABSOLVEIEREN1UNI1	bring to a whole, with all the necessary parts or elements	0.17757263779640198				
Absolventin	SUBST	graduate	female	Absolventin		diplômée		ech wousst laang net, datt meng Büroskolleegin Absolventin vun enger renomméierter Uni ass 	ABSOLVENTIN1UNI1	a person who has received a degree from a school (high school or college or university)	0.1757284551858902				
abstrakt	ADJ	abstract	theoretical	abstrakt	theoretisch, begrifflich	abstrait	conceptuel	déi abstrakt Froe kann ech net beäntweren! 	ABSTRAKT1UNI1	dealing with a subject in the abstract without practical purpose or intention	0.3158106505870819				
Absurditéit	SUBST	absurdity	something absurd	Absurdität	etwas Absurdes	absurdité	chose absurde	et ass eng Absurditéit , esou vill Sue fir déi Aarbecht ze verlaangen! 	ABSURDITEIT1UNI1	a ludicrous folly	0.5079655647277832	Das Absurd-Sein/Widersinnig-Sein/Sinnlos-Sein	0.637546718120575		
Absurditéit	SUBST	absurdity	illogicality	Absurdität	das Absurdsein	absurdité	caractère absurde	si gouf op d'Absurditéit vun hirer Argumentatioun higewisen 	ABSURDITEIT1UNI2	a ludicrous folly	0.5066584348678589	Das Absurd-Sein/Widersinnig-Sein/Sinnlos-Sein	0.6562800407409668		
Abteilung	SUBST	branch		Abteilung	eines Unternehmens, einer Dienststelle	service	département	d'Firma huet dëst Joer eng Abteilung an d'Ausland verluecht 	ABTEILUNG1UNI1			eine Verwaltungseinheit in einer Regierung oder einem Unternehmen	0.6638740301132202		
Abus	SUBST	abuse	misuse	Missbrauch		abus	excès	a Saache Jugendaarbecht mussen all méiglech Abuse verhënnert ginn 	ABUS1UNI1	improper or excessive use	0.6425849199295044				
abusiv	ADJ	abusive	excessive	übermäßig		abusif		den abusive Gebrauch vu Medikamenter schuet der Gesondheet 	ABUSIV1UNI1	characterized by physical or psychological maltreatment	0.20821912586688995				
Abzebild	SUBST	transfer	picture	Abziehbild		décalcomanie	image	d'Kanner hunn Abzebiller an d'Kichefënstere gepecht 	ABZEBILD1UNI1	transferring ownership	0.08350114524364471				
Acajou	SUBST	mahogany	wood	Mahagoni		acajou	bois	mäi Kleederschaf ass aus Acajou 	ACAJOU1UNI1	wood of any of various mahogany trees; much used for cabinetwork and furniture	0.6908830404281616			wood of any of various mahogany trees; much used for cabinetwork and furniture	0.6908830404281616
Acceleratioun	SUBST	acceleration	faster progress	Beschleunigung	schnelleres Vorankommen	accélération	fait d'avancer plus vite	de Minister wënscht sech eng Acceleratioun vum Projet 	ACCELERATIOUN1UNI1	an increase in rate of change	0.33375462889671326	der Vorgang des Beschleunigens; Erhöhung der Geschwindigkeit	0.5302402377128601		
Acceleratioun	SUBST	acceleration	increase in speed	Beschleunigung	Geschwindigkeitszunahme	accélération	augmentation de vitesse	duerch d'Acceleratioun ginn d'Leit am Fliger an de Sëtz gedréckt 	ACCELERATIOUN1UNI2	the act of accelerating; increasing the speed	0.6393970251083374	der Vorgang des Beschleunigens; Erhöhung der Geschwindigkeit	0.7468486428260803	the act of accelerating; increasing the speed	0.6393970251083374
Accent	SUBST	accent	pronunciation, intonation	Akzent	Tonfall	accent	prononciation	no zéng Joer an Däitschland hat e säi lëtzebuergeschen Accent verluer 	ACCENT1UNI3	distinctive manner of oral expression	0.429501473903656			the quality of a person's voice	0.5442826747894287
accentuéieren	VRB	to stress	a syllable, a word	betonen	einen Laut	accentuer	mettre l'accent tonique sur	an dësem Wuert gëtt déi virlescht Silb accentuéiert 	ACCENTUEIEREN1UNI1	put stress on; utter with an accent	0.34206318855285645	festzustellen	0.5085071325302124		
Accès	SUBST	access	admittance	Zugang		accès	entrée	den Accès ass fir d'Personal reservéiert 	ACCES1UNI1	the act of approaching or entering	0.37366175651550293				
Accès	SUBST	access	right to use	Zugang		accès	à des données, à des informations	mam Passwuert huet een Accès op verschidden elektronesch Dictionnairen 	ACCES1UNI2	the right to obtain or make use of or take advantage of something (as services or membership)	0.4512043595314026				
Accès	SUBST	access	way, entrance	Zugang	Weg	accès	voie d'accès	den Accès an d'Schigebitt ass komplett zougeschneit 	ACCES1UNI3	a way of entering or leaving	0.6635808944702148				
accessibel	ADJ	accessible	able to be entered	zugänglich		accessible	où l'on peut accéder	vill ëffentlech Gebaier si fir Leit am Rollstull accessibel 	ACCESSIBEL1UNI1	capable of being reached	0.37226974964141846				
accessibel	ADJ	accessible	understandable	verständlich	leicht fassbar	accessible		Bicher iwwer Physik sinn net fir jiddereen accessibel 	ACCESSIBEL1UNI2	easily obtained	0.19727672636508942	(von Sprache) durchsichtig klar; leicht verständlich	0.6542891263961792		
Accessibilitéit	SUBST	accessibility	for people with a disability	Barrierefreiheit		accessibilité	aux personnes handicapées	duerch d'Installatioun vu Rampen an automateschen Diere konnte mir d'Accessibilitéit vum Gebai verbesseren 	ACCESSIBILITEIT1UNI2	the quality of being at hand when needed	0.23815569281578064				
Accessoire	SUBST	prop	used in a play or film	Requisit		accessoire	de théâtre, de film	fir déi nei Theatersaison sinn nei Kostümer an Accessoiren an der Maach 	ACCESSOIRE1UNI2	any movable articles or objects used on the set of a play or movie	0.5442601442337036			any movable articles or objects used on the set of a play or movie	0.5442601442337036
Accident	SUBST	accident	crash, mishap	Unfall		accident		gëschter Owend hat e jonke Chauffer e schwéiert Accident 	ACCIDENT1UNI1	an unfortunate mishap; especially one causing damage or injury	0.6399229168891907				
accidentéiert	ADJ	damaged	in an accident	verunglückt	von einem Unfall betroffen	accidenté	qui a subi un accident	den accidentéierte Won ass ofgeschleeft ginn 	ACCIDENTEIERT1UNI1	harmed or injured or spoiled	0.3896943926811218				
Accisen	SUBST	duties	excise	Akzisen	indirekte Verbrauchssteuern	accises	impôts indirects	d'Accisen um Tubak si gehéicht ginn 	ACCISEN1UNI1	a government tax on imports or exports	0.10417532920837402				
Accord	SUBST	agreement	grammatical	Angleichung	grammatikalische Kongruenz	accord	grammatical	am Franséischen di vill Leit sech schwéier mam Accord vum Participe passé 	ACCORD1UNI7	the determination of grammatical inflection on the basis of word relations	0.3538147509098053				
Accouchement	SUBST	childbirth		Entbindung	Geburt	accouchement		eis Nopesch hat e schwéiert Accouchement 	ACCOUCHEMENT1UNI1			der Vorgang der Entbindung	0.5792802572250366		
Accueil	SUBST	reception	procedures	Empfang		accueil	prise en charge	well den Accueil am Geschäft besser ginn ass, mussen d'Clienten net méi esou laang waarden 	ACCUEIL1UNI1	the act of receiving	0.29360970854759216				
Accueil	SUBST	reception	office, desk	Empfang		accueil	bureau	déi Informatioune kritt Dir am Accueil 	ACCUEIL1UNI2	a formal party of people; as after a wedding	0.21181081235408783				
Accumulatioun	SUBST	accumulation	stylistic device	Akkumulation	rhetorisches Stilmittel	accumulation	figure de rhétorique	d'Unheefe vu Verben, Substantiver oder Adjektiven ass eng Accumulatioun 	ACCUMULATIOUN1UNI2	the act of accumulating	0.2531333267688751				
Accusatioun	SUBST	accusation	insinuation	Beschuldigung	Unterstellung, Verleumdung	accusation	allégation, calomnie	deng Accusatioune si komplett aus der Loft gegraff! 	ACCUSATIOUN1UNI1	an assertion that someone is guilty of a fault or offence	0.3513922393321991				
Accusatioun	SUBST	accusation	in court	Beschuldigung	vor Gericht	accusation	en justice	den Ugeklote gouf vun allen Accusatioune fräigesprach 	ACCUSATIOUN1UNI2	an assertion that someone is guilty of a fault or offence	0.4021340012550354			the institution and conduct of legal proceedings against a defendant for criminal behavior	0.5339512825012207
accuséieren	VRB	to accuse	to denounce, to denigrate	beschuldigen	Unterstellungen machen über, verleumden	accuser	faire des allégations à l'encontre de, calomnier	ech gouf vun alle Säiten accuséiert , ech géif d'Tatsaache verdréien 	ACCUSEIEREN1UNI1	blame for, make a claim of wrongdoing or misbehavior against	0.33972933888435364	förmlich zurechtweisen	0.5060398578643799		
accuséieren	VRB	to accuse	to indict	beschuldigen	vor Gericht	accuser	en justice	den Dokter ass accuséiert , seng Fra ëmbruecht ze hunn 	ACCUSEIEREN1UNI2	bring an accusation against; level a charge against	0.571606457233429			accuse formally of a crime	0.5753613114356995
acquittéieren	VRB	to acquit		freisprechen	für unschuldig erklären	acquitter	déclarer non coupable	wéinst Manktem u Beweiser ass de Beschëllegten acquittéiert ginn 	ACQUITTEIEREN1UNI2			von einer strafrechtlichen Anklage für nicht schuldig erklären	0.592377245426178		
Acteur	SUBST	actor	in show business	Schauspieler		acteur		wat fir eng Acteure spillen an deem Film mat? 	ACTEUR1UNI1	a theatrical performer	0.4916136860847473				
Acteur	SUBST	actor	participant	Akteur	Beteiligte(r)	acteur	participant, intervenant	d'Decisioun gouf kollektiv vun all de betraffenen Acteure geholl 	ACTEUR1UNI2	a theatrical performer	0.41154518723487854				
Actinium	SUBST	actinium	chemical element	Actinium	chemisches Element	actinium	élément chimique	d'Element Actinium gehéiert zum Grupp vun den Actinoiden 	ACTINIUM1UNI1	a radioactive element of the actinide series; found in uranium ores	0.5268325805664062			a radioactive element of the actinide series; found in uranium ores	0.5268325805664062
adden	VRB	to add	on a social network	adden		ajouter comme ami	sur un réseau social	ech hu gesinn, du hues och en Account op dëser Internetsäit, däerf ech dech adden ? 	ADDEN1UNI1	state or say further	0.1421838402748108				
adeleg	ADJ	aristocratic		adlig	aristokratisch	noble	qui fait partie de la noblesse	hie kënnt aus enger adeleger Famill 	ADELEG1UNI1			zum Adel oder zur Aristokratie gehörend oder für sie charakteristisch	0.5028883218765259		
Adjoint	SUBST	deputy		Stellvertreter	einer Führungskraft	adjoint	d'une personne responsable	de Verantwortleche ka sech op säin Adjoint verloossen 	ADJOINT1UNI1			jemand, der von einem Herrscher zum Stellvertreter in der Verwaltung ernannt wird	0.5273841023445129		
Adjointe	SUBST	deputy	female	Stellvertreterin	einer Führungskraft	adjointe	d'une personne responsable	d'Adjointe vun der Cheffin wäert si an der Reunioun vertrieden 	ADJOINTE1UNI1	a member of the lower chamber of a legislative assembly (such as in France)	0.11849754303693771				
Adjutantin	SUBST	adjutant	female	Adjutantin		adjudante		meng Schwëster ass Adjutantin an der Arméi 	ADJUTANTIN1UNI1	large Indian stork with a military gait	0.19536980986595154				
Administrateur	SUBST	system administrator	IT	Administrator	eines Computers, eines informatischen Netzwerks	administrateur	informatique	du muss dech als Administrateur aloggen, fir d'Passwierder ze änneren 	ADMINISTRATEUR1UNI2			Person, die für die Verwaltung eines Computersystems verantwortlich ist	0.5293102860450745		
Administratioun	SUBST	management		Verwaltung	das Führen, das Leiten	administration	gestion	d'Entreprise ass wéinst enger schlechter Administratioun faillite 	ADMINISTRATIOUN1UNI2			die Tätigkeit des Führens	0.6554082036018372		
administréieren	VRB	to administer		verwalten	leiten	administrer		d'Entreprise gëtt vu Paräis aus administréiert 	ADMINISTREIEREN1UNI2			weiterführen oder funktionieren	0.5168952941894531		
Admirolin	SUBST	admiral	female	Admiralin	Dienstgrad	amirale		neierdéngs steet un der Spëtzt vun der Marinn eng Admirolin 	ADMIROLIN1UNI1	any of several brightly colored butterflies	0.18653157353401184				
adoptéieren	VRB	to adopt	a child	adoptieren	ein Kind	adopter	un enfant	well se keng Kanner ka kréien, huet d'Koppel e Weesekand adoptéiert 	ADOPTEIEREN1UNI1	take up the cause, ideology, practice, method, of someone and use it as one's own	0.11454369872808456				
adoptéieren	VRB	to adopt	to take up	adoptieren		adopter		zënter en d'Pensioun huet, huet en e ganz neie Liewensstil adoptéiert 	ADOPTEIEREN1UNI2	take on a certain form, attribute, or aspect	0.45909416675567627				
adoptéieren	VRB	to pass	a bill, a law	annehmen	ein Gesetz	adopter	par vote	de Gesetzesprojet gouf an der Nuecht eestëmmeg adoptéiert 	ADOPTEIEREN1UNI3	make laws, bills, etc. or bring into effect by legislation	0.6494725346565247				
adoptéieren	VRB	to adopt	to put into place	ergreifen	in die Wege leiten	adopter	mettre en place	esou Mesurë kënnen nëmmen an dréngende Fäll adoptéiert ginn 	ADOPTEIEREN1UNI5	take on titles, offices, duties, responsibilities	0.33939266204833984				
Adoptioun	SUBST	adoption	of a child	Adoption		adoption	d'un enfant	d'Prozedur vun der Adoptioun kann ënner Ëmstänn jorelaang daueren 	ADOPTIOUN1UNI1	a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)	0.30281051993370056				
Adoptioun	SUBST	adoption	of a law	Annahme	eines Gesetzes	adoption	par vote	d'Adoptioun vun deem Gesetzesprojet ass wichteg, fir kënne weiderzeschaffen 	ADOPTIOUN1UNI2	a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)	0.34715893864631653				
Adress	SUBST	address	for post	Adresse		adresse	indication du domicile	Dir musst Ären Numm, Är Adress an Är Telefonsnummer uginn 	ADRESS1UNI1	a sign in front of a house or business carrying the conventional form by which its location is described	0.11371324956417084				
Aendoktesch	SUBST	ophthalmologist	female	Augenärztin		ophtalmologue	femme	d'Aendoktesch huet mer Drëpse fir meng dréchen Ae verschriwwen 	AENDOKTESCH1UNI1	a medical doctor specializing in the diagnosis and treatment of diseases of the eye	0.11434681713581085				
Aenzeien	SUBST	eyewitness	woman, girl	Augenzeugin		témoin oculaire	femme, fille	d'Police huet d'Aenzeie gefrot, de Virfall genee ze beschreiwen 	AENZEIEN2UNI1	a spectator who can describe what happened	0.21084535121917725				
Äerd	SUBST	earth	electrical conductor	Erde	Leitung zum Erden	terre	conducteur électrique	fir meng elektresch Anlag benotzen ech eng Kofferstaang als Äerd 	AERD1UNI3	a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)	0.5389871597290039			a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)	0.5389871597290039
Äerdbier	SUBST	strawberry	fruit	Erdbeere	Frucht	fraise	fruit	ech hunn de Kuch mat enger Äerdbier dekoréiert 	AERDBIER1UNI3	sweet fleshy red fruit	0.7234503626823425	süße fleischige rote Frucht	0.5184556245803833		
Äerdbier	SUBST	strawberries	fruits	Erdbeeren	Früchte	fraises	fruits	dëst Joer war d'Äerdbier fréi zeideg 	AERDBIER2UNI2	sweet fleshy red fruit	0.6486601829528809				
Aerosol	SUBST	aerosol	airborne particles	Aerosol	Gemisch aus Schwebeteilchen	aérosol	suspension de particules	d'Experte probéieren erauszefannen, ob de Krankheetserreeger sech iwwer Aerosolle verbreet 	AEROSOL1UNI1	a cloud of solid or liquid particles in a gas	0.5831509828567505				
afalen	VRB	to collapse	building, structure	einfallen		s'écrouler	s'abattre	den Daach vun deem alen Haus ass gëschter agefall 	AFALEN1UNI1	fall apart	0.2470756471157074				
