lemma,pos,en_word,en_definition,de_word,de_definition,fr_word,fr_definition,sentence,code,wn_definition_en,confidence_en,wn_definition_de,confidence_de,wn_definition_fr,confidence_fr,wn_definition,definition_language,confidence,lux_definition,gloss_with_example,gloss_without_example
Aarbechtsmaart,SUBST,employment market,,Arbeitsmarkt,,marché du travail,,d'Situatioun um Aarbechtsmaart ass am Ament schwiereg ,AARBECHTSMAART1UNI1,,,,,the market in which workers compete for jobs and employers compete for workers,0.7201650142669678,the market in which workers compete for jobs and employers compete for workers,English,0.7201650142669678,"de Maart, op deem Aarbechter ëm Aarbechtsplazen konkurréieren an Employeuren ëm Aarbechter konkurréieren","Den Aarbechtsmaart ass de Beräich, an deem Aarbechtskräften (Leit, déi schaffe wëllen) an Aarbechtsplazen (d’Nofro vu Betriber) zesummekommen; en ëmfaasst d’Offer an d’Nofro vu Beschäftegung, Lounniveauen an d’allgemeng Employabilitéit.","De Gesamtsystem vu Offer an Nofro no Aarbecht an enger Wirtschaft, inklusiv d’Bedéngungen, Lounen, Beschäftegungschancen an d’Regelen, déi d’Verhältnesser tëscht Patronen an Aarbechter bestëmmen."
Aarbechtsmarché,SUBST,employment market,,Arbeitsmarkt,,marché du travail,,d'Situatioun um Aarbechtsmarché ass am Ament schwiereg ,AARBECHTSMARCHE1UNI1,,,,,the market in which workers compete for jobs and employers compete for workers,0.7201650142669678,the market in which workers compete for jobs and employers compete for workers,English,0.7201650142669678,"de Maart, wou Aarbechter ëm Aarbechtsplazen konkurréieren an Patronen ëm Aarbechter konkurréieren","De Beräich, an deem Aarbecht ugebuede a gefrot gëtt; de Gesamtmarché fir Beschäftegung, wou Patronen no Mataarbechter sichen an Aarbechtssichend no Plazen.","De Marché, op deem d’Offer an d’Nofro vu Beschäftegung zesummekommen: wou Patronen no Aarbechtskräften sichen an Aarbechter no Plazen, mat Lounen, Konditiounen an Employabilitéit, déi sech jee no Wirtschaftslage veränneren."
Aarbechtsplaz,SUBST,workplace,,Arbeitsplatz,Arbeitsort,lieu de travail,,"vill Frontaliere musse wäit fueren, fir op hir Aarbechtsplaz ze kommen ",AARBECHTSPLAZ1UNI2,a place where work is done,0.6062594652175903,,,a place where work is done,0.6062594652175903,a place where work is done,English,0.6062594652175903,"Eng Plaz, wou geschafft gëtt.","Plaz oder Ort, wou een seng Aarbecht mécht; de Beruffsstanduert oder den Employeur seng Raimlechkeeten, an déi een all Dag schafft oder hifiert.","Eng Plaz oder Ëmfeld, wou eng Persoun hir Aarbecht ausféiert; kann en konkreten Dësch oder Büro bedeiten, mee och de Betrib oder d’Organisatioun, fir déi een schafft."
aarmséileg,ADJ,contemptible,,armselig,verachtenswert,pauvre,,lauschter net op deen aarmséilegen Typ! ,AARMSEILEG1UNI2,deserving of contempt or scorn,0.7072992324829102,,,,,deserving of contempt or scorn,English,0.7072992324829102,verdéngt Veruechtung oder Spott,"Beschreift eng Persoun oder eppes als bemierkenswäert bedauernswäert, erbiermeswäert oder kleng a läschteg bemitleedenswäert; heiansdo mat engem liicht spötteschen Ënnertoun.","Bedeit Aarmut oder Mangel u Mëttelen ausléissend; hannerloossend oder duecht vun engem, dee Mitleed erwächt, well en a prekäre, onglécklecher oder klenger Situatioun ass; erbarmlech, bedauernswäert."
Aarmséilegkeet,SUBST,weakness,,Armseligkeit,,faiblesse,,no e puer Nuechten ouni Schlof hunn ech gekrasch vun elauter Aarmséilegkeet ,AARMSEILEGKEET1UNI2,,,,,the property of weakness by virtue of careless construction,0.6080162525177002,the property of weakness by virtue of careless construction,English,0.6080162525177002,"D’Eegeschaft, schwaach ze sinn, opgrond vun enger schlampereger Konstruktioun.","Gefill vu grousser Mëssär, Leed oder Elend; en zoustand vu ganz staarker Trauregkeet an Hilflosigkeit.","Zoustand vum Aarm-Sein; materiell Nout oder Mangel u Suen a Ressourcen, dacks mat soziale Problemer a Benodeelegung verbonnen."
Aart,SUBST,way,,Art und Weise,,façon,,de Problem gouf op eng elegant Aart a Weis geléist ,AART1UNI1,,,eine Art zu handeln oder sich zu verhalten,0.6787279844284058,,,eine Art zu handeln oder sich zu verhalten,German,0.6787279844284058,eng Manéier ze handelen oder sech ze behuelen,"- Aart: Manéier, Wee oder Form, wéi eppes gemaach, ausgedréckt oder geschitt; och Typ oder Zort vun eppes oder engem.","- D’Wies, wéi eppes oder een ass; Natur oder Charakter vun enger Persoun oder Saach.
- Zort oder Typ vu Saachen oder Wiesen (z. B. eng Aart Déier).
- Manéier, wéi eppes gemaach oder ausgedréckt gëtt."
aartlech,ADJ,cute,,reizend,,mignon,,äre Fils ass wierklech en aartleche Männchen ,AARTLECH1UNI1,,,sehr erfreulich oder unterhaltsam,0.6420592069625854,,,sehr erfreulich oder unterhaltsam,German,0.6420592069625854,ganz erfreelech oder ënnerhalend,"beschteeteg, ganz léif a guttmoodeg; heiansdo och am Sënn vun sanft, harmlos oder net geféierlech (z. B. e „aartlecht Männchen“ = en gutt erzunnene, léiwe Jong)","""Aartlech"" bedeit esou wéi vun der Natur oder dem Charakter aus, op eng gewësse Manéier geart; typesch oder wiesegebonnen (zum Beispill eng aartlech Reaktioun, eng aartlech Eegenschaft)."
Aaschlach,SUBST,arsehole,anus,Arschloch,After,trou du cul,anus,däin Hond ass ganz wond um Aaschlach ,AASCHLACH1UNI1,vulgar slang for anus,0.6598153114318848,,,,,vulgar slang for anus,English,0.6598153114318848,vulgäre Slang-Ausdrock fir den After,"Den Aaschlach ass den Ëffnungsberäich hannert um Kierper (anus), wou de Därm no bausse geet; d’Wuert gëtt heiansdo derbäi och derbäi benotzt fir de ganze sensibele Beräich ronderëm dës Ouverture ze bezeechnen.","Aaschlach: en derbe, beleidegendt Wuert fir eng Persoun, déi als onsympathesch, domm oder nervend ugesi gëtt; en Idiot oder Ekelpak."
Aascht,SUBST,branch,of a tree,Ast,eines Baums,branche,d'un arbre,d'Äscht vun där aler Eech maachen eis Schiet ,AASCHT1UNI1,,,"einer der Hauptzweige, die vom Stamm oder einem Zweig eines Baumes ausgehen",0.6702059507369995,any of the larger branches of a tree,0.6953334212303162,"einer der Hauptzweige, die vom Stamm oder einem Zweig eines Baumes ausgehen",German,0.6702059507369995,"een vun de Haaptréiser, déi vum Stamm oder vun engem Räis vun engem Bam fortginn","Aascht: en Ast; e méi klenge Branch vum Bam, deen aus dem Stamm oder aus méi décke Branchen erausgeet.","Aascht: Deel vum Kierper, dacks en Aarm oder eng Hand, déi ausstreckt oder no eppes gräift; ka regional och eng kleng Branche oder Rank vum Bam bedeiten."
Aband,SUBST,cover,,Einband,,reliure,couverture d'un livre,meng Bomi sammelt al Bicher mat schéinen Abänn ,ABAND1UNI1,a covering that serves to conceal or shelter something,0.6008491516113281,,,,,a covering that serves to conceal or shelter something,English,0.6008491516113281,"Eppes, dat dozou déngt, eppes ze verdecken oder ze beschiermen.","Eenzelen, ofgerënnten Deel vum Enn vun engem Objet (z. B. engem Buch), deen dekorativ oder funktionell ausgefaasst/ugeaarbecht ass; am Kader vu Bicher: de schmucken, ofgeschlossene Bord oder Rand vum Buch (z. B. vergëllte oder gemusterte Säitenänner).","- (Substantiv, archaesch/dialectal) Ofkierzung oder Variant vu “Abandon”: Zoustand oder Akt vum Opjeeën/Verloossen; och am Ausdrock “mat Aband” = mat voller Hingeebung, ouni Réckhalt, fräi a passionéiert."
Abat-jour,SUBST,lampshade,,Lampenschirm,,abat-jour,d'une lampe,meng Bomi huet e Faibel fir Luuchte mat ausgefalenen Abat-jouren ,ABATJOUR1UNI1,a protective ornamental shade used to screen a light bulb from direct view,0.6048455834388733,,,a protective ornamental shade used to screen a light bulb from direct view,0.6048455238342285,a protective ornamental shade used to screen a light bulb from direct view,English,0.6048455834388733,"eng dekorativ Ofdeckung, déi benotzt gëtt, fir eng Glühbir aus direkter Siicht ofzeschiermen","En Abat-jour ass eng Lampeschierm, deen d’Liicht vun enger Luucht ofdeckt an ofblendt, fir et méi mëll a gestéiert ze maachen, a gläichzäiteg als dekorativen Element déngt.","En Lampeschierm oder Liichtschirm, dee Liicht ofschiermt an et méi mëll a gezielt verdeelt, fir Blennung ze vermeiden."
Abberzuel,SUBST,large number (of),,Haufen,große Anzahl,tas (de),grand nombre,fir meng Hochzäit hunn ech eng Abberzuel Leit agelueden ,ABBERZUEL1UNI2,,,eine große Anzahl oder Menge,0.8691233396530151,,,eine große Anzahl oder Menge,German,0.8691233396530151,eng grouss Unzuel oder Quantitéit,"Eng immens grouss, onbestëmmt Zuel; eng riseg Quantitéit u Saachen oder Leit.","Abberzuel ass eng immens grouss, praktesch onbegrenzt Zuel; e Begrëff fir eng Quantitéit, déi sou immens ass, datt se net konkret gezielt oder erfaasst ka ginn."
Abildung,SUBST,illusion,false belief,Einbildung,irrige Vorstellung,illusion,croyance erronée,"hie war iwwerzeegt, hie géif gemobbt, mee et war alles nëmmen Abildung ",ABILDUNG1UNI1,something many people believe that is false,0.6606165766716003,,,something many people believe that is false,0.6606165766716003,something many people believe that is false,English,0.6606165766716003,"eppes, wat vill Leit fir richteg halen, mee dat falsch ass","Abildung: eng täuschend Andréck oder Wahnvirstellung; e Bild, dat ee sech am Kapp mécht, dat awer net der Realitéit entsprécht (Illusioun, Abildung).","Eng “Abildung” ass d’Ofbilden oder d’Darstellung vun engem Objet, Begrëff oder Struktur an eng aner Form; an der Mathematik speziell eng Funktioun, déi all Element aus enger Mëngt engem Element vun enger anerer (oder där selwechter) Mëngt zouuerdnet."
abîméieren,VRB,to damage,,beschädigen,,abîmer,,d'Plënnerleit hunn am Trapenhaus d'Tapéit abîméiert ,ABIMEIEREN2UNI1,inflict damage upon,0.6210446357727051,,,,,inflict damage upon,English,0.6210446357727051,Schued zoufügen,"schueden, futti maachen oder beschiedegen; z. B. eppes esou behandelen oder ustoussen, datt et net méi an Uerdnung ass oder ofgenotzt ausgesäit","- Derbäi maachen, beschiedegen oder beschwéieren; eppes an e méi schlechten Zoustand bréngen (materiell oder och figurativ)."
Abléck,SUBST,moment,point in time,Moment,Zeitpunkt,moment,espace de temps précis,dat war en historeschen Abléck ,ABLECK1UNI2,a particular point in time,0.6692098379135132,ein bestimmter Zeitpunkt,0.8649700284004211,,,a particular point in time,English,0.6692098379135132,e bestëmmte Zäitpunkt,"Kueren, Momentopnahm oder kuerzen Androck an eng Situatioun; en Abléck gëtt nëmme fir eng kuerz Zäit e Bild oder Versteesdemech vun eppes.","- kuerzen, spontanen Moment; eng kuerz Dauer vun Zäit
- direkten, kuerzen Androck oder Iddi vun eppes
- och: Ausdrock fir “zu dësem Zäitpunkt/elo” (am Abléck)"
ablécklech,ADJ,current,,augenblicklich,momentan,actuel,"de ce moment, présent",an där ablécklecher Situatioun kann d'Doktesch nach näischt Konkreetes soen ,ABLECKLECH1UNI1,,,in diesem Moment,0.7715029120445251,,,in diesem Moment,German,0.7715029120445251,an dësem Ablack,"bedeit “momentan, zu dësem Zäitpunkt”; beschreift eppes, wat just fir de Moment gëllt oder aktuell ass","Kuerzfristeg, fir de Moment gëlteg oder nëmme mam aktuelle Stand; nëmmen elo, net dauerhaft."
abordéieren,VRB,to address,to touch on,ansprechen,zur Sprache bringen,aborder,évoquer,"ech hu mech net getraut, dee Problem ze abordéieren ",ABORDEIEREN1UNI1,,,mit jemandem sprechen,0.6101149916648865,,,mit jemandem sprechen,German,0.6101149916648865,mat engem schwätzen,"eppes ugoen oder ufänken ze behandelen; e Problem, eng Situatioun oder eng Persoun gezielt uschwätzen oder sech domadder auserneesetzen","Eppes oder een uschwätzen oder ugoen, meeschtens fir en Thema unzefänken, en Problem unzepaken oder op een zouzegoen (z. B. eng Persoun abordéieren, eng Fro abordéieren)."
Abouss,SUBST,loss,disadvantage,Einbuße,,perte,préjudice,duerch d'Iwwerschwemmunge rechnen déi geschiedegt Geschäftsleit mat staarken Aboussen ,ABOUSS1UNI1,the disadvantage that results from losing something,0.606105625629425,,,the disadvantage that results from losing something,0.606105625629425,the disadvantage that results from losing something,English,0.606105625629425,"den Nodeel, deen aus dem Verloscht vun eppes entsteet","Abouss bedeit e finansielle Verloscht oder Ennnahmeréckgang; et beschreift d’Zomm, déi engem ofgeet oder feelt, zum Beispill duerch Schied oder Ausfäll.","Ausdrock vu staarker Iwwerraschung oder Onfroen, am Sënn vun: “wat ass dann dat?”, “wéini/wi?”; gëtt och benotzt fir ze betounen, datt eppes ze vill oder iwwerdriwwen ass (“Dat ass jo Abouss!”)."
Abriecher,SUBST,burglar,,Einbrecher,,cambrioleur,,den Abriecher gouf vun der Police festgeholl ,ABRIECHER1UNI1,a thief who enters a building with intent to steal,0.6310421228408813,,,a thief who enters a building with intent to steal,0.631041944026947,a thief who enters a building with intent to steal,English,0.6310421228408813,"een Déif, deen an e Gebai eran geet mat der Absicht ze klauen","Eng Persoun, déi illegal an en Haus oder eng Wunneng abrécht, fir ze klauen oder aner Strofdoten ze maachen.","Eenzelen oder Persoun, déi illegal an Haiser, Wunnengen oder Geschäfter erakënnt, fir ze klauen oder aner Strofdoten ze begoen; e Brochdéi."
Abroch,SUBST,burglary,,Einbruch,gewaltsames Eindringen,cambriolage,,den Abroch an hiert Haus war fir eis Noperen en desagreabelt Erliefnes ,ABROCH1UNI1,entering a building unlawfully with intent to commit a felony or to steal valuable property,0.6242108345031738,,,entering a building unlawfully with intent to commit a felony or to steal valuable property,0.6242110729217529,entering a building unlawfully with intent to commit a felony or to steal valuable property,English,0.6242108345031738,"Onrechtméisseg an e Gebai andréngen, mat der Absicht, eng schwéier Strofdot ze begoen oder wäertvoll Saachen ze stielen.","Ongewollten Andrang an en Haus oder Gebai, meeschtens fir ze klauen; en Iwwerfall/Entrée mat Brauch vu Gewalt oder Opbriechen.","Abroch ass e kuerzt, plëtzlecht Andrëmsen oder Ofbremsen, dacks well eng Situatioun et erfuerdert (z. B. fir eng Kollisioun ze verhënneren). Et kann och figurativ benotzt ginn, fir eng spontan, staark Reaktioun oder en abrupten Aschnëtt an engem Prozess ze beschreiwen."
abrupt,ADJ,abrupt,,plötzlich,,soudain,,op der Bourse gouf et haut en abrupten Abroch vun den Aktiecoursen ,ABRUPT1UNI1,exceedingly sudden and unexpected,0.6043514013290405,,,,,exceedingly sudden and unexpected,English,0.6043514013290405,aussergewéinlech plëtzlech an onerwaart,"plëtzlech, onerwaart a ganz staark; ouni Virwarnung an net gläichméisseg verlafend (z. B. en abrupten, steile Réckgang)","Op eemol a plëtzlech, ouni Virwarnung oder gläichméissegen Iwwergang; kann och heeschen: schroff oder ongelenk an der Aart a Weis."
abscheilech,ADJ,disgusting,abominable,abscheulich,verwerflich,répugnant,abject,wéinst sengen abscheilechen Dote souz hie bis zu sengem Liewensenn am Prisong ,ABSCHEILECH1UNI2,,,,,unequivocally detestable,0.6287916898727417,unequivocally detestable,English,0.6287916898727417,ouni Zweiwel verachtenswäert,"Eppes, dat moralesch extrem verwerflech, eklatant béis oder ofschäisseg ass; ganz grausam oder erschreckend schlecht.","Eppes, dat staark Oflehnung oder Ekel ausléist; ganz eklëg, grausam oder moralisch verwerflech."
Absence,SUBST,absence,non-presence,Abwesenheit,"das Ausbleiben, das Wegbleiben",absence,non-présence,wat ass wärend menger Absence geschitt? ,ABSENCE1UNI1,the state of being absent,0.6362861394882202,,,the state of being absent,0.6362861394882202,the state of being absent,English,0.6362861394882202,"de Zoustand, wann een net do ass","Ofwiesenheet oder d’Net-Dobaisein; d’Zäit, an där eng Persoun net präsent ass oder feelt.","D’Nettdobäi-Sinn oder d’Wee-Sein vun enger Persoun oder Saach op enger Plaz oder zu engem Zäitpunkt, wou se erwaart oder gebraucht gëtt."
Absence,SUBST,absence,,Absence,Krampfleiden,absence (épileptique),,wärend senger epileptescher Kris hat de Patient eng Absence vu 15 Sekonnen ,ABSENCE1UNI4,the state of being absent,0.6598637700080872,,,,,the state of being absent,English,0.6598637700080872,den Zoustand net do ze sinn,"Kuerz Bewosstsinnsaussetzer ouni Krämp, dacks mat starrm Bléck an liichtem Zeecheverloscht, deen no e puer Sekonne spontan ophält (eng Form vun epilepteschem Ufall).","D’Nettdo-Sinn oder d’Feele vun enger Persoun oder Saach op enger Plaz oder zu engem Zäitpunkt, wou se erwaart oder néideg wier."
Absenteismus,SUBST,absenteeism,,Absentismus,,absentéisme,,wat gëtt géint den Absenteismus an der Schoul gemaach? ,ABSENTEISMUS1UNI1,habitual absence from work,0.659803032875061,,,,,habitual absence from work,English,0.659803032875061,reegelméisseg Fernbleiwe vun der Aarbecht,"Absenteismus bedeit dacks a reegelméisseg oder bewosst Onpresenz, also wann eng Persoun, zum Beispill e Schüler oder Salarié, oft a laang onentschëllegt feelt. Et bezitt sech op dat systematescht Fernbleiwe vun Obligatiounen wéi Schoul oder Aarbecht.","Systematescht oder widderhuelte Fernbleiwe vu Leit (z. B. Aarbechter oder Schüler) vun hirer Aarbecht oder Schoul, dacks ouni valabel Grond, wat d’Leeschtung an d’Organisatioun beaflosst."
Absolutismus,SUBST,absolutism,,Absolutismus,,absolutisme,,am Absolutismus huet de Staatschef all Pouvoiren ,ABSOLUTISMUS1UNI1,the doctrine of an absolute being,0.6206308007240295,,,the doctrine of an absolute being,0.6206309795379639,the doctrine of an absolute being,English,0.6206308007240295,d'Léier vun engem absoluten Wiesen,"Form vu Staatsform, an där eng eenzeg Persoun (méi dacks e Kinnek) d’Muecht bal onlimitéiert an ouni Kontroll vun engem Parlament oder Geriichter ausüübt.","Politesch a staatstheoretesch System, an deem d’Muecht bal onbeschränkt bei engem Herrscher (meeschtens e Kinnek) läit, ouni staark Kontroll duerch Parlament, Verfassung oder Geriichter; typesch fir vill europäesch Monarchien am 17.–18. Joerhonnert."
Abtei,SUBST,abbey,,Abtei,,abbaye,,d'Mënche liewen an enger Abtei ,ABTEI1UNI1,,,ein Kloster unter der Leitung eines Abtes,0.6668344736099243,,,ein Kloster unter der Leitung eines Abtes,German,0.6668344736099243,e Klouschter ënner der Leedung vun engem Abt,"Eng reliéis Gemeinschaftshous respektiv Klouschter, wou Mënche oder Nonnen zesumme liewen, bieden a schaffen.","Eng reliéis Gemeinschaftsanstalt vun engem Klouschteruerden, respektiv d’Gebai an d’Institutioun, déi vun engem Abt oder enger Äbtissin geleet gëtt; och dacks fir d’Klouschter selwer gebraucht."
Abteilung,SUBST,branch,,Abteilung,"eines Unternehmens, einer Dienststelle",service,département,d'Firma huet dëst Joer eng Abteilung an d'Ausland verluecht ,ABTEILUNG1UNI1,,,eine Verwaltungseinheit in einer Regierung oder einem Unternehmen,0.6638740301132202,,,eine Verwaltungseinheit in einer Regierung oder einem Unternehmen,German,0.6638740301132202,eng Eenheet vun der Verwaltung an enger Regierung oder an engem Betrib,"Eng organisatoresch Eenheet oder Sektioun an enger Firma oder Verwaltung, déi fir e bestëmmte Beräich oder Aufgab zoustänneg ass (z. B. Verkeefer-, Finanz- oder Personalabteilung).","Eng Organisatiounseenheet oder Sektioun an enger Firma, Verwaltung oder Arméi, déi fir en bestëmmte Beräich oder Aufgab zoustänneg ass."
Abuja,NP,Abuja,,Abuja,,Abuja,,Abuja ass d'Haaptstad vun Nigeria ,ABUJA1UNI1,capital of Nigeria in the center of the country,0.6234688758850098,,,,,capital of Nigeria in the center of the country,English,0.6234688758850098,Haaptstad vu Nigeria am Zentrum vum Land,"Haaptstad vun Nigeria, an der Mëtt vum Land geleeën, administratiivt a politescht Zentrum.","Haaptstad vu Nigeria, am mëttleren Deel vum Land geleeën, zënter 1991 offiziell Sëtz vun der Regierung; bekannt fir säi geplangte Stadopbau, de Millennium Park an den Aso Rock."
Abus,SUBST,abuse,misuse,Missbrauch,,abus,excès,a Saache Jugendaarbecht mussen all méiglech Abuse verhënnert ginn ,ABUS1UNI1,improper or excessive use,0.6425849199295044,,,,,improper or excessive use,English,0.6425849199295044,onpassend oder ze vill Benotzung,"Mëssbrauch, also d’Onrecht- oder Iwwerbenotze vu Muecht, Ressourcen oder Persounen; zum Beispill falsch, schiedlech oder ausbeuteresch Ëmgang, deen aner Leit benodeelegt.","Onreechteg oder exzessiv Notzung vun eppes oder Mësshandlung vun enger Persoun oder Situatioun; kann sech op Muechtmëssbrauch, Droge- oder Alkoholmëssbrauch, souwéi psychologesch oder physesch Gewalt bezéien."
