lemma	pos	en_word	en_definition	sentence	code	wn_definition	confidence	lux_definition
ageheien	VRB	to post	a letter	ech muss d'Bréiwer den Owend nach ageheien 	AGEHEIEN1UNI1	the delivery and collection of letters and packages	0.630477249622345	d'Liwweren an d'Ofhuele vu Bréiwer a Päck
Agence	SUBST	agency	official department	d'Regierung huet hir nei Agence fir Entwécklungshëllef virgestallt 	AGENCE1UNI3	an administrative unit of government	0.6121066212654114	eng administrativ Eenheet vun der Regierung
Aggressioun	SUBST	aggression	aggressive attitude	säi Mësserfolleg huet Aggressioune bei him provozéiert 	AGGRESSIOUN1UNI2	a disposition to behave aggressively	0.7307006120681763	Eng Tendenz, sech feindlech oder ugrëffeg ze verhalen.
Aggressivitéit	SUBST	aggressiveness	violent disposition	ech reagéiere meng Aggressivitéit duerch Boxen of 	AGGRESSIVITEIT1UNI1	a natural disposition to be hostile	0.6887304186820984	Eng natierlech Tendenz fir feindlech ze sinn.
Agrement	SUBST	licence	authorization	fir eng konventionéiert Crèche däerfen opzemaachen, brauch een en Agrement vum zoustännege Ministère 	AGREMENT1UNI1	authorize officially	0.727744996547699	Offiziell erlaben
Ahorn	SUBST	maple	wood	eisen neie Schaf ass aus Ahorn 	AHORN1UNI2	wood of any of various maple trees; especially the hard close-grained wood of the sugar maple; used especially for furniture and flooring	0.6080300807952881	Holz vu verschiddene Beem aus der Famill vun deene Beem, déi bekannt si fir hiert haart an dicht Holz, besonnesch dat haart, dicht Holz vun deem Bam, aus deem och Sirop gemaach gëtt; gëtt virun allem fir Miwwelen a Buedembeläg benotzt.
äiseg	ADJ	icy	freezing	no där äiseger Wanternuecht war de Séi zougefruer 	AISEG1UNI1	extremely cold	0.6538479924201965	ganz kal
äiseg	ADJ	icy	unfriendly	déi zwee Géigner sëtze sech mat äisege Minne géintiwwer 	AISEG1UNI2	devoid of warmth and cordiality; expressive of unfriendliness or disdain	0.6693342328071594	ouni Wäermt a Frëndlechkeet; weist Ofleenung oder Ofneigung aus
akleeden	VRB	to dress	to supply with clothes	fir an de Wantersport mussen d'Kanner nach uerdentlech agekleet ginn 	AKLEEDEN1UNI1	provide with clothes or put clothes on	0.6650705933570862	mat Kleeder versuergen oder Kleeder undoen
akustesch	ADJ	acoustic	related to sound	d'Rout Luucht ass mat engem akustesche Signal fir blann Leit ekipéiert 	AKUSTESCH1UNI1	of or relating to the science of acoustics	0.6696269512176514	wat mat der Wëssenschaft vum Toun ze dinn huet
Akzent	SUBST	stress	emphasis, importance	am President senger Neijoerschried louch den Akzent op de positiven Aspekter vum vergaangene Joer 	AKZENT1UNI2	special emphasis attached to something	0.7229441404342651	Besonnesch ervirgehuewene Bedeitung, déi enger Saach zougeschriwwe gëtt.
akzeptéieren	VRB	to accept	to tolerate	eise Chef akzeptéiert absolut keng Kritik 	AKZEPTEIEREN1UNI3	tolerate or accommodate oneself to	0.7163106799125671	Eppes dulden oder sech uppeschen un eppes upassen
Alarm	SUBST	alarm	warning sound	wien huet den Alarm ausgeléist? 	ALARM1UNI1	an automatic signal (usually a sound) warning of danger	0.7016891837120056	En automatescht Zeechen (meeschtens en Toun), dat virun enger Gefor warnt.
Alert	SUBST	alarm	warning signal	zéng Minutten no der Alert war d'Rettungsekipp op der Plaz vum Accident 	ALERT1UNI1	an automatic signal (usually a sound) warning of danger	0.6560128927230835	En automatescht Zeechen (meeschtens en Toun), dat viru Gefor warnt.
alkoholesch	ADJ	alcoholic	containing alcoholic	et ass verbueden, alkoholescht Gedrénks u Jonker ënner siechzéng Joer ze verkafen 	ALKOHOLESCH1UNI1	characteristic of or containing alcohol	0.6099938154220581	mat Eegeschafte vun oder mat Alkohol dran
All	SUBST	space	universe	d'Astronauten hu sech mat hirer Rakéit op de Wee an den All gemaach 	ALL1UNI1	the unlimited expanse in which everything is located	0.6061731576919556	Déi onendlech Ausdehnung, an där sech alles befënnt.
alliéiert	ADJ	allied	by treaty, by agreement	déi alliéiert Zaldote goufen agesat, fir de Fridden ze sécheren 	ALLIEIERT1UNI1	joined by treaty or agreement	0.80345618724823	mat engem Vertrag oder enger Ofmaachung verbonnen
alternativ	ADJ	alternative	offering a choice	mir kruten zwou alternativ Propositioune gemaach 	ALTERNATIV1UNI2	necessitating a choice between mutually exclusive possibilities	0.6188945770263672	eng Wiel tëscht zwou Méiglechkeeten erfuerderlech maachen, déi net gläichzäiteg méiglech sinn
Amalgam	SUBST	amalgam	combination	bleif objektiv a maach net en Amalgam vu Fakten an Hypotheesen! 	AMALGAM1UNI2	a combination or blend of diverse things	0.6166420578956604	eng Kombinatioun oder Vermëschung vu verschiddene Saachen
Amateur	SUBST	lover	devotee, fan	se sinn allen dräi grouss Amateure vu klassescher Musek 	AMATEUR1UNI1	an ardent follower and admirer	0.6731396317481995	E begeeschterte Supporter an Unerkennungspersoun.
Amateur	SUBST	amateur	unprofessional person	seng Aarbecht ass net ze gebrauchen, hien ass e richtegen Amateur 	AMATEUR1UNI3	lacking professional skill or expertise	0.6048738956451416	ouni professionell Fäegkeeten oder Erfarung
Ambassade	SUBST	embassy	diplomatic representation	eis Ambassade huet en ausféierleche Rapport iwwer d'politesch Situatioun am Land redigéiert 	AMBASSADE1UNI1	an ambassador and his entourage collectively	0.6677582859992981	en Ambassadeur mat sengem Gefolleg zesummen
Ambassadeur	SUBST	ambassador	diplomat	de Staatschef huet déi nei Ambassadeuren empfaangen 	AMBASSADEUR1UNI1	a diplomat of the highest rank; accredited as representative from one country to another	0.6706075072288513	En Diplomat vum héchste Rang, deen als Vertrieder vun engem Land an engem anere Land unerkannt ass.
Ambassadeur	SUBST	ambassador	representative	den Orchester ass e kulturellen Ambassadeur fir eist Land 	AMBASSADEUR1UNI2	an informal representative	0.6648910045623779	eng Persoun, déi informell eng aner Persoun, Grupp oder Organisatioun vertrëtt
Ambiance	SUBST	atmosphere	surroundings	d'Ambiance am Hotelszëmmer huet eng berouegend Wierkung op mech 	AMBIANCE1UNI2	a particular environment or surrounding influence	0.6195515394210815	Eng bestëmmten Ëmfeld oder eng bestëmmten atmosphäreschen Afloss.
Ament	SUBST	moment	point in time	dat war e wichtegen Ament a mengem Liewen 	AMENT1UNI2	a particular point in time	0.6692096590995789	e bestëmmten Zäitpunkt
Anachronismus	SUBST	anachronism	thing belonging to a different period	d'Gesetz ass en Anachronismus a soll esou séier wéi méiglech geännert ginn 	ANACHRONISMUS1UNI2	an artifact that belongs to another time	0.730836808681488	En Objet, deen aus enger anerer Zäit kënnt.
anachronistesch	ADJ	anachronistic	misplaced chronologically	eng Auer an engem Film iwwer d'Urmënschen ass en anachronistescht Element 	ANACHRONISTESCH1UNI2	chronologically misplaced	0.9727715849876404	zäitlich falsch ageuerdnet
Anatomie	SUBST	anatomy	bodily structure	dem Af seng Anatomie gläicht där vum Mënsch 	ANATOMIE1UNI2	alternative names for the body of a human being	0.6308131814002991	Aner Bezeechnunge fir de Kierper vun engem Mënsch
andämmen	VRB	to contain	to control, to limit	d'Doktere ginn sech Méi, fir d'Epidemie anzedämmen 	ANDAMMEN1UNI1	lessen the intensity of; temper; hold in restraint; hold or keep within limits	0.6301775574684143	d'Intensitéit reduzéieren; ofschwächen; zeréckhalen; a Grenze behalen oder limitéieren
änneren	VRB	to change	to alter	deen Text ass schonn zweemol geännert ginn 	ANNEREN1UNI1	the action of changing something	0.6865001320838928	d'Aktioun fir eppes anescht ze maachen
änneren	VRB	to change	to vary, to alter	eis Cheffin ännert opfälleg dacks hir Meenung 	ANNEREN1UNI2	the result of alteration or modification	0.6789047718048096	D'Resultat vun enger Verännerung oder Upassung.
änneren	VRB	to change	to become different	rechen net dermat, datt dee Knouterer sech nach jee eng Kéier ännert ! 	ANNEREN1UNI3	become different in some particular way, without permanently losing one's or its former characteristics or essence	0.6923227906227112	Op eng bestëmmten Aart a Weis anescht ginn, ouni seng fréier Eegenschaften oder säi Kär dauerhaft ze verléieren.
änneren	VRB	to change	to become different	rechen net dermat, datt dee Knouterer nach jee eng Kéier ännert ! 	ANNEREN1UNI4	become different in some particular way, without permanently losing one's or its former characteristics or essence	0.6923227906227112	Op eng bestëmmten Aart a Weis anescht ginn, ouni seng fréier Eegenschaften oder säi Kär dauerhaft ze verléieren.
Ännerung	SUBST	change	modification, alteration	d'Deputéiert hunn eng Ännerung vum Gesetzestext virgeschloen 	ANNERUNG1UNI1	the result of alteration or modification	0.8138492107391357	D'Resultat vum Ëmänneren oder Upassen
Ännerung	SUBST	change	modification, alteration	et ass eng Ännerung an der Luucht 	ANNERUNG1UNI1_EGS	the result of alteration or modification	0.8138492107391357	D'Resultat vum Ëmänneren oder Upassen
Anorexie	SUBST	anorexia	loss of appetite	am Fall vun Anorexie huet de Patient keen Hongergefill a keen Appetit 	ANOREXIE1UNI1	a prolonged disorder of eating due to loss of appetite	0.7327849268913269	Eng laangfristeg Iessstéierung duerch e Verloscht vum Hongergefill.
Anstalt	SUBST	asylum	mental hospital	an der Anstalt gëtt hien all Dag vun enger Psychologin betreit 	ANSTALT1UNI2	a hospital for mentally incompetent or unbalanced person	0.7524117231369019	E Spidol fir psychesch krank oder geeschteg onstabil Persounen.
antik	ADJ	antique	old and collectable	hien huet en anticke Lüster am Gank hänken 	ANTIK1UNI1	shop for antiques	0.6216146349906921	Buttek wou een al Géigestänn ka kafen
antik	ADJ	ancient	very old	d'Archeologe sinn op d'Ruine vun engem anticken Theater aus der Réimerzäit gestouss 	ANTIK1UNI2	very old	1.0	ganz al
apassen	VRB	to fit	to make the right size, to position	de Schräiner passt e Briet an de Schaf an 	APASSEN1UNI1	be the right size or shape; fit correctly or as desired	0.6678259372711182	déi richteg Gréisst oder Form hunn; korrekt oder wéi gewënscht sëtzen
Apostel	SUBST	Apostle	follower of Jesus Christ	an der Bibel geet rieds vun zwielef Apostelen 	APOSTEL1UNI1	(New Testament) one of the original 12 disciples chosen by Christ to preach his gospel	0.6098197102546692	(Neit Testament) ee vun den ursprénglechen 12 Jünger, déi vu Christus erausgesicht goufen, fir seng Léier ze verbreeden
apostoulesch	ADJ	apostolic	relating to the Apostles	mir goufe geléiert, un déi eng, helleg, kathoulesch an apostoulesch Kierch ze gleewen 	APOSTOULESCH1UNI1	of or relating to or deriving from the Apostles or their teachings	0.846702516078949	bezitt sech op oder kënnt vun den zwielef Jünger vu Jesus oder vun hire Léieren
apostoulesch	ADJ	apostolic	relating to the Pope	de Poopst huet en apostoulescht Schreiwes publizéiert 	APOSTOULESCH1UNI2	proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles	0.6754505038261414	wat vum Poopst oder vum Poopsttum kënnt, dorop zeréckgeet oder deem ënnersteet, deen als Nofollger vun den Apostele betruecht gëtt
Aquarell	SUBST	watercolour	painting	mir waren eng Ausstellung mat Aquarelle vu bekannten englesche Moler kucken 	AQUARELL1UNI1	a painting produced with watercolors	0.6385831832885742	e Bild, dat mat Waasserfaarwe gemoolt gëtt
Aquarium	SUBST	aquarium	fish tank	ech hu vill exotesch Fësch a mengem Aquarium 	AQUARIUM1UNI1	a tank or pool or bowl filled with water for keeping live fish and underwater animals	0.6503748893737793	E Behälter oder e Baseng mat Waasser gefëllt, fir lieweg Fësch an aner Waasserdéieren dran ze halen.
Araber	SUBST	Arab	horse	de Reider huet mat sengem Araber d'Goldmedail gewonnen 	ARABER1UNI2	a spirited graceful and intelligent riding horse native to Arabia	0.6504731178283691	E liewegt, elegant an intelligent Päerd, dat ursprénglech aus Arabien kënnt an dat ee gutt reide kann.
Archiv	SUBST	archive	collection of records or documents	dëst Dokument fënnt ee sécher am nationalen Archiv 	ARCHIV1UNI2	a depository containing historical records and documents	0.7085222005844116	Eng Plaz, wou historesch Dokumenter an Opzeechnunge versuergt ginn.
arëtzen	VRB	to carve	to engrave	déi jonk Koppel huet en Häerz mat hiren Initialen an e Bam agerëtzt 	ARETZEN1UNI1	engrave or cut by chipping away at a surface	0.6097080707550049	An eng Uewerfläch duerch erausschloe vu klenge Stécker markéieren oder aschneiden.
Arméi	SUBST	army	military forces	déi zwou Arméien hate grouss Verloschter 	ARMEI1UNI1	a permanent organization of the military land forces of a nation or state	0.6456295847892761	Eng dauerhaft Organisatioun vun de militäresche Landkräften vun engem Land oder Staat.
Arrêt	SUBST	stop	halt	den Zuch mécht zu Miersch nëmmen e kuerzen Arrêt 	ARRET1UNI2	come to a halt, stop moving	0.6396685838699341	ophalen sech ze beweegen, stoe bleiwen
Arrivée	SUBST	arrival	process of arriving	mir hunn de Moment eng reegelméisseg Arrivée vu Flüchtlingen ouni Pabeieren 	ARRIVEE1UNI2	the act of arriving at a certain place	0.7332230806350708	D'Handlung vum Ukënnegen op enger bestëmmter Plaz
Artikel	SUBST	clause	in a legal document, in a contract	den Artikel 5 vum Gesetzesprojet gouf vun der Kommissioun amendéiert 	ARTIKEL1UNI2	a separate section of a legal document (as a statute or contract or will)	0.6733800768852234	en eegene Abschnitt an engem juristeschen Dokument (wéi engem Gesetz, engem Kontrakt oder engem Testament)
Artillerie	SUBST	artillery	branch of the army	déi feindlech Artillerie réckelt ëmmer méi no 	ARTILLERIE1UNI2	an army unit that uses big guns	0.6685543060302734	Eng Arméiseenheet déi grouss Geschëtzer benotzt.
aschreiwen	VRB	to note	to write down	de Personalchef schreift all Dag d'Absencen an 	ASCHREIWEN1UNI1	make a written note of	0.7035776376724243	Eng schrëftlech Notiz maachen iwwer eppes
aspanen	VRB	to clamp	to fasten	span d'Staang an de Schraufstack an ! 	ASPANEN1UNI2	fasten or fix with a clamp	0.6537195444107056	mat enger Klamer befestegen oder fixéieren
astronomesch	ADJ	astronomic	enormous	fir eist Boot hu mer en astronomesche Präis bezuelt! 	ASTRONOMESCH1UNI2	inconceivably large	0.7176711559295654	onvirstellbar grouss
athleetesch	ADJ	athletic	relating to athletics	ech bréngen déi komplizéiert athleetesch Übungen do net fäerdeg 	ATHLEETESCH1UNI1	relating to or befitting athletics or athletes	0.8543497323989868	Bezunn op oder passend fir Sport oder Sportler.
Attack	SUBST	attack	criticism	d'Attacke vun der Oppositioun waren net berechtegt 	ATTACK1UNI2	strong criticism	0.7125605344772339	staark Kritik
Auditoire	SUBST	audience	spectators or listeners	de Riedner huet den Auditoire mat sengen Argumenter iwwerzeegt 	AUDITOIRE1UNI1	a gathering of spectators or listeners at a (usually public) performance	0.6880853772163391	Eng Grupp vu Leit, déi bei enger (meeschtens ëffentlecher) Virstellung nokucken oder nolauschteren.
Augmentatioun	SUBST	rise	increase	hatt hätt endlech gären eng Augmentatioun vu senger Pai 	AUGMENTATIOUN1UNI1	increase in volume	0.6335985660552979	Erhéijung vum Volumen
ausbeuten	VRB	to exploit	to take advantage of	dee Patron ass bekannt derfir, datt e seng Aarbechter ausbeut 	AUSBEUTEN1UNI1	use or manipulate to one's advantage	0.6477750539779663	Eppes oder een zu sengem eegene Virdeel benotzen oder manipuléieren.
Ausbeutung	SUBST	exploitation	victimization	hir Organisatioun setzt sech géint d'Ausbeutung vun de Kanner an 	AUSBEUTUNG1UNI1	an act that exploits or victimizes someone (treats them unfairly)	0.6447762250900269	Eng Handlung, bei där een anere mëssbraucht oder ongerecht behandelt gëtt.
ausbilden	VRB	to train	to instruct	hien huet all eis Mataarbechter ausgebilt 	AUSBILDEN1UNI1	teach and supervise (someone); act as a trainer or coach (to), as in sports	0.608909547328949	eppes engem bäibréngen an een dobäi begleeden; als Trainer oder Coach mat enger Persoun schaffen, wéi zum Beispill am Sport
Ausbroch	SUBST	eruption	of a volcano	beim Ausbroch vum Vulkan ass vill Magma ausgetrueden 	AUSBROCH1UNI1	(of volcanos) pouring out fumes or lava (or a deposit so formed)	0.7032275795936584	Wann e Vulkan Damp oder Lava erausgeheit (oder d'Material, dat doduerch entsteet).
auserneen	ADV	apart	distant from each other	wéi wäit sinn déi zwou Uertschaften auserneen ? 	AUSERNEEN1UNI1	separated or at a distance in place or position or time	0.7511719465255737	vunenee getrennt oder op enger Distanz wat Plaz, Positioun oder Zäit betrëfft
auserneen	ADV	apart	distant from each other	eis Nopere sinn zënter Kuerzem auserneen 	AUSERNEEN1UNI1_EGS	separated or at a distance in place or position or time	0.7511719465255737	vunenee getrennt oder op enger Distanz wat Plaz, Positioun oder Zäit ugeet
ausgoen	VRB	to die	to stop working	ech muss mam Auto an d'Garage, well de Motor haut zweemol ausgaangen ass 	AUSGOEN1UNI3	stop operating or functioning	0.6151272058486938	Ophale mat schaffen oder funktionéieren
Ausland	SUBST	abroad	foreign country	eis zwee Kanner wunnen am Ausland 	AUSLAND1UNI1	in a foreign country	0.7917303442955017	an engem frieme Land
ausmaachen	VRB	to bother	to disturb, to upset	wann et Iech näischt ausmécht , géif ech Iech gären e puer Froe stellen 	AUSMAACHEN1UNI3	cause annoyance in; disturb, especially by minor irritations	0.7767115831375122	Eng Persoun stéieren oder nerven, besonnesch duerch kleng Onannehmlechkeeten.
ausnotzen	VRB	to exploit	to make use of	hien huet et fäerdegbruecht, d'Situatioun optimal auszenotzen 	AUSNOTZEN1UNI1	draw from; make good use of	0.6439937949180603	vun eppes profitéieren; eppes gutt gebrauchen
ausnotzen	VRB	to exploit	to take advantage of	dee Patron notzt d'Stagiairen aus 	AUSNOTZEN1UNI2	use or manipulate to one's advantage	0.6477750539779663	Eppes oder een esou asetzen oder beaflossen, datt et engem selwer e Virdeel bréngt.
Ausried	SUBST	excuse	justification	hatt huet no enger Ausried gesicht, fir net musse mat him an de Kino ze goen 	AUSRIED1UNI1	serve as a reason or cause or justification of	0.6320908069610596	als Grond oder Erklärung fir eppes déngen
ausriichten	VRB	to align	to arrange in line	de Bauer huet d'Péil vun der Perch ausgeriicht 	AUSRIICHTEN1UNI3	place in a line or arrange so as to be parallel or straight	0.7921107411384583	An enger Linn opstellen oder esou arrangéieren, datt et parallel oder riicht ass.
ausschëdden	VRB	to empty	a container	schëtt de Krou aus ! 	AUSSCHEDDEN1UNI1	a container that has been emptied	0.704635500907898	e Behälter, deen eidel gemaach gouf
ausschëdden	VRB	to empty	a container	d'Kand huet senger Mamm säin Häerz ausgeschott 	AUSSCHEDDEN1UNI1_EGS	a container that has been emptied	0.704635500907898	e Behälter, deen eidel gemaach gouf
auswerfen	VRB	to cast	a fishing line	d'Fëscher hunn d'Aangel ausgeworf 	AUSWERFEN1UNI1	the act of throwing a fishing line out over the water by means of a rod and reel	0.6397079229354858	d'Handlung, eng Angelschnouer mat enger Rutt an enger Roll iwwert d'Waasser ze geheien
Auteur	SUBST	author	writer	den Auteur schafft un engem neie Roman 	AUTEUR1UNI1	be the author of	0.6955666542053223	D'Persoun sinn, déi eppes geschriwwen huet.
autistesch	ADJ	autistic	suffering from autism	hatt schafft an engem Foyer fir autistesch Kanner 	AUTISTESCH1UNI1	characteristic of or affected with autism	0.6902152299880981	mat Eegeschafte vun oder betraff vun Autismus
autistesch	ADJ	autistic	characteristic of autism	a sengem Behuele weist d'Kand autistesch Symptomer 	AUTISTESCH1UNI2	characteristic of or affected with autism	0.8913791179656982	mat Eegeschafte vun oder betraff vun Autismus
automatesch	ADJ	automatic	instinctive, involuntary	bei greller Luucht pëtzt een d'Aen automatesch zou 	AUTOMATESCH1UNI2	without volition or conscious control	0.6117299199104309	ouni Wëllen oder bewosst Kontroll
Autoritéit	SUBST	authority	administrative body	d'Autoritéite vu béide Länner hunn effikass zesummegeschafft 	AUTORITEIT1UNI1	an administrative unit of government	0.7900401949882507	eng administrativ Eenheet vun der Regierung
Autoritéit	SUBST	authority	specialist, expert	hien ass eng bekannten Autoritéit op sengem Gebitt 	AUTORITEIT1UNI4	an expert whose views are taken as definitive	0.6158652305603027	En Expert, deem seng Meenung als entscheedend ugesi gëtt.
avantagéieren	VRB	to favour	to privilege	et soll kee wéinst enger Parteikaart avantagéiert ginn 	AVANTAGEIEREN1UNI1	bestow a privilege upon	0.6257871389389038	engem e Virdeel oder e besonnescht Recht ginn
Aviatioun	SUBST	flying	aviation	mäi Jong ass vun der Aviatioun begeeschtert a wëllt Pilot ginn 	AVIATIOUN1UNI1	operate an airplane	0.6094931364059448	E Fliger steieren an domat fléien.
awerfen	VRB	to post	a letter	vergiess net, de Bréif anzewerfen ! 	AWERFEN1UNI1	the delivery and collection of letters and packages	0.630477249622345	D'Liwweren an Ofhuele vu Bréiwer a Päck.
Awunnerzuel	SUBST	population	number of inhabitants	d'Awunnerzuel ass an de leschte Jore staark an d'Luucht gaangen 	AWUNNERZUEL1UNI1	the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)	0.6769396066665649	d'Zuel vun de Leit (entweder déi ganz Zuel oder d'Zuel vun enger bestëmmter Grupp oder Klass), déi op enger bestëmmter Plaz (Land, Stad asw.) liewen
baggeren	VRB	to dig	to work with a digger	um Chantier gëtt bis owes spéit gebaggert 	BAGGEREN1UNI1	the act of digging	0.6136833429336548	d'Aktioun vum Gruewen
bäissen	VRB	to bite	to sink one's teeth in something	de Pätter kann net méi bäissen 	BAISSEN1UNI4	the act of gripping or chewing off with the teeth and jaws	0.6496980786323547	D'Handlung vum Gräifen oder Ofknätschen mat den Zänn an de Kiefer.
bäissen	VRB	to bite	to sink one's teeth in something	de blesséierte Sportler huet op d'Zänn gebass 	BAISSEN1UNI4_EGS	the act of gripping or chewing off with the teeth and jaws	0.6496980786323547	D'Handlung vum Gräifen oder Ofknätschen mat den Zänn an de Kiefer.
bäisteieren	VRB	to contribute	to provide	steiert dir d'Gedrénks bäi , da brénge mir d'Iesse mat! 	BAISTEIEREN1UNI1	provide	0.7596684694290161	eppes zur Verfügung stellen
Bak	SUBST	cheek	part of the face	d'Patientin huet de rietse Bak déck geschwollen 	BAK1UNI1	either side of the face below the eyes	0.7041643857955933	Eng vun den zwou Säiten am Gesiicht ënner den Aen.
Bak	SUBST	cheek	part of the face	hal de Bak ! 	BAK1UNI1_EGS	either side of the face below the eyes	0.7041643857955933	Eng vun den zwou Säiten am Gesiicht ënner den Aen.
Balance	SUBST	balance	equilibrium	de Seeldänzer däerf d'Balance net verléieren, soss riskéiert en erofzefalen 	BALANCE1UNI1	be in equilibrium	0.8582607507705688	am Gläichgewiicht sinn
Ballad	SUBST	ballad	poem	wann ech déi Ballad liesen, ginn ech ganz melancholesch 	BALLAD1UNI1	a narrative poem of popular origin	0.6090030670166016	E verzielt Gedicht mat Volleksurspronk.
balucken	VRB	to squint	to be cross-eyed	well eise Klenge staark baluckt , loosse mer e mat den Aen operéieren 	BALUCKEN1UNI1	be cross-eyed; have a squint or strabismus	0.7542828917503357	Schielen oder d'Aen net riicht ausgeriicht hunn.
Band	SUBST	gang	group of criminals	eng Band Täschendéif mécht d'Stad onsécher 	BAND2UNI2	an association of criminals	0.8289496302604675	eng Grupp vu Kriminellen
Band	SUBST	band	of musicians	déi Jonk hu begeeschtert gejaut, wéi d'Band op d'Bün koum 	BAND4UNI1	instrumentalists not including string players	0.6545997262001038	Museker déi keng Sträichinstrumenter spillen
Bänk	SUBST	bench	seat	déi al Koppel sëtzt gären am Park op enger Bänk 	BANK2UNI1	a long seat for more than one person	0.6125813722610474	Eng Plaz fir ze sëtzen, déi laang genuch ass fir méi wéi eng Persoun.
