lemma	pos	de_word	de_definition	sentence	wn_definition
Aarbechtsamt	SUBST	Arbeitsagentur	Einrichtung	d'Aarbechtsamt huet mir eng gutt Plaz verschaaft 	eine Agentur, die Menschen für bestimmte Stellen vermittelt oder Arbeitsplätze für Arbeitslose findet
Aarbechtsamt	SUBST	Arbeitsagentur	Gebäude	d'Manifestatioun virum Aarbechtsamt ass ausser Kontroll geroden 	eine Agentur, die Menschen für bestimmte Stellen vermittelt oder Arbeitsplätze für Arbeitslose findet
Aarbechtskontrakt	SUBST	Arbeitsvertrag	Anstellung	hie krut en Aarbechtskontrakt op dräi Joer 	Vertrag zwischen Arbeitgeber und Arbeitnehmer
Aarbechtskontrakt	SUBST	Arbeitsvertrag	Dokument	ech krut mäin Aarbechtskontrakt haut mat der Post geschéckt 	Vertrag zwischen Arbeitgeber und Arbeitnehmer
Aarbechtskraaft	SUBST	Arbeitskraft	Leistungskraft	Aarbechtskraaft a Kapital sinn zwee wichteg Begrëffer am Marxismus 	Person, die in einer Firma oder Institution arbeitet
Aarbechtskraaft	SUBST	Arbeitskraft	Person	well mir net genuch Personal hunn, si mer frou iwwer all zousätzlech Aarbechtskraaft 	Person, die in einer Firma oder Institution arbeitet
Aarbechtsplaz	SUBST	Arbeitsplatz	Arbeitsort	vill Frontaliere musse wäit fueren, fir op hir Aarbechtsplaz ze kommen 	berufliche Position
Aarbechtssituatioun	SUBST	Arbeitsverhältnis	Rechtsverhältnis	d'Personal freet eng definitiv Regularisatioun vun senger Aarbechtssituatioun 	berufliche Position
Aarbechtsvertrag	SUBST	Arbeitsvertrag	Anstellung	mäin Aarbechtsvertrag gesäit 32 Deeg Congé d'Joer vir 	Vertrag zwischen Arbeitgeber und Arbeitnehmer
Aarbechtsvertrag	SUBST	Arbeitsvertrag	Dokument	ech krut mäin Aarbechtsvertrag haut mat der Post geschéckt 	Vertrag zwischen Arbeitgeber und Arbeitnehmer
aarm	ADJ	karg	Boden	an aarme Biedem wiisst net vill 	relativ mäßig, begrenzt oder klein
Aarm	SUBST	Arm	Gliedmaße	kuck, du hues en Himmelsdéierchen um Aarm sëtzen! 	jede Projektion, von der angenommen wird, dass sie einem menschlichen Arm ähnelt
Aarm	SUBST	Arm	Gliedmaße	eise President huet e laangen Aarm 	jede Projektion, von der angenommen wird, dass sie einem menschlichen Arm ähnelt
aarmséileg	ADJ	armselig	verachtenswert	lauschter net op deen aarmséilegen Typ! 	würdelos
Aasch	SUBST	Arsch	Gesäß	setz dech op däin Aasch an da mucks de dech net méi! 	der fleischige Teil des menschlichen Körpers, auf dem man sitzt
Aasch	SUBST	Arsch	Schimpfwort	du Aasch ! 	der fleischige Teil des menschlichen Körpers, auf dem man sitzt
Aaschlach	SUBST	Arschloch	After	däin Hond ass ganz wond um Aaschlach 	vulgärer Slang für Anus
Aaschlach	SUBST	Arschloch	Schimpfwort	du Aaschlach ! 	vulgärer Slang für Anus
Aascht	SUBST	Ast	eines Baums	d'Äscht vun där aler Eech maachen eis Schiet 	einer der Hauptzweige, die vom Stamm oder einem Zweig eines Baumes ausgehen
Aascht	SUBST	Ast	eines Baums	du sees den Aascht of, op deem s de selwer sëtz 	einer der Hauptzweige, die vom Stamm oder einem Zweig eines Baumes ausgehen
abannen	VRB	einbinden	einhüllen, einwickeln	fir de Schoulufank musse mer deng Bicher nach abannen 	in Verbindung mit etwas Relevantem stehen
Abberzuel	SUBST	Haufen	große Anzahl	fir meng Hochzäit hunn ech eng Abberzuel Leit agelueden 	eine große Anzahl oder Menge
Abenteuer	SUBST	Abenteuer	spannendes Erlebnis	an där Serie Bicher geet et ëm d'Abenteuer vun enger Clique Kanner 	(Psychologie) ein Zustand geistiger oder emotionaler Anspannung oder Spannung
aberuffen	VRB	einberufen	eine Versammlung	d'Direktioun huet eng Pressekonferenz aberuff 	zusammenrufen
abiergeren	VRB	sich einbürgern	üblich werden, sich verbreiten	et huet sech mat der Zäit agebiergert , datt d'Leit an de Wantersport fueren 	sich über oder auf etwas ausbreiten
abiergeren	VRB	sich einbürgern	heimisch werden	mëttlerweil huet den nordamerikanesche Wäschbier sech an Europa agebiergert 	sich über oder auf etwas ausbreiten
Abildung	SUBST	Einbildung	irrige Vorstellung	hie war iwwerzeegt, hie géif gemobbt, mee et war alles nëmmen Abildung 	etwas, das nur in der Wahrnehmung existiert
Abléck	SUBST	Moment	Zeitpunkt	dat war en historeschen Abléck 	ein bestimmter Zeitpunkt
ablécklech	ADJ	augenblicklich	momentan	an där ablécklecher Situatioun kann d'Doktesch nach näischt Konkreetes soen 	in diesem Moment
Abonnement	SUBST	Abonnement	Bezug	eist Abonnement op d'Zeitung leeft Enn des Mounts of 	ein zugesagter Beitrag
Abonnement	SUBST	Abonnement	Dauerkarte	ech hunn de Bus verpasst, well ech mäin Abonnement net fonnt hunn 	ein zugesagter Beitrag
abordéieren	VRB	ansprechen	zur Sprache bringen	ech hu mech net getraut, dee Problem ze abordéieren 	eine Rede halten vor
abréngen	VRB	einbringen	Gewinn	seng Konschtwierker hunn eréischt no sengem Doud Suen abruecht 	in den Besitz kommen
abriechen	VRB	einbrechen	mit Gewalt eindringen	den Déif ass dës Nuecht an zwee Haiser agebrach 	eingebrochen werden
abriechen	VRB	einbrechen	mit Gewalt öffnen	d'Pompjeeën hunn d'Dier missen abriechen , fir de Leit zu Hëllef ze kommen 	eingebrochen werden
Abroch	SUBST	Einbruch	gewaltsames Eindringen	den Abroch an hiert Haus war fir eis Noperen en desagreabelt Erliefnes 	ein schwerer Unfall (in der Regel mit einem oder mehreren Fahrzeugen)
abscheilech	ADJ	abscheulich	verwerflich	wéinst sengen abscheilechen Dote souz hie bis zu sengem Liewensenn am Prisong 	abscheulich zu sein
Abschid	SUBST	Abschied	im Berufsleben	mir hunn eis gutt um Chef sengem Abschid ameséiert 	Entlassung aus dem Amt
Absence	SUBST	Abwesenheit	das Ausbleiben, das Wegbleiben	wat ass wärend menger Absence geschitt? 	Nichterscheinen
Absence	SUBST	Abwesenheit	Mangel, Nichtvorhandensein	duerch d'Absence vu kloren Direktiven ass de Projet näischt ginn 	eine akute Unzulänglichkeit
Absence	SUBST	Absence	Krampfleiden	wärend senger epileptescher Kris hat de Patient eng Absence vu 15 Sekonnen 	eine Unterbrechung von Radio- oder Fernsehsendungen
absënns	ADV	besonders	vor allem	d'Onkraut wiisst gutt, absënns wann et waarm a fiicht ass 	in hohem Ausmaß
Absinth	SUBST	Absinth	Getränk	den Absinth war laang Zäit verbueden, elo ass en nees erlaabt 	starker grüner Likör, der mit Wermut und Anis aromatisiert ist
absolut	ADJ	absolut	unbedingt, völlig	d'Moderniséierung vum Gebai ass eng absolut Noutwendegkeet 	nicht zweifelhaft
absolut	ADJ	absolut	Messung	déi absolut Héicht vun engem Bierg gëtt vum Mieresspigel aus gemooss 	kann nicht übertreten oder verletzt werden
absolvéieren	VRB	absolvieren	Aus-, Weiterbildung	mäi Brudder huet als Eenzegen an der Famill en Universitéitsstudium absolvéiert 	durch Verschließen sichern
abstrakt	ADJ	abstrakt	theoretisch, begrifflich	déi abstrakt Froe kann ech net beäntweren! 	ohne materielle Form oder Substanz; unwirklich
Absurditéit	SUBST	Absurdität	etwas Absurdes	et ass eng Absurditéit , esou vill Sue fir déi Aarbecht ze verlaangen! 	Das Absurd-Sein/Widersinnig-Sein/Sinnlos-Sein
Absurditéit	SUBST	Absurdität	das Absurdsein	si gouf op d'Absurditéit vun hirer Argumentatioun higewisen 	Das Absurd-Sein/Widersinnig-Sein/Sinnlos-Sein
Abteilung	SUBST	Abteilung	eines Unternehmens, einer Dienststelle	d'Firma huet dëst Joer eng Abteilung an d'Ausland verluecht 	eine Verwaltungseinheit in einer Regierung oder einem Unternehmen
Acceleratioun	SUBST	Beschleunigung	schnelleres Vorankommen	de Minister wënscht sech eng Acceleratioun vum Projet 	der Vorgang des Beschleunigens; Erhöhung der Geschwindigkeit
Acceleratioun	SUBST	Beschleunigung	Geschwindigkeitszunahme	duerch d'Acceleratioun ginn d'Leit am Fliger an de Sëtz gedréckt 	der Vorgang des Beschleunigens; Erhöhung der Geschwindigkeit
Accent	SUBST	Akzent	diakritisches Zeichen	„sech“ gëtt ouni Accent geschriwwen 	besondere Bedeutung oder Wichtigkeit
Accent	SUBST	Akzent	Tonfall	no zéng Joer an Däitschland hat e säi lëtzebuergeschen Accent verluer 	die Art und Weise, wie ein Wort oder eine Sprache üblicherweise gesprochen wird
accentuéieren	VRB	betonen	einen Laut	an dësem Wuert gëtt déi virlescht Silb accentuéiert 	hervorheben; mit Akzent sprechen
Accès	SUBST	Zugang	Weg	den Accès an d'Schigebitt ass komplett zougeschneit 	der Akt der Annäherung oder des Betretens
accessibel	ADJ	verständlich	leicht fassbar	Bicher iwwer Physik sinn net fir jiddereen accessibel 	(von Sprache) durchsichtig klar; leicht verständlich
Accessibilitéit	SUBST	Zugänglichkeit	Zutritt, Zugang	och wärend dem Chantier ass d'Accessibilitéit vun eise Raimlechkeete garantéiert 	Bereitschaft zur Aufnahme (insbesondere von Eindrücken oder Ideen)
accidentéiert	ADJ	verunglückt	von einem Unfall betroffen	den accidentéierte Won ass ofgeschleeft ginn 	nicht verheißungsvoll; Unglück verheißend
Accord	SUBST	Angleichung	grammatikalische Kongruenz	am Franséischen di vill Leit sech schwéier mam Accord vum Participe passé 	der Akt der Gleichmachung oder Vereinheitlichung
Accouchement	SUBST	Entbindung	Geburt	eis Nopesch hat e schwéiert Accouchement 	der Vorgang der Entbindung
Accumulatioun	SUBST	Akkumulation	rhetorisches Stilmittel	d'Unheefe vu Verben, Substantiver oder Adjektiven ass eng Accumulatioun 	der Akt des Anhäufens
Accusatioun	SUBST	Beschuldigung	Unterstellung, Verleumdung	deng Accusatioune si komplett aus der Loft gegraff! 	die Zuweisung von Schuld
Accusatioun	SUBST	Beschuldigung	vor Gericht	den Ugeklote gouf vun allen Accusatioune fräigesprach 	die Zuweisung von Schuld
accuséieren	VRB	beschuldigen	Unterstellungen machen über, verleumden	ech gouf vun alle Säiten accuséiert , ech géif d'Tatsaache verdréien 	förmlich zurechtweisen
accuséieren	VRB	beschuldigen	vor Gericht	den Dokter ass accuséiert , seng Fra ëmbruecht ze hunn 	förmlich zurechtweisen
Achs	SUBST	Achse	am Fahrzeug	déi hënnescht Achs vu mengem Auto ass gebrach 	eine Welle, auf der sich ein Rad dreht
Achs	SUBST	Achse	Drehachse, Symmetrieachse	d'Dänzer hu sech zweemol ëm hir eegen Achs gedréit 	eine wellenförmige Kurve
Achs	SUBST	Achse	Verkehrsweg	op der Achs Flughafen - Gare gëtt et neierdéngs eng zweet Buslinn 	eine wellenförmige Kurve
Acquisitioun	SUBST	Anschaffung	Ware, Gut	meng lescht Acquisitioun huet mech d'Aen aus dem Kapp kascht! 	der Erwerb einer Sache gegen Bezahlung
acquittéieren	VRB	quittieren	einen Betrag	kënnt Dir mer d'Rechnung acquittéieren ? 	Beglaubigungsschreiben ausstellen an
acquittéieren	VRB	freisprechen	für unschuldig erklären	wéinst Manktem u Beweiser ass de Beschëllegten acquittéiert ginn 	von einer strafrechtlichen Anklage für nicht schuldig erklären
Acteur	SUBST	Akteur	Beteiligte(r)	d'Decisioun gouf kollektiv vun all de betraffenen Acteure geholl 	ein Theaterschauspieler
Adaptatioun	SUBST	Adaptation	Umarbeitung eines Kunstwerks	d'musikalesch Adaptatioun vum Theaterstéck ass gelongen 	(Physiologie) die automatische Anpassung der Brennweite der natürlichen Linse des Auges
adaptéieren	VRB	adaptieren	ein Kunstwerk	wien huet dat Theaterstéck adaptéiert ? 	mehrere Gegenstände oder Personen einfügen oder anpassen
Adel	SUBST	Adel	Aristokratie	déi zwou Famillje stoungen deemools un der Spëtzt vum europäeschen Adel 	die Eigenschaft, den Geist zu erheben und den Charakter, die Ideale oder das Verhalten zu verherrlichen
adeleg	ADJ	adlig	aristokratisch	hie kënnt aus enger adeleger Famill 	zum Adel oder zur Aristokratie gehörend oder für sie charakteristisch
Adjoint	SUBST	Stellvertreter	einer Führungskraft	de Verantwortleche ka sech op säin Adjoint verloossen 	jemand, der von einem Herrscher zum Stellvertreter in der Verwaltung ernannt wird
Administrateur	SUBST	Administrator	eines Computers, eines informatischen Netzwerks	du muss dech als Administrateur aloggen, fir d'Passwierder ze änneren 	Person, die für die Verwaltung eines Computersystems verantwortlich ist
Administratioun	SUBST	Verwaltung	Behörde	de Finanzminister huet senger Administratioun nei Direktive ginn 	Organisation, die die regierende Autorität einer politischen Einheit ist
Administratioun	SUBST	Verwaltung	das Führen, das Leiten	d'Entreprise ass wéinst enger schlechter Administratioun faillite 	die Tätigkeit des Führens
administréieren	VRB	verwalten	leiten	d'Entreprise gëtt vu Paräis aus administréiert 	weiterführen oder funktionieren
Admissioun	SUBST	Zulassung	Aufnahme	fir d'Admissioun musst Der an d'Sekretariat vun der Uni goen 	Erlaubnis, dass man etwas tun darf
adoptéieren	VRB	adoptieren	ein Kind	well se keng Kanner ka kréien, huet d'Koppel e Weesekand adoptéiert 	in seine Familie aufnehmen
adoptéieren	VRB	annehmen	ein Gesetz	de Gesetzesprojet gouf an der Nuecht eestëmmeg adoptéiert 	zum Halten oder Aufnehmen bestimmt sein
adoptéieren	VRB	ergreifen	in die Wege leiten	esou Mesurë kënnen nëmmen an dréngende Fäll adoptéiert ginn 	nachlässig anwenden
Adoptioun	SUBST	Annahme	eines Gesetzes	d'Adoptioun vun deem Gesetzesprojet ass wichteg, fir kënne weiderzeschaffen 	eine Bedingung, die eine Voraussetzung ist
Aemooss	SUBST	Augenmaß	Schätzung	eise Schräiner huet eng gutt Aemooss 	die Eigenschaft, relativ zu sein und nur im Verhältnis zu etwas anderem Bedeutung zu haben
Aenhéicht	SUBST	auf Augenhöhe	in ebenbürtiger Position	déi zwou Parteien hunn op Aenhéicht matenee verhandelt 	(von Personen, z.B.) vollwertig geworden
Äerd	SUBST	Erde	Leitung zum Erden	fir meng elektresch Anlag benotzen ech eng Kofferstaang als Äerd 	ein Teil der Erde, der separat betrachtet werden kann
Äerdbier	SUBST	Erdbeere	Frucht	ech hunn de Kuch mat enger Äerdbier dekoréiert 	süße fleischige rote Frucht
Aerosol	SUBST	Aerosol	Gemisch aus Schwebeteilchen	d'Experte probéieren erauszefannen, ob de Krankheetserreeger sech iwwer Aerosolle verbreet 	eine Wolke aus festen oder flüssigen Teilchen in einem Gas
afalen	VRB	einfallen	Gedanke	mir fält am Ament kee bessert Wuert an 	plötzlich aufspringen
afalen	VRB	einfallen	Gedanke	dat géif mir am Dram net afalen ! 	plötzlich aufspringen
aféieren	VRB	einführen	den Gebrauch	déi nei Methode sollen och an de Lëtzebuerger Schoulen ageféiert ginn 	einführen, verordnen oder einrichten
aféieren	VRB	einführen	vertraut machen	dat ass de Professer, dee mech an d'Literatur ageféiert huet 	ein Vorläufer sein von
aféieren	VRB	einführen	hineinschieben	d'Doktesch huet d'Sonde ganz virsiichteg an de Mo ageféiert 	in etwas hineinlegen oder einführen
Affektatioun	SUBST	Anstellung	Stelle	ech kréien eng Affektatioun bei der Gemeng 	berufliche Position
affektéieren	VRB	zuweisen	Geld	fir deen neien Educatiounsprojet goufen héich Kreditter affektéiert 	verteilen
Affer	SUBST	Opfer	Person	d'Gemeng huet e Gedenkstee fir d'Affer vun der Katastroph opgeriicht 	eine Person, die getäuscht oder betrogen wird
afferen	VRB	opfern	verzichten auf	wiers du bereet, deng Fräizäit dofir ze afferen ? 	Etwas von hohem Wert aufgeben.
afferen	VRB	opfern	zum Opfer bringen	fréier goufen Déieren a Mënsche geaffert 	Etwas von hohem Wert aufgeben.
afferen	VRB	opfern	zum Opfer bringen	wa kee sech mellt, dann afferen ech mech alt! 	Etwas von hohem Wert aufgeben.
affichéieren	VRB	anzeigen	auf dem Bildschirm	d'Resultater ginn um Ecran affichéiert 	vorführen und dem Verstand präsentieren
Affinitéit	SUBST	Affinität	Sympathie	si sinn net eens gi mateneen, well se keng Affinitéiten haten 	eine natürliche Anziehungskraft oder ein Gefühl der Verwandtschaft
Affirmatioun	SUBST	Behauptung	Aussage	dat ass eng Affirmatioun , déi schlëmm Konsequenze kann hunn 	eine Aussage, die die Existenz oder die Wahrheit von etwas behauptet
affirméieren	VRB	behaupten	beteuern	ech affirméieren näischt Falsches, wann ech dat soen 	kategorisch angeben
Afloss	SUBST	Einfluss	Macht	als Member vum Verwaltungsrot huet säi Papp vill Afloss an der Firma 	Macht, mit der etwas oder jemand beeinflusst oder beherrscht wird
Afloss	SUBST	Einfluss	Einwirkung	de Mound huet Afloss op d'Stréimung vum Mier 	Folgen, Konsequenzen einer Handlung oder Unterlassung
afréieren	VRB	einfrieren	blockieren, sperren	d'Subside vun de Gemenge sinn zäitweileg agefruer ginn 	einfrieren lassen
Agang	SUBST	Eingang	Eingangsbereich	iwwer dem Agang vum Hotel houng eng grouss Auer 	der Akt des Eintritts
ageheien	VRB	einwerfen	einen Brief, eine Münze	ech muss d'Bréiwer den Owend nach ageheien 	durchdrungen werden
ageheien	VRB	einwerfen	einen Ball	d'Spillerin vun der Lokalekipp gehäit de Ball an 	heftig schlagen, wie bei einem Angriff
ageheien	VRB	einwerfen	zertrümmern	d'Bouwen hu mam Ball d'Kellerfënster agehäit 	durchdrungen werden
agéieren	VRB	handeln	tätig werden, tätig sein	an dëser Affär muss séier agéiert ginn 	eine Handlung durchführen
Agence	SUBST	Agentur	Vermittlungsagentur	d'Pianistin gëtt vun enger bekannter Agence vertrueden 	ein Unternehmen oder eine Organisation, die eine bestimmte Dienstleistung erbringt, insbesondere die Vermittlung von Transaktionen zwischen zwei Parteien
aggresséieren	VRB	angreifen	körperlich	de Mann gouf mat engem Messer aggresséiert an uerg verwonnt 	beginnen zu verletzen
aggresséieren	VRB	angreifen	verbal	op der leschter Generalversammlung huet e Member de President stänneg aggresséiert 	sich wie bei einem Angriff auf den Gegner stürzen
aggresséieren	VRB	angreifen	fremdes Staatsgebiet	dat klengt Land ass an senger Geschicht schonn dacks aggresséiert ginn 	von allen Seiten angreifen oder überfallen:
Aggressioun	SUBST	Aggression	auf fremdes Staatsgebiet	dat Land huet sech scho géint vill Aggressioune misse wieren 	(militärisch) ein Angriff gegen einen Feind (mit Waffen)
Aggressioun	SUBST	Aggression	Gewaltbereitschaft	säi Mësserfolleg huet Aggressioune bei him provozéiert 	gewalttätige Handlung, die feindselig und in der Regel unprovoziert ist
Aggressioun	SUBST	Überfall	auf eine Person	no der Aggressioun konnt de Schëllege vun der Police festgeholl ginn 	der Akt des Angreifens
aggressiv	ADJ	aggressiv	gewaltbereit	säin aggressiivt Behuele mécht eis Suergen 	mitgroßem Ehrgeiz
aggressiv	ADJ	aggressiv	dynamisch, expansiv	si hunn eng aggressiv Verkafspolitik 	mitgroßem Ehrgeiz
Aggressivitéit	SUBST	Aggressivität	Charaktereigenschaft	ech reagéiere meng Aggressivitéit duerch Boxen of 	Schärfe des Verhaltens
aginn	VRB	eingeben	digitale Daten	fir d'Donnéeë kënnen ze verwäerten, muss de se an de Computer aginn 	(Daten oder ein Programm) in einen Computer eingeben
agoen	VRB	eingehen	beim Waschen	hie kritt seng Box net méi un, well se an der Wäsch agaangen ass 	sich verkümmern
agoen	VRB	eingehen auf	sich auseinandersetzen mit	de Professer geet op de Schüler hir Problemer an 	zu Beispielzwecken in Betracht ziehen
Agraff	SUBST	Heftklammer	Drahtklammer	heft d'Blieder wannechgelift mat enger Agraff zesummen! 	eine Klemme, die Holzstücke zusammenhält, während sie verleimt werden
agreéieren	VRB	zulassen	genehmigen	de Ministère huet déi nei Raimlechkeete vun der Crèche agreéiert 	durchlaufen lassen
Agrëff	SUBST	Eingriff	Einmischung	de militäreschen Agrëff huet d'Situatioun verschlëmmert 	Kontakt durch Aneinanderfügen
Agrement	SUBST	Zulassung	Erlaubnis	fir eng konventionéiert Crèche däerfen opzemaachen, brauch een en Agrement vum zoustännege Ministère 	amtliche Erlaubnis oder Genehmigung
Agrement	SUBST	Zulassung	Dokument	de Ministère huet den Agrement nach net zeréckgeschéckt 	amtliche Erlaubnis oder Genehmigung
agrenzen	VRB	eingrenzen	beschränken	dat Theema muss fir d'Diskussioun agegrenzt ginn 	Beschränkungen auferlegen
agruewen	VRB	untergraben	eingraben	ech hunn d'Mëscht mat agegruewen 	(Stoffe) in einzelne Elemente oder Teile zerlegen
Ahorn	SUBST	Ahorn	Pflanze	de Fierschter huet jonk Ahorne planze gelooss 	Typusgattung der Aceraceae; Bäume oder Sträucher mit geflügelten Früchten
Ahorn	SUBST	Ahorn	Holz	eisen neie Schaf ass aus Ahorn 	Typusgattung der Aceraceae; Bäume oder Sträucher mit geflügelten Früchten
Aide	SUBST	Beihilfe	finanzielle Unterstützung	wann ee säin Haus wëllt energeetesch sanéieren, huet ee verschidden Aiden zegutt 	jede finanzielle Unterstützung
Äifer	SUBST	Erregung	Aufgebrachtheit	wann s de däi Papp net mat Rou léiss, da geréit en nach an den Äifer ! 	der Akt der Erregung
Äifer	SUBST	Erregung	Aufgebrachtheit	meng Mamm dreift mech dacks mat hire Froen an den Äifer 	der Akt der Erregung
Airelle	SUBST	Preiselbeere	Frucht	ech kachen all Joer Gebeess vun den Airellen , fir beim Wëld ze zerwéieren 	säuerliche rote Beeren, ähnlich den amerikanischen Preiselbeeren, aber kleiner
Äis	SUBST	Eis	gefrorenes Wasser	de Séi läit ënner enger dënner Schicht Äis 	ein gefrorenes Dessert mit Fruchtaroma (insbesondere ohne Milch)
Äis	SUBST	Eis	gefrorenes Wasser	meng Mamm huet dacks Féiss ewéi Äis 	ein gefrorenes Dessert mit Fruchtaroma (insbesondere ohne Milch)
äiseg	ADJ	eisig	sehr kalt	no där äiseger Wanternuecht war de Séi zougefruer 	extrem kalt
äiskal	ADJ	eiskalt	sehr kalt	dobausse bléist en äiskale Wand 	extrem kalt
äiskal	ADJ	eiskalt	sehr kalt	et leeft mer äiskal de Réck erof 	extrem kalt
äiskal	ADJ	eiskalt	Kälte spürend	et ass mer äiskal , maach emol d'Heizung un! 	extrem kalt
ajustéieren	VRB	anpassen	Beträge	den 1. Juli ginn d'Pensiounen ajustéiert , well d'Präisser geklomme sinn 	kompensieren
akachen	VRB	einkochen	haltbar machen	de Viz gëtt agekacht , fir datt en sech hält 	kochen, bis nur noch wenig Flüssigkeit übrig ist
akadeemesch	ADJ	akademisch	universitär	hatt huet en akadeemesche Grad am Droit 	mit der Wissenschaft oder einer Akademie verbunden
akadeemesch	ADJ	akademisch	abstrakt, trocken	den Text ass vill ze vill akadeemesch fir mech, ech verstinn en net! 	nicht notwendig
Akaf	SUBST	Einkauf	Abteilung eines Unternehmens	mäi Brudder ass vun der Vente an den Akaf gewiesselt 	der Akt des Kaufens
akafen	VRB	einkaufen	im Einzelhandel	ech muss nach e puer Saachen akafe goen, fir den Owend ze kachen 	sich umsehen; nicht unbedingt kaufen
akafen	VRB	einkaufen	im Großhandel	de Grosist huet seng Wueren zu engem gënschtege Präis akaaft 	sich umsehen; nicht unbedingt kaufen
Akafszenter	SUBST	Einkaufszentrum	Unternehmen	am neien Akafszenter gëtt et e Supermarché a vill kleng Geschäfter 	eine Handelseinrichtung, die aus einem sorgfältig gestalteten Komplex von Geschäften besteht, in denen führende Handelsunternehmen vertreten sind; umfasst in der Regel Restaurants und einen bequemen Parkplatz; eine moderne Version des traditionellen Marktplatzes
Akafszenter	SUBST	Einkaufszentrum	Gebäude	d'Leit ware frou, wéi endlech en Akafszenter no bei hirer Cité gebaut gouf 	eine Handelseinrichtung, die aus einem sorgfältig gestalteten Komplex von Geschäften besteht, in denen führende Handelsunternehmen vertreten sind; umfasst in der Regel Restaurants und einen bequemen Parkplatz; eine moderne Version des traditionellen Marktplatzes
akasséieren	VRB	einkassieren	Geld	d'Serveuse huet d'Rechnung akasséiert 	in Gewahrsam nehmen
akasséieren	VRB	einkassieren	Geld	hätt hien sech erausgehalen, hätt e keng Streech akasséiert ! 	in Gewahrsam nehmen
Akkont	SUBST	Anzahlung	Betrag	well ech net genuch Sue bei mer hat, hunn ech en Akkont vu fofzeg Euro ginn 	eine Teilzahlung zum Zeitpunkt des Kaufs; der Restbetrag ist später zu zahlen
Akkont	SUBST	Anzahlung	Betrag	ech ginn der gläich en Akkont ! 	eine Teilzahlung zum Zeitpunkt des Kaufs; der Restbetrag ist später zu zahlen
Akkord	SUBST	Akkord	Zusammenklang von Tönen	d'Stéck fänkt mat engem harmoneschen Akkord un 	eine Kombination von drei oder mehr Tönen, die harmonisch zusammenklingen, wenn sie zusammen erklingen
Akkreditatioun	SUBST	Akkreditierung	Zulassung	zwee vun eise Journaliste kruten d'Akkreditatioun fir op d'Olympesch Spiller 	die Gewährung von Krediten oder Anerkennung (insbesondere in Bezug auf eine Bildungseinrichtung, die angemessene Standards einhält)
Akkreditatioun	SUBST	Akkreditierung	Dokument	du muss deng Akkreditatioun virleeën, soss gëss de net eragelooss 	die Gewährung von Krediten oder Anerkennung (insbesondere in Bezug auf eine Bildungseinrichtung, die angemessene Standards einhält)
akkreditéieren	VRB	akkreditieren	bevollmächtigen	de Journalist ass akkreditéiert ginn , fir un der Pressekonferenz deelzehuelen 	verstärken oder fester machen
