lemma_x	pos_x	en_word_x	en_definition_x	sentence_x	code	wn_definition_x	confidence_x	lemma_y	pos_y	en_word_y	en_definition_y	sentence_y	wn_definition_y	confidence_y	lux_definition
besser	ADJ	better	of better quality, superior	ech brauch e bessere Knäip, deen heiten daacht näischt 	BESSER1UNI1	(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another	0.4525525569915771	besser	ADJ	better	of better quality, superior	ech brauch e bessere Knäip, deen heiten daacht näischt 	something superior in quality or condition or effect	0.6463102102279663	eppes wat méi héichwäerteg ass a Qualitéit, Zoustand oder Wierkung
Bestand	SUBST	stock	supply	am Mëttelmier ass de Bestand vun de Sardinne staark zeréckgaangen 	BESTAND1UNI1	a supply of something available for future use	0.5447865724563599	Bestand	SUBST	stock	supply	am Mëttelmier ass de Bestand vun de Sardinne staark zeréckgaangen 	supply with fish	0.647251307964325	mat Fësch beliwweren
betounen	VRB	to stress	to emphasize	ech wëll betounen , datt ech domat net averstane sinn! 	BETOUNEN1UNI2	to stress, single out as important	0.4982547163963318	betounen	VRB	to stress	to emphasize	ech wëll betounen , datt ech domat net averstane sinn! 	special emphasis attached to something	0.6075826287269592	besonnesch ervirhiewen oder ënnersträichen vun eppes
bëtschelen	VRB	to kid	goat	eng vun eise Geessen huet an der Nuecht gebëtschelt 	BETSCHELEN1UNI1	be silly or tease one another	0.0858015343546867	bëtschelen	VRB	to kid	goat	eng vun eise Geessen huet an der Nuecht gebëtschelt 	young goat	0.7353958487510681	Jonk Geesschen
Biddi	SUBST	horse	riding horse	déi déck Baueren hate fréier e puer Schaffpäerd an e Biddi , fir an d'Kutsch ze spanen 	BIDDI1UNI1	troops trained to fight on horseback	0.4826119542121887	Biddi	SUBST	horse	riding horse	déi déck Baueren hate fréier e puer Schaffpäerd an e Biddi , fir an d'Kutsch ze spanen 	provide with a horse or horses	0.6076391339302063	mat engem Päerd oder méi Päerd ausstafféieren
biergof	ADV	downhill	downwards	biergof geet et méi séier ewéi biergop 	BIERGOF1UNI1	toward the bottom of a hill	0.5570818185806274	biergof	ADV	downhill	downwards	biergof geet et méi séier ewéi biergop 	sloping down rather steeply	0.6010116934776306	mat enger éischter géier erofgoender Schréiegt
Biischt	SUBST	brush	hand brush	gëff mer d'Schëpp an d'Biischt , fir d'Grimmelen opzekieren! 	BIISCHT1UNI3	the act of brushing your hair	0.6362401843070984	Biischt	SUBST	brush	hand brush	gëff mer d'Schëpp an d'Biischt , fir d'Grimmelen opzekieren! 	clean with a brush	0.7208412885665894	Mat enger Pinsell oder engem Besen propper maachen
Billjee	SUBST	ticket	entrance, travel	ech hu mer e Billjee kaaft, fir mam Zuch op Léck ze fueren 	BILLJEE1UNI1	a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)	0.2313998341560363	Billjee	SUBST	ticket	entrance, travel	ech hu mer e Billjee kaaft, fir mam Zuch op Léck ze fueren 	provide with a ticket for passage or admission	0.6233118772506714	Engem en Ziedel ginn, fir datt en Zougang oder Zoutrëtt huet.
blann	ADJ	blind	unable to see	meng Kusin ass vu Klengem u blann 	BLANN1UNI1	unable to see; --Kenneth Jernigan	0.6378206014633179	blann	ADJ	blind	unable to see	meng Kusin ass vu Klengem u blann 	render unable to see	0.6458321213722229	maachen, datt een näischt méi gesäit
Bléck	SUBST	look	expression	däi Bléck mécht mer Angscht! 	BLECK1UNI1	the feelings expressed on a person's face	0.4181209504604339	Bléck	SUBST	look	expression	däi Bléck mécht mer Angscht! 	convey by one's expression	0.6307560205459595	Mat sengem Gesiichtsausdrock eppes vermëttelen.
blosen	VRB	to blow	wind	gëschter huet e staarke Wand geblosen 	BLOSEN1UNI6	be blowing or storming	0.6337844133377075	blosen	VRB	to blow	wind	gëschter huet e staarke Wand geblosen 	a strong current of air	0.6530027389526367	eng staark Loftstréimung
Broch	SUBST	fracture	of a bone	wann de Broch gutt verheelt ass, kënne mer de Gips erofhuelen 	BROCH1UNI1	breaking of hard tissue such as bone	0.5378337502479553	Broch	SUBST	fracture	of a bone	wann de Broch gutt verheelt ass, kënne mer de Gips erofhuelen 	fracture a bone of	0.6298167705535889	E Knach briechen oder splécken.
Bügel	SUBST	bugle	bugle-horn	um Galaconcert huet eise fréieren Dirigent e Solo um Bügel gespillt 	BUGEL1UNI1	a brass instrument without valves; used for military calls and fanfares	0.5442352294921875	Bügel	SUBST	bugle	bugle-horn	um Galaconcert huet eise fréieren Dirigent e Solo um Bügel gespillt 	play on a bugle	0.68904709815979	op enger klenger Trompett ouni Ventiller spillen
changéieren	VRB	to change	to vary, to alter, to replace	eise Chef changéiert stänneg seng Meenung 	CHANGEIEREN1UNI3	cause to change; make different; cause a transformation	0.6579370498657227	changéieren	VRB	to change	to vary, to alter, to replace	eise Chef changéiert stänneg seng Meenung 	the result of alteration or modification	0.6583428978919983	D'Resultat vun enger Verännerung oder Upassung.
Charge	SUBST	charge	responsibility, duty	ech hunn d'Charge vum President vun der Associatioun ugeholl 	CHARGE2UNI4	attention and management implying responsibility for safety	0.4453567862510681	Charge	SUBST	charge	responsibility, duty	ech hunn d'Charge vum President vun der Associatioun ugeholl 	assign a duty, responsibility or obligation to	0.750706136226654	Eng Aufgab, Verantwortung oder Flicht zouweisen
Convocatioun	SUBST	summons	to appear in court	wéinst där luscher Affär kruten si eng Convocatioun fir op d'Geriicht 	CONVOCATIOUN1UNI1	a writ issued by authority of law; usually compels the defendant's attendance in a civil suit; failure to appear results in a default judgment against the defendant	0.5764713287353516	Convocatioun	SUBST	summons	to appear in court	wéinst där luscher Affär kruten si eng Convocatioun fir op d'Geriicht 	call in an official matter, such as to attend court	0.6430148482322693	Offiziell Opfuerderung fir bei enger Instanz ze erschéngen, wéi zum Beispill viru Geriicht.
Coupe	SUBST	cut	tailoring	déi Coupe do geet der net! 	COUPE3UNI2	the style in which a garment is cut	0.5291101932525635	Coupe	SUBST	cut	tailoring	déi Coupe do geet der net! 	style and tailor in a certain fashion	0.7314175963401794	Eppes an engem bestëmmte Stil schneidderen an gestalten.
Debat	SUBST	debate	discussion, argument	am Kommitee gouf et en heftegen Debat iwwer d'Opstelle vun neie Statuten 	DEBAT1UNI1	a discussion in which reasons are advanced for and against some proposition or proposal	0.6786791086196899	Debat	SUBST	debate	discussion, argument	am Kommitee gouf et en heftegen Debat iwwer d'Opstelle vun neie Statuten 	have an argument about something	0.7627845406532288	Eng Meenungsverschiddenheet iwwer eppes hunn
deelen	VRB	to fork	to branch	do, wou de Wee sech deelt , musse mer no riets goen 	DEELEN1UNI5	divide into two or more branches so as to form a fork	0.5459727644920349	deelen	VRB	to fork	to branch	do, wou de Wee sech deelt , musse mer no riets goen 	the act of branching out or dividing into branches	0.607886791229248	D'Aktioun vum Ofzweigen oder Opdeele vu verschiddenen Äerm.
dënn	ADJ	thin	of little thickness	op den Diech läit eng dënn Kusch Schnéi 	DENN1UNI2	relatively thin in consistency or low in density; not viscous	0.5782753825187683	dënn	ADJ	thin	of little thickness	op den Diech läit eng dënn Kusch Schnéi 	make thin or thinner	0.630684494972229	méi schmuel oder méi schmuel maachen
dominikanesch	ADJ	Dominican	of the Dominican Republic	op eiser Rees hu mir déi dominikanesch Kultur kenne geléiert 	DOMINIKANESCH1UNI1	of or relating to or characteristic of the Dominican Republic or its people	0.692187488079071	dominikanesch	ADJ	Dominican	of the Dominican Republic	op eiser Rees hu mir déi dominikanesch Kultur kenne geléiert 	a native or inhabitant of the Dominican Republic	0.6995077729225159	eng Persoun, déi aus der Dominikanescher Republik kënnt oder do wunnt
Dram	SUBST	dream	during sleep	ech ka mech ëmmer u meng Dreem erënneren 	DRAM1UNI1	imaginative thoughts indulged in while awake	0.5254511833190918	Dram	SUBST	dream	during sleep	ech ka mech ëmmer u meng Dreem erënneren 	experience while sleeping	0.6545445322990417	Erliefnes wärend dem Schlof.
Dréi	SUBST	shooting	process of filming	d'Stuntfra huet sech beim Dréi vun engem Actionfilm den Aarm gebrach 	DREI1UNI3	the act of firing a projectile	0.2732709348201751	Dréi	SUBST	shooting	process of filming	d'Stuntfra huet sech beim Dréi vun engem Actionfilm den Aarm gebrach 	make a film or photograph of something	0.6334244608879089	e Film oder eng Foto vu eppes maachen
dréien	VRB	to turn	to change direction	de Wand huet gedréit 	DREIEN1UNI7	change orientation or direction, also in the abstract sense	0.6807302236557007	dréien	VRB	to turn	to change direction	de Wand huet gedréit 	a movement in a new direction	0.6929826140403748	eng Beweegung an eng nei Richtung
dreiwen	VRB	to drive	to force to move	fir se ze sträichen, dreift de Bauer d'Kéi an de Stall 	DREIWEN2UNI1	force into or from an action or state, either physically or metaphorically	0.6831927299499512	dreiwen	VRB	to drive	to force to move	fir se ze sträichen, dreift de Bauer d'Kéi an de Stall 	the act of applying force to propel something	0.6918815970420837	D'Handlung, Kraaft unzewennen, fir eppes no vir ze beweegen.
drénken	VRB	to drink	to be an alcoholic	wéi seng Fra gestuerwen ass, huet hien ugefaang mat drénken 	DRENKEN1UNI8	drink excessive amounts of alcohol; be an alcoholic	0.6454638242721558	drénken	VRB	to drink	to be an alcoholic	wéi seng Fra gestuerwen ass, huet hien ugefaang mat drénken 	the act of drinking alcoholic beverages to excess	0.6724563837051392	d'Handlung fir ze vill alkoholescht Gedrénks ze konsuméieren
drillen	VRB	to drill	in military training	den Adjutant huet gudde Geschéck, fir d'Rekrutten ze drillen 	DRILLEN1UNI1	undergo military training or do military exercises	0.5921692848205566	drillen	VRB	to drill	in military training	den Adjutant huet gudde Geschéck, fir d'Rekrutten ze drillen 	(military) the training of soldiers to march (as in ceremonial parades) or to perform the manual of arms	0.6617050766944885	(militäresch) d'Soldaten trainéieren, fir am Takt ze marschéieren (wéi bei Zeremonien) oder fir Waffegreffer auszeféieren
Drock	SUBST	pressure	persuasion, intimidation	d'Ministesch huet dem Drock vun der Ëffentlechkeet noginn an demissionéiert 	DROCK1UNI2	a force that compels	0.4174161255359649	Drock	SUBST	pressure	persuasion, intimidation	d'Ministesch huet dem Drock vun der Ëffentlechkeet noginn an demissionéiert 	exert pressure on someone through threats	0.6485450863838196	Eng Persoun duerch Menacen ënner Drock setzen.
Drock	SUBST	print	process of printing	den éischte Band vum Lexikon ass am Drock 	DROCK2UNI1	a printed picture produced from a photographic negative	0.5607534050941467	Drock	SUBST	print	process of printing	den éischte Band vum Lexikon ass am Drock 	reproduce by printing	0.7002496123313904	duerch Drécken eng Kopie hierstellen
Drock	SUBST	print	printed work	dëst Buch ass en Drock aus dem 17. Joerhonnert 	DROCK2UNI2	availability in printed form	0.634911060333252	Drock	SUBST	print	printed work	dëst Buch ass en Drock aus dem 17. Joerhonnert 	put into print	0.7450841069221497	Op Pabeier erausbréngen
droen	VRB	to carry	to transport	de Papp dréit säi Bouf vill op de Schëlleren 	DROEN1UNI1	transmit or serve as the medium for transmission	0.4038340747356415	droen	VRB	to carry	to transport	de Papp dréit säi Bouf vill op de Schëlleren 	the act of carrying something	0.6429537534713745	d'Aktioun eppes ze halen an ze transportéieren
eleng	ADJ	alone	on one's own	mir dräi ware ganz eleng am Restaurant 	ELENG1UNI1	isolated from others	0.4501010477542877	eleng	ADJ	alone	on one's own	mir dräi ware ganz eleng am Restaurant 	without anybody else or anything else	0.6014242172241211	ouni iergendeen aneren oder eppes anescht
ëmleeën	VRB	to push	a lever, a switch	ech hunn den Hiewel ëmgeluecht , mee et ass näischt geschitt 	EMLEEEN1UNI3	press, drive, or impel (someone) to action or completion of an action	0.4183765053749084	ëmleeën	VRB	to push	a lever, a switch	ech hunn den Hiewel ëmgeluecht , mee et ass näischt geschitt 	an electrical switch operated by pressing	0.650970458984375	en elektresche Schalter, deen duerch Drécken aktivéiert gëtt
ënnerierdesch	ADJ	underground	beneath the ground	op der Maartplaz gëtt en neien ënnerierdesche Parking gebaut 	ENNERIERDESCH1UNI1	under the level of the ground	0.7975351810455322	ënnerierdesch	ADJ	underground	beneath the ground	op der Maartplaz gëtt en neien ënnerierdesche Parking gebaut 	beneath the surface of the earth	0.8629878759384155	ënnert der Uewerfläch vun der Äerd
ënnersträichen	VRB	to underline	to draw a line under	d'Joffer ënnersträicht d'Feeler mat engem roude Bic 	ENNERSTRAICHEN1UNI1	draw a line or lines underneath to call attention to	0.6570771336555481	ënnersträichen	VRB	to underline	to draw a line under	d'Joffer ënnersträicht d'Feeler mat engem roude Bic 	a line drawn underneath (especially under written matter)	0.7827156782150269	eng Linn déi ënnert eppes Geschriwwenem gezunn gëtt
Entschëllegung	SUBST	excuse	justification	dat do ass keng Entschëllegung fir Äert schlecht Behuelen! 	ENTSCHELLEGUNG1UNI1	a defense of some offensive behavior or some failure to keep a promise etc.	0.4170759916305542	Entschëllegung	SUBST	excuse	justification	dat do ass keng Entschëllegung fir Äert schlecht Behuelen! 	serve as a reason or cause or justification of	0.6320908069610596	Als Grond oder Erklärung fir eppes déngen.
Equiliber	SUBST	balance	equilibrium	de Cyclist huet den Equiliber verluer an ass vum Vëlo gefall 	EQUILIBER1UNI3	a state of equilibrium	0.8279103636741638	Equiliber	SUBST	balance	equilibrium	de Cyclist huet den Equiliber verluer an ass vum Vëlo gefall 	be in equilibrium	0.8582607507705688	am Gläichgewiicht sinn
eskortéieren	VRB	to escort	to protect, to guard	d'Police huet d'Staatscheffin bis op de Flughafen eskortéiert 	ESKORTEIEREN1UNI1	accompany or escort	0.3258171081542969	eskortéieren	VRB	to escort	to protect, to guard	d'Police huet d'Staatscheffin bis op de Flughafen eskortéiert 	the act of accompanying someone or something in order to protect them	0.6756152510643005	d'Handlung, bei där een eng Persoun oder eppes begleet, fir se ze schützen
Excuse	SUBST	excuse	justification	dat do ass eng bëlleg Excuse 	EXCUSE1UNI1	a defense of some offensive behavior or some failure to keep a promise etc.	0.4170759916305542	Excuse	SUBST	excuse	justification	dat do ass eng bëlleg Excuse 	serve as a reason or cause or justification of	0.6320908069610596	Als Grond, Motiv oder Rechtfäerdegung déngen fir eppes ze maachen.
Exercice	SUBST	exercise	practice learning task	d'Schüler mussen den Exercice doheem fäerdegmaachen 	EXERCICE1UNI1	a task performed or problem solved in order to develop skill or understanding	0.5809717178344727	Exercice	SUBST	exercise	practice learning task	d'Schüler mussen den Exercice doheem fäerdegmaachen 	learn by repetition	0.6451847553253174	Léieren duerch Widderhuelung
favoriséieren	VRB	to favour	to give an advantage to, to give preferential treatment to	dëse Steiersystem favoriséiert déi Leit, déi net vill verdéngen 	FAVORISEIEREN1UNI1	bestow a privilege upon	0.5617206692695618	favoriséieren	VRB	to favour	to give an advantage to, to give preferential treatment to	dëse Steiersystem favoriséiert déi Leit, déi net vill verdéngen 	an advantage to the benefit of someone or something	0.7303481698036194	e Virdeel, deen engem oder eppes zegutt kënnt
Feeler	SUBST	mistake	inaccuracy	de Bouf hat vill Feeler an sengem Diktat 	FEELER1UNI1	part of a statement that is not correct	0.5805230736732483	Feeler	SUBST	mistake	inaccuracy	de Bouf hat vill Feeler an sengem Diktat 	to make a mistake or be incorrect	0.6232430934906006	Eppes falsch maachen oder net richteg sinn
fëmmen	VRB	to smoke	to be a smoker	meng Kolleegin wëllt ophale mat fëmmen 	FEMMEN1UNI2	inhale and exhale smoke from cigarettes, cigars, pipes	0.5256989598274231	fëmmen	VRB	to smoke	to be a smoker	meng Kolleegin wëllt ophale mat fëmmen 	the act of smoking tobacco or other substances	0.6513206958770752	d'Handlung, Tubak oder aner Substanzen ze inhaléieren an auszootmen
Fett	SUBST	grease	lubricant	fir déi Zännrieder muss de dat richtegt Fett benotzen 	FETT2UNI3	a thick fatty oil (especially one used to lubricate machinery)	0.6390331387519836	Fett	SUBST	grease	lubricant	fir déi Zännrieder muss de dat richtegt Fett benotzen 	lubricate with grease	0.6887391805648804	Mat Schmiermëttel aschmieren
fixen	VRB	to fix	to inject drugs	déi Drogesüchteg sichen eng roueg Plaz fir ze fixen 	FIXEN1UNI1	kill, preserve, and harden (tissue) in order to prepare for microscopic study	0.2860023081302643	fixen	VRB	to fix	to inject drugs	déi Drogesüchteg sichen eng roueg Plaz fir ze fixen 	something craved, especially an intravenous injection of a narcotic drug	0.6637203693389893	eppes, no deem ee staark Verlaangen huet, besonnesch eng intravenös Sprëtz vun engem narkotesche Mëttel
Flam	SUBST	flame	fire	d'Flam vun der Käerz huet geflackert 	FLAM1UNI1	the process of combustion of inflammable materials producing heat and light and (often) smoke	0.5220988392829895	Flam	SUBST	flame	fire	d'Flam vun der Käerz huet geflackert 	be in flames or aflame	0.6321852803230286	A Feier sinn oder brennen.
Form	SUBST	mould	cast, baking tin	fir dës Figuren ze maachen, gëtt de Gips an eng extra Form gegoss 	FORM1UNI5	a dish or dessert that is formed in or on a mold	0.4643877446651459	Form	SUBST	mould	cast, baking tin	fir dës Figuren ze maachen, gëtt de Gips an eng extra Form gegoss 	form by pouring (e.g., wax or hot metal) into a cast or mold	0.6214985251426697	Eppes hierstellen, andeems een eng flësseg Substanz (z.B. Wues oder waarmt Metall) an eng Virlag oder Schabloun schëtt.
Fouss	SUBST	kick	with the foot	ech hätt deem freche Kärel am léifsten e Fouss hannebäi ginn! 	FOUSS1UNI3	the act of delivering a blow with the foot	0.5434864163398743	Fouss	SUBST	kick	with the foot	ech hätt deem freche Kärel am léifsten e Fouss hannebäi ginn! 	strike with the foot	0.7028701305389404	Mat dem Been ausschloen
Fraktur	SUBST	fracture	of a bone	op der Rëntgen huet den Dokter gesinn, datt et sech ëm eng komplizéiert Fraktur vum Schinnebeen handelt 	FRAKTUR1UNI1	breaking of hard tissue such as bone	0.5378337502479553	Fraktur	SUBST	fracture	of a bone	op der Rëntgen huet den Dokter gesinn, datt et sech ëm eng komplizéiert Fraktur vum Schinnebeen handelt 	fracture a bone of	0.6298167705535889	e Knach briechen oder splécken
fréi	ADV	early	before the usual time, near the beginning of a period	muer musse mer fréi opstoen! 	FREI1UNI1	during an early stage	0.5615264773368835	fréi	ADV	early	before the usual time, near the beginning of a period	muer musse mer fréi opstoen! 	at or near the beginning of a period of time or course of events or before the usual or expected time	0.6047873497009277	zu oder no beim Ufank vun enger Zäitperiod oder engem Oflaf vun Evenementer, oder virun der gewéinlecher oder erwaarter Zäit
fréizäiteg	ADJ	early	at an early stage	eng fréizäiteg Kriibsdiagnos ka Liewe retten 	FREIZAITEG1UNI1	being or occurring at an early stage of development	0.6285027265548706	fréizäiteg	ADJ	early	at an early stage	eng fréizäiteg Kriibsdiagnos ka Liewe retten 	during an early stage	0.8407450318336487	während enger éischter Phas
gebrauchen	VRB	to use	to make use of	déi al Kleeder kanns de héchstens nach fir d'Fuesent gebrauchen 	GEBRAUCHEN1UNI1	use up, consume fully	0.5897121429443359	gebrauchen	VRB	to use	to make use of	déi al Kleeder kanns de héchstens nach fir d'Fuesent gebrauchen 	the act of using	0.6653586030006409	den Akt vum Benotzen
Gefill	SUBST	feeling	sense of touch	meng riets Hand ass entschlof, ech hu kee Gefill an de Fangeren! 	GEFILL1UNI1	a physical sensation that you experience	0.6300740838050842	Gefill	SUBST	feeling	sense of touch	meng riets Hand ass entschlof, ech hu kee Gefill an de Fangeren! 	perceive by a physical sensation, e.g., coming from the skin or muscles	0.6625412106513977	Eppes duerch eng kierperlech Empfindung spieren, zum Beispill iwwer d'Haut oder d'Muskelen.
Gefill	SUBST	feeling	impression, emotion	Angscht ass e Gefill , dat dee Mann net kennt! 	GEFILL1UNI2	the experiencing of affective and emotional states	0.5921145677566528	Gefill	SUBST	feeling	impression, emotion	Angscht ass e Gefill , dat dee Mann net kennt! 	produce a certain impression	0.695213258266449	eng bestëmmt Impressioun ervirruffen
Gehauls	SUBST	howling	long loud sound	dat Gehauls vum Wand war richteg onheemlech! 	GEHAULS1UNI5	a long loud emotional utterance	0.6108371019363403	Gehauls	SUBST	howling	long loud sound	dat Gehauls vum Wand war richteg onheemlech! 	emit long loud cries	0.6349941492080688	Laang a haart Téin vu sech ginn.
