lemma,pos,en_word,en_definition,de_word,de_definition,fr_word,fr_definition,sentence,code,wn_definition_en,confidence_en,wn_definition_de,confidence_de,wn_definition_fr,confidence_fr,wn_definition,definition_language,confidence,gloss
berouegen,VRB,to calm down,,sich beruhigen,,se calmer,,"beroueg dech, et geschitt der näischt! ",BEROUEGEN1UNI2,,,"sich entspannen, ausruhen oder sich entspannen lassen",0.7624393701553345,,,"sich entspannen, ausruhen oder sich entspannen lassen",de,0.7624393701553345,"Eppes oder een erëm roueg maachen; berouegen, tréischtend oder beschwichtegend wierken, sou datt Angscht, Roserei oder Opreegung ofhëlt."
berouegend,ADJ,calming,,beruhigend,,apaisant,,dat Medikament huet eng berouegend Wierkung ,BEROUEGEND1UNI2,,,zur Beruhigung oder Beruhigung neigend,0.7337868213653564,,,zur Beruhigung oder Beruhigung neigend,de,0.7337868213653564,"Eegenschaft vun eppes, dat berouegt, d’Nerven entspaant an e Gefill vu Rou a Sécherheet vermëttelt."
bestoen,VRB,to exist,"to be present, to be extant",existieren,,exister,"être présent, réel",dëse Buttek besteet schonn zënter méi ewéi 100 Joer ,BESTOEN1UNI2,"have an existence, be extant",0.7744605541229248,eine Existenz haben,0.683073878288269,,,"have an existence, be extant",en,0.7744605541229248,Existéieren oder do sinn; nach ëmmer virhanden a gëlteg sinn.
bestueden,VRB,to marry,to get married to,heiraten,eine Ehe schließen mit,épouser,se marier avec,mäin Neveu bestit e räicht Meedchen ,BESTUEDEN1UNI2,,,eine Trauung durchführen,0.6526467800140381,,,eine Trauung durchführen,de,0.6526467800140381,Mat enger Persoun d’Bestietnes agoen; sech mat hir bestueden.
bestuet,ADJ,married,,verheiratet,,marié,,et waren nëmme bestuete Koppelen op där Soirée ,BESTUET1UNI1,,,Sich im Stande der Ehe befindend.,0.8374450206756592,,,Sich im Stande der Ehe befindend.,de,0.8374450206756592,"Am Zoustand ze sinn, mat enger anerer Persoun gesetzlech bestuet ze sinn; net méi onbestuet."
Bettspreet,SUBST,bedspread,,Tagesdecke,,couvre-lit,,d'Bettspreet an eiser Kummer ass aus deem selwechte Stoft ewéi d'Lambrequinen ,BETTSPREET1UNI1,decorative cover for a bed,0.6213676929473877,,,a decorative bedspread (usually quilted),0.8042079210281372,decorative cover for a bed,en,0.6213676929473877,"E laangt Stéck Stoff, dat een iwwer d’Bett leet, fir et ze bedecken an ze schützen."
Bettwäsch,SUBST,bed sheets,,Bettwäsche,,linge de lit,,a verschiddene Jugendherberge muss een d'Bettwäsch matbréngen ,BETTWASCH1UNI1,,,Leinen- oder Baumwollartikel für ein Bett (wie Laken und Kopfkissenbezüge),0.615558922290802,,,Leinen- oder Baumwollartikel für ein Bett (wie Laken und Kopfkissenbezüge),de,0.615558922290802,"Stoff- oder Textilwäsch, déi d’Bett bedeckt oder dozou gehéiert, wéi Bettlaken, Këssenbezich an Deckenbezich."
bevir,CONJ,before,,ehe,,avant que,,"ech probéieren, doheem ze sinn, bevir et däischter gëtt ",BEVIR1UNI1,,,der Akt der Eheschließung; die Hochzeitszeremonie,0.6132526397705078,,,der Akt der Eheschließung; die Hochzeitszeremonie,de,0.6132526397705078,"Bevir: eng al oder regional Form vu „bei mir“, déi bedeit „bei mir doheem“ oder „an menger Géigend“."
Bich,SUBST,beech,,Buche,,hêtre,,hanner der Kierch stinn dräi grouss Bichen ,BICH1UNI1,wood of any of various beech trees; used for flooring and containers and plywood and tool handles,0.6084998250007629,,,wood of any of various beech trees; used for flooring and containers and plywood and tool handles,0.6084998250007629,wood of any of various beech trees; used for flooring and containers and plywood and tool handles,en,0.6084998250007629,"Schrëftwierk mat zesummegefaasste Säiten, dat Informatiounen, Geschichten oder Wëssen enthält an dat een liest."
Bicherschaf,SUBST,bookcase,,Bücherschrank,,bibliothèque,meuble,mir hunn eis vum Schräiner zwee Bicherschief op d'Mooss maache gelooss ,BICHERSCHAF1UNI1,a piece of furniture with shelves for storing books,0.7864155769348145,,,a piece of furniture with shelves for storing books,0.7864155769348145,a piece of furniture with shelves for storing books,en,0.7864155769348145,"E Miwwelstéck mat Regaler oder Fäch, dat dozou déngt, Bicher ze späicheren an ze ordnen."
Bierg,SUBST,slope,,Hang,"Steigung, Gefälle",côte,pente,meng Grousseltere wunnen am Bierg ,BIERG1UNI3,,,,,a slope or hillside,0.7258079051971436,a slope or hillside,fr,0.7258079051971436,"Eng natierlech Erhiewung vum Terrain, méi héich a meeschtens méi steil wéi en Hiwwel."
Biergsteiger,SUBST,mountaineer,,Bergsteiger,,alpiniste,,de Biergsteiger ass an eng Lawin geroden ,BIERGSTEIGER1UNI1,,,"jemand, der Berge besteigt",0.6009500026702881,,,"jemand, der Berge besteigt",de,0.6009500026702881,"Persoun, déi Bierger klëmmt oder op Biergtouren geet, besonnesch am Kader vum Alpinismus."
Biischt,SUBST,brush,hand brush,Handbesen,,brosse,,"gëff mer d'Schëpp an d'Biischt , fir d'Grimmelen opzekieren! ",BIISCHT1UNI3,the act of brushing your hair,0.6362401247024536,,,,,the act of brushing your hair,en,0.6362401247024536,"Eng kleng Handbürst mat Borsten, déi een benotzt fir Dreck oder Stëbs ofzebiersten oder Flächen ze botzen."
biologesch,ADJ,biological,relating to biology,biologisch,die Biologie betreffend,biologique,relatif à la biologie,vum biologesche Standpunkt hier si Mustike bestëmmt interessant Déieren ,BIOLOGESCH1UNI1,pertaining to biology or to life and living things,0.6447646617889404,die Ökologie betreffend,0.7351071834564209,,,pertaining to biology or to life and living things,en,0.6447646617889404,Wat d’Biologie betrëfft oder op lieweg Organismen an hir Liewensprozesser bezunn.
Bissau,NP,Bissau,,Bissau,,Bissau,,Bissau ass d'Haaptstad vu Guinea-Bissau ,BISSAU1UNI1,the capital of Guinea-Bissau,0.7014588713645935,,,,,the capital of Guinea-Bissau,en,0.7014588713645935,"Haaptstad vu Guinea-Bissau, eng Hafen- a Verwaltungsstad um Atlantik a wichtegt politescht a wirtschaftlecht Zentrum vum Land."
