lemma	pos	en_word	en_definition	de_word	de_definition	fr_word	fr_definition	sentence	code	wn_definition_en	confidence_en	wn_definition_de	confidence_de	wn_definition_fr	confidence_fr	wn_definition	definition_language	confidence	lux_definition
Aarbechtslosen	SUBST	unemployed person		Arbeitsloser		chômeur		déi Aarbechtslos musse sech reegelméisseg beim Aarbechtsamt presentéieren 	AARBECHTSLOSEN1UNI1			jemand, der ohne Arbeit ist	0.7227320671081543	someone who is jobless	0.8334745764732361	jemand, der ohne Arbeit ist	German	0.7227320671081543	eng Persoun, déi keng Aarbecht huet
Aarbechtsmaart	SUBST	employment market		Arbeitsmarkt		marché du travail		d'Situatioun um Aarbechtsmaart ass am Ament schwiereg 	AARBECHTSMAART1UNI1					the market in which workers compete for jobs and employers compete for workers	0.7201650142669678	the market in which workers compete for jobs and employers compete for workers	English	0.7201650142669678	de Maart, op deem Aarbechter ëm Plaze konkuréieren an Patronen ëm Aarbechter konkuréieren
Aarbechtsmarché	SUBST	employment market		Arbeitsmarkt		marché du travail		d'Situatioun um Aarbechtsmarché ass am Ament schwiereg 	AARBECHTSMARCHE1UNI1					the market in which workers compete for jobs and employers compete for workers	0.7201650142669678	the market in which workers compete for jobs and employers compete for workers	English	0.7201650142669678	de Marché, op deem Aarbechter ëm Plaze konkuréieren an Patronen ëm Aarbechter konkuréieren
Aarbechtsplaz	SUBST	workplace		Arbeitsplatz	Arbeitsort	lieu de travail		vill Frontaliere musse wäit fueren, fir op hir Aarbechtsplaz ze kommen 	AARBECHTSPLAZ1UNI2	a place where work is done	0.6062594652175903			a place where work is done	0.6062594652175903	a place where work is done	English	0.6062594652175903	eng Plaz, wou geschafft gëtt
Aarm	SUBST	branch	of a river	Arm		bras	bras de rivière	de Floss spléckt sech an zwee Äerm 	AARM2UNI2	a stream or river connected to a larger one	0.6543624997138977					a stream or river connected to a larger one	English	0.6543624997138977	e Baach oder e Floss, deen un e méi grousse Floss ugeschloss ass
aarmséileg	ADJ	contemptible		armselig	verachtenswert	pauvre		lauschter net op deen aarmséilegen Typ! 	AARMSEILEG1UNI2	deserving of contempt or scorn	0.7072992324829102					deserving of contempt or scorn	English	0.7072992324829102	der Veruechtung oder dem Spott wäert ze kréien
Aarmséilegkeet	SUBST	weakness		Armseligkeit		faiblesse		no e puer Nuechten ouni Schlof hunn ech gekrasch vun elauter Aarmséilegkeet 	AARMSEILEGKEET1UNI2					the property of weakness by virtue of careless construction	0.6080162525177002	the property of weakness by virtue of careless construction	English	0.6080162525177002	d’Eegenschaft vu Schwächt wéinst enger schlampiger Opbauweis
Aart	SUBST	way		Art und Weise		façon		de Problem gouf op eng elegant Aart a Weis geléist 	AART1UNI1			eine Art zu handeln oder sich zu verhalten	0.6787279844284058			eine Art zu handeln oder sich zu verhalten	German	0.6787279844284058	eng Manéier ze handelen oder sech ze behuelen
aartlech	ADJ	cute		reizend		mignon		äre Fils ass wierklech en aartleche Männchen 	AARTLECH1UNI1			sehr erfreulich oder unterhaltsam	0.6420592069625854			sehr erfreulich oder unterhaltsam	German	0.6420592069625854	ganz erfreelech oder ënnerhalend
Aaschlach	SUBST	arsehole	anus	Arschloch	After	trou du cul	anus	däin Hond ass ganz wond um Aaschlach 	AASCHLACH1UNI1	vulgar slang for anus	0.6598153114318848					vulgar slang for anus	English	0.6598153114318848	vulgäre Slang-Ausdrock fir den hënneschten Ausgang
Aascht	SUBST	branch	of a tree	Ast	eines Baums	branche	d'un arbre	d'Äscht vun där aler Eech maachen eis Schiet 	AASCHT1UNI1			einer der Hauptzweige, die vom Stamm oder einem Zweig eines Baumes ausgehen	0.6702059507369995	any of the larger branches of a tree	0.6953334212303162	einer der Hauptzweige, die vom Stamm oder einem Zweig eines Baumes ausgehen	German	0.6702059507369995	ee vun den Haaptverzweigungen, déi vum Stamm oder vun engem anere Branche vun engem Bam ausginn
Aband	SUBST	cover		Einband		reliure	couverture d'un livre	meng Bomi sammelt al Bicher mat schéinen Abänn 	ABAND1UNI1	a covering that serves to conceal or shelter something	0.6008491516113281					a covering that serves to conceal or shelter something	English	0.6008491516113281	eng Ofdeckung, déi dozou déngt, eppes ze verstoppen oder ze schützen
Abat-jour	SUBST	lampshade		Lampenschirm		abat-jour	d'une lampe	meng Bomi huet e Faibel fir Luuchte mat ausgefalenen Abat-jouren 	ABATJOUR1UNI1	a protective ornamental shade used to screen a light bulb from direct view	0.6048455834388733			a protective ornamental shade used to screen a light bulb from direct view	0.6048455238342285	a protective ornamental shade used to screen a light bulb from direct view	English	0.6048455834388733	eng schützend dekorativ Ofdeckung, déi benotzt gëtt, fir eng Luuchtbir vun der direkter Siicht ofzeschiermen
Abberzuel	SUBST	large number (of)		Haufen	große Anzahl	tas (de)	grand nombre	fir meng Hochzäit hunn ech eng Abberzuel Leit agelueden 	ABBERZUEL1UNI2			eine große Anzahl oder Menge	0.8691233396530151			eine große Anzahl oder Menge	German	0.8691233396530151	eng ganz grouss Unzuel oder Quantitéit
abeezen	VRB	to marinate		marinieren		mariner		net all Wäin ass gutt, fir Fleesch anzebeezen 	ABEEZEN1UNI1	soak in marinade	0.6611835956573486					soak in marinade	English	0.6611835956573486	an eng Wierzzooss leeën, fir de Goût opzehuelen
Abildung	SUBST	illusion	false belief	Einbildung	irrige Vorstellung	illusion	croyance erronée	hie war iwwerzeegt, hie géif gemobbt, mee et war alles nëmmen Abildung 	ABILDUNG1UNI1	something many people believe that is false	0.6606165766716003			something many people believe that is false	0.6606165766716003	something many people believe that is false	English	0.6606165766716003	eppes, wat vill Leit gleewen, obwuel et net wouer ass
abîméieren	VRB	to damage		beschädigen		abîmer		d'Plënnerleit hunn am Trapenhaus d'Tapéit abîméiert 	ABIMEIEREN2UNI1	inflict damage upon	0.6210446357727051					inflict damage upon	English	0.6210446357727051	Schued un eppes verursaachen
Abléck	SUBST	moment	point in time	Moment	Zeitpunkt	moment	espace de temps précis	dat war en historeschen Abléck 	ABLECK1UNI2	a particular point in time	0.6692098379135132	ein bestimmter Zeitpunkt	0.8649700284004211			a particular point in time	English	0.6692098379135132	e bestëmmte Moment an der Zäit
ablécklech	ADJ	current		augenblicklich	momentan	actuel	de ce moment, présent	an där ablécklecher Situatioun kann d'Doktesch nach näischt Konkreetes soen 	ABLECKLECH1UNI1			in diesem Moment	0.7715029120445251			in diesem Moment	German	0.7715029120445251	an dësem Ament
abordéieren	VRB	to address	to touch on	ansprechen	zur Sprache bringen	aborder	évoquer	ech hu mech net getraut, dee Problem ze abordéieren 	ABORDEIEREN1UNI1			mit jemandem sprechen	0.6101149916648865			mit jemandem sprechen	German	0.6101149916648865	mat engem schwätzen
Abouss	SUBST	loss	disadvantage	Einbuße		perte	préjudice	duerch d'Iwwerschwemmunge rechnen déi geschiedegt Geschäftsleit mat staarken Aboussen 	ABOUSS1UNI1	the disadvantage that results from losing something	0.606105625629425			the disadvantage that results from losing something	0.606105625629425	the disadvantage that results from losing something	English	0.606105625629425	den Nodeel, deen entsteet, wann een eppes verléiert
Abriecher	SUBST	burglar		Einbrecher		cambrioleur		den Abriecher gouf vun der Police festgeholl 	ABRIECHER1UNI1	a thief who enters a building with intent to steal	0.6310421228408813			a thief who enters a building with intent to steal	0.631041944026947	a thief who enters a building with intent to steal	English	0.6310421228408813	een Déif, deen an e Gebai geet, fir eppes ze klauen
Abroch	SUBST	burglary		Einbruch	gewaltsames Eindringen	cambriolage		den Abroch an hiert Haus war fir eis Noperen en desagreabelt Erliefnes 	ABROCH1UNI1	entering a building unlawfully with intent to commit a felony or to steal valuable property	0.6242108345031738			entering a building unlawfully with intent to commit a felony or to steal valuable property	0.6242110729217529	entering a building unlawfully with intent to commit a felony or to steal valuable property	English	0.6242108345031738	an e Gebai illegal erakommen, mat der Absicht, eng schwéier Strofdot ze maachen oder wäertvoll Saachen ze klauen
abrupt	ADJ	abrupt		plötzlich		soudain		op der Bourse gouf et haut en abrupten Abroch vun den Aktiecoursen 	ABRUPT1UNI1	exceedingly sudden and unexpected	0.6043514013290405					exceedingly sudden and unexpected	English	0.6043514013290405	iwwerméisseg plëtzlech an onerwaart
abscheilech	ADJ	disgusting	abominable	abscheulich	verwerflich	répugnant	abject	wéinst sengen abscheilechen Dote souz hie bis zu sengem Liewensenn am Prisong 	ABSCHEILECH1UNI2					unequivocally detestable	0.6287916898727417	unequivocally detestable	English	0.6287916898727417	ouni Zweiwel ofstoussend an veruechtenswäert
Absence	SUBST	absence	non-presence	Abwesenheit	das Ausbleiben, das Wegbleiben	absence	non-présence	wat ass wärend menger Absence geschitt? 	ABSENCE1UNI1	the state of being absent	0.6362861394882202			the state of being absent	0.6362861394882202	the state of being absent	English	0.6362861394882202	den Zoustand, net do ze sinn
Absence	SUBST	absence		Absence	Krampfleiden	absence (épileptique)		wärend senger epileptescher Kris hat de Patient eng Absence vu 15 Sekonnen 	ABSENCE1UNI4	the state of being absent	0.6598637700080872					the state of being absent	English	0.6598637700080872	den Zoustand, net do ze sinn
Absenteismus	SUBST	absenteeism		Absentismus		absentéisme		wat gëtt géint den Absenteismus an der Schoul gemaach? 	ABSENTEISMUS1UNI1	habitual absence from work	0.659803032875061					habitual absence from work	English	0.659803032875061	gewinnt Gewunnecht, dacks net op d’Aarbecht ze kommen
Absolutismus	SUBST	absolutism		Absolutismus		absolutisme		am Absolutismus huet de Staatschef all Pouvoiren 	ABSOLUTISMUS1UNI1	the doctrine of an absolute being	0.6206308007240295			the doctrine of an absolute being	0.6206309795379639	the doctrine of an absolute being	English	0.6206308007240295	d’Léier vun engem Wiesen, dat onbedéngt a vollstänneg ass
Abtei	SUBST	abbey		Abtei		abbaye		d'Mënche liewen an enger Abtei 	ABTEI1UNI1			ein Kloster unter der Leitung eines Abtes	0.6668344736099243			ein Kloster unter der Leitung eines Abtes	German	0.6668344736099243	e Klouschter ënner der Leedung vun engem Abt
Abteilung	SUBST	branch		Abteilung	eines Unternehmens, einer Dienststelle	service	département	d'Firma huet dëst Joer eng Abteilung an d'Ausland verluecht 	ABTEILUNG1UNI1			eine Verwaltungseinheit in einer Regierung oder einem Unternehmen	0.6638740301132202			eine Verwaltungseinheit in einer Regierung oder einem Unternehmen	German	0.6638740301132202	eng administrativ Eenheet an enger Regierung oder an enger Firma
Abuja	NP	Abuja		Abuja		Abuja		Abuja ass d'Haaptstad vun Nigeria 	ABUJA1UNI1	capital of Nigeria in the center of the country	0.6234688758850098					capital of Nigeria in the center of the country	English	0.6234688758850098	Haaptstad vu Nigeria am Zentrum vum Land
Abus	SUBST	abuse	misuse	Missbrauch		abus	excès	a Saache Jugendaarbecht mussen all méiglech Abuse verhënnert ginn 	ABUS1UNI1	improper or excessive use	0.6425849199295044					improper or excessive use	English	0.6425849199295044	onugemessen oder iwwerdriwwen Notzung
Abzebild	SUBST	transfer	picture	Abziehbild		décalcomanie	image	d'Kanner hunn Abzebiller an d'Kichefënstere gepecht 	ABZEBILD1UNI1			Bild, das aus einem grafischen Abbild einer Person oder Sache besteht	0.6526214480400085			Bild, das aus einem grafischen Abbild einer Person oder Sache besteht	German	0.6526214480400085	Bild, dat aus enger grafescher Duerstellung vun enger Persoun oder enger Saach besteet
Acajou	SUBST	mahogany	wood	Mahagoni		acajou	bois	mäi Kleederschaf ass aus Acajou 	ACAJOU1UNI1	wood of any of various mahogany trees; much used for cabinetwork and furniture	0.6908830404281616			wood of any of various mahogany trees; much used for cabinetwork and furniture	0.6908830404281616	wood of any of various mahogany trees; much used for cabinetwork and furniture	English	0.6908830404281616	Holz vu verschiddene Mahagonibeem; vill benotzt fir Miwwelen a Schräineraarbechten
Acceleratioun	SUBST	acceleration	increase in speed	Beschleunigung	Geschwindigkeitszunahme	accélération	augmentation de vitesse	duerch d'Acceleratioun ginn d'Leit am Fliger an de Sëtz gedréckt 	ACCELERATIOUN1UNI2	the act of accelerating; increasing the speed	0.6393970251083374	der Vorgang des Beschleunigens; Erhöhung der Geschwindigkeit	0.7468486428260803	the act of accelerating; increasing the speed	0.6393970251083374	the act of accelerating; increasing the speed	English	0.6393970251083374	d’Akt, fir méi séier ze ginn; d’Erhéijung vun der Vitesse
acceleréieren	VRB	to accelerate		(die Fahrt) beschleunigen		accélérer		acceleréier , fir de Camion ze iwwerhuelen! 	ACCELEREIEREN1UNI2	cause to move faster	0.7043925523757935					cause to move faster	English	0.7043925523757935	eppes dozou bréngen, sech méi séier ze beweegen
accentuéieren	VRB	to worsen		sich verstärken		s'accentuer		de Problem vun der Atomkraaft huet sech an de leschte Joren accentuéiert 	ACCENTUEIEREN1UNI2	make worse	0.7100979089736938					make worse	English	0.7100979089736938	méi schlëmm maachen
Accès	SUBST	access	admittance	Zugang		accès	entrée	den Accès ass fir d'Personal reservéiert 	ACCES1UNI1			der Akt, jemandem den Zutritt zu gewähren	0.6535112261772156			der Akt, jemandem den Zutritt zu gewähren	German	0.6535112261772156	den Akt, fir engem den Zoutrëtt ze erlaben
Accès	SUBST	access	right to use	Zugang		accès	à des données, à des informations	mam Passwuert huet een Accès op verschidden elektronesch Dictionnairen 	ACCES1UNI2			der Akt, jemandem den Zutritt zu gewähren	0.6535112261772156			der Akt, jemandem den Zutritt zu gewähren	German	0.6535112261772156	den Akt, fir engem den Zoutrëtt ze erlaben
Accès	SUBST	access	way, entrance	Zugang	Weg	accès	voie d'accès	den Accès an d'Schigebitt ass komplett zougeschneit 	ACCES1UNI3	a way of entering or leaving	0.6635808944702148					a way of entering or leaving	English	0.6635808944702148	eng Méiglechkeet fir eran- oder erauszekommen
Accident	SUBST	accident	crash, mishap	Unfall		accident		gëschter Owend hat e jonke Chauffer e schwéiert Accident 	ACCIDENT1UNI1	an unfortunate mishap; especially one causing damage or injury	0.6399229168891907			an unfortunate mishap; especially one causing damage or injury	0.6399228572845459	an unfortunate mishap; especially one causing damage or injury	English	0.6399229168891907	en ongléckleche Virfall; besonnesch een, deen Schued oder Verletzunge verursaacht
Accord	SUBST	arrangement		Vereinbarung		accord		ech hunn en Accord mat mengem Exmann, wat eis Rulott betrëfft 	ACCORD1UNI1			bindende Verabredung, Übereinkunft, Abmachung	0.7776223421096802			bindende Verabredung, Übereinkunft, Abmachung	German	0.7776223421096802	verbindlech Ofmaachung, Iwwereenkommes, Ofsprooch
Accouchement	SUBST	childbirth		Entbindung	Geburt	accouchement		eis Nopesch hat e schwéiert Accouchement 	ACCOUCHEMENT1UNI1					the act of delivering a child	0.7023671865463257	the act of delivering a child	English	0.7023671865463257	den Akt, e Kand op d’Welt ze bréngen
Accumulatioun	SUBST	accumulation		Häufung		accumulation	grand nombre	a leschter Zäit gouf et eng Accumulatioun vun Abréch an eiser Géigend 	ACCUMULATIOUN1UNI1	the act of accumulating	0.7522690296173096	das Ergebnis des Prozesses der Anhäufung	0.6228514909744263			the act of accumulating	English	0.7522690296173096	den Akt, bei deem eppes no an no zesummegesammelt gëtt
Achs	SUBST	traffic route		Achse	Verkehrsweg	axe	voie de circulation	op der Achs Flughafen - Gare gëtt et neierdéngs eng zweet Buslinn 	ACHS1UNI3					the principal route of a transportation system	0.674006462097168	the principal route of a transportation system	English	0.674006462097168	déi wichtegst Streck an engem Transportsystem
Achtzegerjoren	SUBST	the (nineteen) eighties		Achtzigerjahre		années quatre-vingt		an den Achtzegerjoren hunn d'CDen d'Kassette lues a lues ersat 	ACHTZEGERJOREN1UNI1			das Jahrzehnt von 1980 bis 1989	0.6850003004074097			das Jahrzehnt von 1980 bis 1989	German	0.6850003004074097	d’Joerzéngt vun 1980 bis 1989
Acquisitioun	SUBST	acquisition		Anschaffung	Ware, Gut	acquisition	bien acquis	meng lescht Acquisitioun huet mech d'Aen aus dem Kapp kascht! 	ACQUISITIOUN1UNI2	something acquired	0.7051186561584473			something acquired	0.7051186561584473	something acquired	English	0.7051186561584473	eppes, wat een kritt huet
Actrice	SUBST	actress		Schauspielerin		actrice		déi Actrice huet schonn a villen erfollegräiche Filmer matgespillt 	ACTRICE1UNI1	a female actor	0.8116575479507446	eine weibliche Darstellerin	0.896032452583313	a female actor	0.8116575479507446	a female actor	English	0.8116575479507446	eng Schauspillerin
Adaptatioun	SUBST	adaptation		Anpassung		adaptation	ajustement	et ass nees eng Adaptatioun vun de Gehälter un d'Liewenskäschte fälleg 	ADAPTATIOUN1UNI1	the process of adapting to something (such as environmental conditions)	0.6449323892593384	das Anpassen oder Anpassen an die Umstände	0.8136798143386841	the process of adapting to something (such as environmental conditions)	0.6449323892593384	the process of adapting to something (such as environmental conditions)	English	0.6449323892593384	de Prozess, sech un eppes unzepassen (wéi zum Beispill un Ëmweltbedéngungen)
Adaptatioun	SUBST	adaptation		Adaptation	Umarbeitung eines Kunstwerks	adaptation	d'une œuvre d'art	d'musikalesch Adaptatioun vum Theaterstéck ass gelongen 	ADAPTATIOUN1UNI2	the process of adapting to something (such as environmental conditions)	0.6449323892593384			the process of adapting to something (such as environmental conditions)	0.6449323892593384	the process of adapting to something (such as environmental conditions)	English	0.6449323892593384	de Prozess, sech un eppes unzepassen (wéi zum Beispill un Ëmweltbedéngungen)
addéieren	VRB	to add		addieren		additionner	faire l'addition de	wann s de déi zwou Zommen addéiers , kriss de d'Resultat 	ADDEIEREN1UNI1			eine Ergänzung darstellen	0.6220343112945557			eine Ergänzung darstellen	German	0.6220343112945557	eng Zousaz duerstellen
äddi	INTERJ	goodbye		tschüss		au revoir		äddi a schéine Weekend! 	ADDI2UNI1	a farewell remark	0.6002259254455566			a farewell remark	0.6002259850502014	a farewell remark	English	0.6002259254455566	eng Bemierkung fir sech ze verabschieden
Additioun	SUBST	addition		Addition		addition		hie kann esouguer déi schwéierst Additiounen am Kapp maachen 	ADDITIOUN1UNI1	a quantity that is added	0.6515594124794006			a quantity that is added	0.6515594720840454	a quantity that is added	English	0.6515594124794006	eng Quantitéit, déi dobäigesat gëtt
Adel	SUBST	aristocracy		Adel	Aristokratie	noblesse	classe	déi zwou Famillje stoungen deemools un der Spëtzt vum europäeschen Adel 	ADEL1UNI1	a privileged class holding hereditary titles	0.71492600440979					a privileged class holding hereditary titles	English	0.71492600440979	eng privilegéiert Gesellschaftsschicht, déi ierflech Titelen huet
adeleg	ADJ	aristocratic		adlig	aristokratisch	noble	qui fait partie de la noblesse	hie kënnt aus enger adeleger Famill 	ADELEG1UNI1	belonging to or characteristic of the nobility or aristocracy	0.6368609666824341			of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times	0.6853954792022705	belonging to or characteristic of the nobility or aristocracy	English	0.6368609666824341	zu oder typesch fir den Adel oder d’Aristokratie
adequat	ADJ	adequate		adäquat		adéquat		déi adequat Mesurë si geholl ginn, fir dat Schlëmmst ze verhënneren 	ADEQUAT1UNI1	about average; acceptable	0.6778302192687988					about average; acceptable	English	0.6778302192687988	ronderëm dem Duerchschnëtt; zefriddestellend
adipös	ADJ	obese		adipös		adipeux		et gëtt vill Grënn, firwat et mëttlerweil esou vill adipös Leit an eiser Gesellschaft gëtt 	ADIPOS1UNI1	excessively fat	0.721854567527771					excessively fat	English	0.721854567527771	iwwerméisseg déck
Administratioun	SUBST	management		Verwaltung	das Führen, das Leiten	administration	gestion	d'Entreprise ass wéinst enger schlechter Administratioun faillite 	ADMINISTRATIOUN1UNI2	the act of managing something	0.6817992925643921	die Tätigkeit des Führens	0.6554082036018372	the act of managing something	0.6817994713783264	the act of managing something	English	0.6817992925643921	den Akt, eppes ze geréieren
administrativ	ADJ	administrative		administrativ		administratif		den administrativen Direkter vum Service geet an d'Pensioun 	ADMINISTRATIV1UNI1	of or relating to or responsible for administration	0.704357385635376	mit der Verwaltung zusammenhängend oder für die Verwaltung zuständig	0.6702853441238403	of or relating to or responsible for administration	0.704357385635376	of or relating to or responsible for administration	English	0.704357385635376	wat d’Verwaltung betrëfft oder domat a Verbindung steet, oder dofir zoustänneg ass
administréieren	VRB	to administer		verwalten	leiten	administrer		d'Entreprise gëtt vu Paräis aus administréiert 	ADMINISTREIEREN1UNI2	work in an administrative capacity; supervise or be in charge of	0.6784079670906067			work in an administrative capacity; supervise or be in charge of	0.6784079670906067	work in an administrative capacity; supervise or be in charge of	English	0.6784079670906067	an enger verwaltungstechnescher Funktioun schaffen; iwwerwaachen oder d’Responsabilitéit fir eppes droen
Admirol	SUBST	admiral		Admiral	Dienstgrad	amiral		un der Spëtzt vun der Marinn steet gewéinlech en Admirol 	ADMIROL1UNI1	the supreme commander of a fleet; ranks above a vice admiral and below a fleet admiral	0.620664119720459			an admiral of the highest rank	0.7725707292556763	the supreme commander of a fleet; ranks above a vice admiral and below a fleet admiral	English	0.620664119720459	den héchste Kommandant vun enger Flott; steet am Rang iwwer engem Vizeadmirol an ënner engem Flottenadmirol
adoptéieren	VRB	to pass	a bill, a law	annehmen	ein Gesetz	adopter	par vote	de Gesetzesprojet gouf an der Nuecht eestëmmeg adoptéiert 	ADOPTEIEREN1UNI3	make laws, bills, etc. or bring into effect by legislation	0.6494725346565247					make laws, bills, etc. or bring into effect by legislation	English	0.6494725346565247	Gesetzer, Gesetzesvirschléi asw. duerch Gesetzgebung beschléissen oder a Kraaft triede loossen
Adventssonndeg	SUBST	Advent Sunday		Adventssonntag		dimanche de l'avent		d'Kierchejoer fänkt mam éischten Adventssonndeg un 	ADVENTSSONNDEG1UNI1					the first of the four Sundays during Advent	0.7856848239898682	the first of the four Sundays during Advent	English	0.7856848239898682	den éischte vun de véier Sonndeger an der Zäit viru Chrëschtdag
Aendeckel	SUBST	eyelid		Augenlid		paupière		ech hu mech um Aendeckel verletzt, mee glécklecherweis ass näischt un d'A komm 	AENDECKEL1UNI1			eine von zwei Hautfalten, die bewegt werden können, um das Auge zu bedecken oder zu öffnen	0.6101247072219849			eine von zwei Hautfalten, die bewegt werden können, um das Auge zu bedecken oder zu öffnen	German	0.6101247072219849	eng vun zwou beweegleche Hautfalten, mat deenen een d’A kann zoumaachen oder opmaachen
Aendokter	SUBST	ophthalmologist		Augenarzt		ophtalmologue		den Aendokter huet mer en neie Brëll opgeschriwwen 	AENDOKTER1UNI1	a medical doctor specializing in the diagnosis and treatment of diseases of the eye	0.7167651057243347	ein Arzt, der auf die Diagnose und Behandlung von Augenkrankheiten spezialisiert ist	0.8412632346153259	a medical doctor specializing in the diagnosis and treatment of diseases of the eye	0.7167651057243347	a medical doctor specializing in the diagnosis and treatment of diseases of the eye	English	0.7167651057243347	e Medezinner, dee sech op d’Erkennung an d’Behandlung vu Krankheete vum A spezialiséiert huet
Äerdbier	SUBST	strawberry	fruit	Erdbeere	Frucht	fraise	fruit	ech hunn de Kuch mat enger Äerdbier dekoréiert 	AERDBIER1UNI3	sweet fleshy red fruit	0.7234503626823425					sweet fleshy red fruit	English	0.7234503626823425	séiss, fleescheg, rout Uebst
Äerdbier	SUBST	strawberries	fruits	Erdbeeren	Früchte	fraises	fruits	dëst Joer war d'Äerdbier fréi zeideg 	AERDBIER2UNI2	sweet fleshy red fruit	0.6486601829528809					sweet fleshy red fruit	English	0.6486601829528809	séiss, fleescheg, rout Uebst
Äerderwäermung	SUBST			Erderwärmung		réchauffement de la planète		duerch d'Äerderwäermung schmëlzt d'Äis op de Polen an de Mieresspigel klëmmt 	AERDERWAERMUNG1UNI1			ein Anstieg der Durchschnittstemperatur der Erdatmosphäre (insbesondere ein anhaltender Anstieg, der klimatische Veränderungen verursacht)	0.604485034942627			ein Anstieg der Durchschnittstemperatur der Erdatmosphäre (insbesondere ein anhaltender Anstieg, der klimatische Veränderungen verursacht)	German	0.604485034942627	eng Erhéijung vun der Duerchschnëttstemperatur vun der Äerdatmosphär (besonnesch eng dauerhaft Erhéijung, déi klimatesch Verännerunge verursaacht)
